old,new,isSame
org.apache.commons.codec.net.RFC1522Codec,org.apache.commons.codec.net.RFC1522Codec,True
org.apache.commons.codec.DecoderException,org.apache.commons.codec.DecoderException,True
org.apache.commons.codec.EncoderException,org.apache.commons.codec.EncoderException,True
org.apache.commons.codec.binary.StringUtils,org.apache.commons.codec.binary.StringUtils,True
org.apache.commons.codec.digest.Sha2Crypt,org.apache.commons.codec.digest.Sha2Crypt,True
org.apache.commons.codec.Charsets,org.apache.commons.codec.Charsets,True
org.apache.commons.codec.digest.B64,org.apache.commons.codec.digest.B64,True
org.apache.commons.codec.digest.MessageDigestAlgorithms,org.apache.commons.codec.digest.MessageDigestAlgorithms,True
org.apache.commons.codec.digest.DigestUtils,org.apache.commons.codec.digest.DigestUtils,True
org.apache.commons.codec.binary.Base32,org.apache.commons.codec.binary.Base32,False
org.apache.commons.codec.binary.BaseNCodec,org.apache.commons.codec.binary.BaseNCodec,True
org.apache.commons.codec.binary.BaseNCodec.Context,org.apache.commons.codec.binary.BaseNCodec.Context,True
org.apache.commons.codec.StringEncoderComparatorTest,org.apache.commons.codec.StringEncoderComparatorTest,True
org.apache.commons.codec.language.DoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphone,True
org.apache.commons.codec.language.Soundex,org.apache.commons.codec.language.Soundex,True
org.apache.commons.codec.StringEncoderComparator,org.apache.commons.codec.StringEncoderComparator,True
org.apache.commons.codec.Encoder,org.apache.commons.codec.Encoder,True
org.apache.commons.codec.digest.CryptTest,org.apache.commons.codec.digest.CryptTest,True
org.apache.commons.codec.digest.Crypt,org.apache.commons.codec.digest.Crypt,True
org.apache.commons.codec.language.bm.ResourceConstants,org.apache.commons.codec.language.bm.ResourceConstants,True
org.apache.commons.codec.CharEncoding,org.apache.commons.codec.CharEncoding,True
org.apache.commons.codec.language.MatchRatingApproachEncoderTest,org.apache.commons.codec.language.MatchRatingApproachEncoderTest,True
org.apache.commons.codec.StringEncoderAbstractTest,org.apache.commons.codec.StringEncoderAbstractTest,True
org.apache.commons.codec.language.MatchRatingApproachEncoder,org.apache.commons.codec.language.MatchRatingApproachEncoder,True
org.apache.commons.codec.binary.Base32Test,org.apache.commons.codec.binary.Base32Test,True
org.apache.commons.codec.binary.Base32TestData,org.apache.commons.codec.binary.Base32TestData,True
org.apache.commons.codec.language.MetaphoneTest,org.apache.commons.codec.language.MetaphoneTest,True
org.apache.commons.codec.language.Metaphone,org.apache.commons.codec.language.Metaphone,True
org.apache.commons.codec.binary.Base64InputStream,org.apache.commons.codec.binary.Base64InputStream,True
org.apache.commons.codec.binary.BaseNCodecInputStream,org.apache.commons.codec.binary.BaseNCodecInputStream,True
org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary.Base64,True
org.apache.commons.codec.binary.Codec105ErrorInputStream,org.apache.commons.codec.binary.Codec105ErrorInputStream,True
org.apache.commons.codec.language.bm.BeiderMorseEncoder,org.apache.commons.codec.language.bm.BeiderMorseEncoder,True
org.apache.commons.codec.StringEncoder,org.apache.commons.codec.StringEncoder,True
org.apache.commons.codec.language.bm.PhoneticEngine,org.apache.commons.codec.language.bm.PhoneticEngine,False
org.apache.commons.codec.language.bm.NameType,org.apache.commons.codec.language.bm.NameType,True
org.apache.commons.codec.language.bm.RuleType,org.apache.commons.codec.language.bm.RuleType,True
org.apache.commons.codec.binary.Base32InputStream,org.apache.commons.codec.binary.Base32InputStream,True
org.apache.commons.codec.digest.Sha256CryptTest,org.apache.commons.codec.digest.Sha256CryptTest,True
org.apache.commons.codec.binary.Base32OutputStreamTest,org.apache.commons.codec.binary.Base32OutputStreamTest,False
org.apache.commons.codec.binary.Base32OutputStream,org.apache.commons.codec.binary.Base32OutputStream,True
org.apache.commons.codec.binary.BaseNCodecOutputStream,org.apache.commons.codec.binary.BaseNCodecOutputStream,False
org.apache.commons.codec.binary.Base64OutputStream,org.apache.commons.codec.binary.Base64OutputStream,True
org.apache.commons.codec.digest.Md5CryptTest,org.apache.commons.codec.digest.Md5CryptTest,True
org.apache.commons.codec.digest.Md5Crypt,org.apache.commons.codec.digest.Md5Crypt,True
org.apache.commons.codec.language.Caverphone2Test,org.apache.commons.codec.language.Caverphone2Test,True
org.apache.commons.codec.language.Caverphone2,org.apache.commons.codec.language.Caverphone2,True
org.apache.commons.codec.language.AbstractCaverphone,org.apache.commons.codec.language.AbstractCaverphone,True
org.apache.commons.codec.language.DoubleMetaphone2Test,org.apache.commons.codec.language.DoubleMetaphone2Test,True
org.apache.commons.codec.EncoderExceptionTest,org.apache.commons.codec.EncoderExceptionTest,True
org.apache.commons.codec.language.Caverphone1Test,org.apache.commons.codec.language.Caverphone1Test,True
org.apache.commons.codec.language.Caverphone1,org.apache.commons.codec.language.Caverphone1,True
org.apache.commons.codec.binary.Base64Codec13Test,org.apache.commons.codec.binary.Base64Codec13Test,True
org.apache.commons.codec.BinaryDecoder,org.apache.commons.codec.BinaryDecoder,True
org.apache.commons.codec.BinaryEncoder,org.apache.commons.codec.BinaryEncoder,True
org.apache.commons.codec.Decoder,org.apache.commons.codec.Decoder,True
org.apache.commons.codec.language.DoubleMetaphoneTest,org.apache.commons.codec.language.DoubleMetaphoneTest,True
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest,True
org.apache.commons.codec.language.bm.Rule,org.apache.commons.codec.language.bm.Rule,False
org.apache.commons.codec.language.bm.Lang,org.apache.commons.codec.language.bm.Lang,False
org.apache.commons.codec.language.bm.Languages,org.apache.commons.codec.language.bm.Languages,False
org.apache.commons.codec.language.bm.Rule.Phoneme,org.apache.commons.codec.language.bm.Rule.Phoneme,False
org.apache.commons.codec.language.RefinedSoundex,org.apache.commons.codec.language.RefinedSoundex,True
org.apache.commons.codec.language.SoundexUtils,org.apache.commons.codec.language.SoundexUtils,True
org.apache.commons.codec.BinaryEncoderAbstractTest,org.apache.commons.codec.BinaryEncoderAbstractTest,True
org.apache.commons.codec.language.bm.PhoneticEngine.PhonemeBuilder,org.apache.commons.codec.language.bm.PhoneticEngine.PhonemeBuilder,False
org.apache.commons.codec.language.bm.PhoneticEngine.RulesApplication,org.apache.commons.codec.language.bm.PhoneticEngine.RulesApplication,False
org.apache.commons.codec.language.bm.Languages.LanguageSet,org.apache.commons.codec.language.bm.Languages.LanguageSet,False
org.apache.commons.codec.language.bm.Rule.PhonemeExpr,org.apache.commons.codec.language.bm.Rule.PhonemeExpr,False
org.apache.commons.codec.net.URLCodec,org.apache.commons.codec.net.URLCodec,True
org.apache.commons.codec.StringDecoder,org.apache.commons.codec.StringDecoder,True
org.apache.commons.codec.net.Utils,org.apache.commons.codec.net.Utils,True
org.apache.commons.codec.DecoderExceptionTest,org.apache.commons.codec.DecoderExceptionTest,True
org.apache.commons.codec.language.Nysiis,org.apache.commons.codec.language.Nysiis,True
org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest,True
org.apache.commons.codec.binary.StringUtilsTest,org.apache.commons.codec.binary.StringUtilsTest,True
org.apache.commons.codec.net.UtilsTest,org.apache.commons.codec.net.UtilsTest,True
org.apache.commons.codec.CharsetsTest,org.apache.commons.codec.CharsetsTest,True
org.apache.commons.codec.language.SoundexTest,org.apache.commons.codec.language.SoundexTest,True
org.apache.commons.codec.net.QuotedPrintableCodec,org.apache.commons.codec.net.QuotedPrintableCodec,True
org.apache.commons.codec.net.QCodec,org.apache.commons.codec.net.QCodec,True
org.apache.commons.codec.binary.Base64Test,org.apache.commons.codec.binary.Base64Test,False
org.apache.commons.codec.binary.Base64TestData,org.apache.commons.codec.binary.Base64TestData,True
org.apache.commons.codec.binary.Hex,org.apache.commons.codec.binary.Hex,True
org.apache.commons.codec.language.ColognePhonetic,org.apache.commons.codec.language.ColognePhonetic,True
org.apache.commons.codec.language.ColognePhonetic.CologneBuffer,org.apache.commons.codec.language.ColognePhonetic.CologneBuffer,True
org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer,org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer,True
org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer,org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer,True
