old,new,isSame
src\test\java\org\apache\commons\collections4\AbstractObjectTest.java,src\test\java\org\apache\commons\collections4\AbstractObjectTest.java,False
src\main\java\org\apache\commons\collections4\set\package-info.java,src\main\java\org\apache\commons\collections4\multiset\package-info.java,False
src\main\java\org\apache\commons\collections4\functors\NotPredicate.java,src\main\java\org\apache\commons\collections4\functors\NotPredicate.java,False
src\main\java\org\apache\commons\collections4\functors\InstantiateTransformer.java,src\main\java\org\apache\commons\collections4\functors\InstantiateTransformer.java,False
src\test\java\org\apache\commons\collections4\map\ReferenceIdentityMapTest.java,src\test\java\org\apache\commons\collections4\map\ReferenceIdentityMapTest.java,True
src\test\java\org\apache\commons\collections4\iterators\UnmodifiableOrderedMapIteratorTest.java,src\test\java\org\apache\commons\collections4\iterators\UnmodifiableOrderedMapIteratorTest.java,False
src\test\java\org\apache\commons\collections4\iterators\PermutationIteratorTest.java,src\test\java\org\apache\commons\collections4\iterators\PermutationIteratorTest.java,True
src\main\java\org\apache\commons\collections4\set\package-info.java,src\main\java\org\apache\commons\collections4\sequence\package-info.java,False
src\test\java\org\apache\commons\collections4\keyvalue\TiedMapEntryTest.java,src\test\java\org\apache\commons\collections4\keyvalue\TiedMapEntryTest.java,True
src\test\java\org\apache\commons\collections4\map\SingletonMapTest.java,src\test\java\org\apache\commons\collections4\map\SingletonMapTest.java,True
src\main\java\org\apache\commons\collections4\set\PredicatedSet.java,src\main\java\org\apache\commons\collections4\set\PredicatedSet.java,False
src\main\java\org\apache\commons\collections4\Transformer.java,src\main\java\org\apache\commons\collections4\Transformer.java,True
src\main\java\org\apache\commons\collections4\bidimap\DualTreeBidiMap.java,src\main\java\org\apache\commons\collections4\bidimap\DualTreeBidiMap.java,False
src\test\java\org\apache\commons\collections4\functors\CatchAndRethrowClosureTest.java,src\test\java\org\apache\commons\collections4\functors\CatchAndRethrowClosureTest.java,True
src\test\java\org\apache\commons\collections4\bag\HashBagTest.java,src\test\java\org\apache\commons\collections4\bag\HashBagTest.java,True
src\main\java\org\apache\commons\collections4\SplitMapUtils.java,src\main\java\org\apache\commons\collections4\SplitMapUtils.java,False
src\main\java\org\apache\commons\collections4\map\MultiKeyMap.java,src\main\java\org\apache\commons\collections4\map\MultiKeyMap.java,False
src\main\java\org\apache\commons\collections4\set\package-info.java,src\main\java\org\apache\commons\collections4\list\package-info.java,False
