old,new,isSame
org.apache.commons.configuration.beanutils.BeanHelper,org.apache.commons.configuration.beanutils.BeanHelper,False
org.apache.commons.configuration.ConfigurationRuntimeException,org.apache.commons.configuration.ConfigurationRuntimeException,True
org.apache.commons.configuration.beanutils.BeanFactory,org.apache.commons.configuration.beanutils.BeanFactory,True
org.apache.commons.configuration.beanutils.BeanDeclaration,org.apache.commons.configuration.beanutils.BeanDeclaration,True
org.apache.commons.configuration.beanutils.DefaultBeanFactory,org.apache.commons.configuration.beanutils.DefaultBeanFactory,True
org.apache.commons.configuration.TestDynamicCombinedConfiguration,org.apache.commons.configuration.TestDynamicCombinedConfiguration,True
org.apache.commons.configuration.TestDynamicCombinedConfiguration.ReaderThread,org.apache.commons.configuration.TestDynamicCombinedConfiguration.ReaderThread,True
org.apache.commons.configuration.TestDynamicCombinedConfiguration.ReloadThread,org.apache.commons.configuration.TestDynamicCombinedConfiguration.ReloadThread,True
org.apache.commons.configuration.TestDynamicCombinedConfiguration.ThreadLookup,org.apache.commons.configuration.TestDynamicCombinedConfiguration.ThreadLookup,True
org.apache.commons.configuration.tree.xpath.XPathExpressionEngine,org.apache.commons.configuration.tree.xpath.XPathExpressionEngine,True
org.apache.commons.configuration.CombinedConfiguration,org.apache.commons.configuration.CombinedConfiguration,True
org.apache.commons.configuration.DefaultConfigurationBuilder,org.apache.commons.configuration.DefaultConfigurationBuilder,False
org.apache.commons.configuration.DynamicCombinedConfiguration,org.apache.commons.configuration.DynamicCombinedConfiguration,False
org.apache.commons.configuration.MultiFileHierarchicalConfiguration,org.apache.commons.configuration.MultiFileHierarchicalConfiguration,True
org.apache.commons.configuration.XMLConfiguration,org.apache.commons.configuration.XMLConfiguration,False
org.apache.commons.configuration.AbstractConfiguration,org.apache.commons.configuration.AbstractConfiguration,True
org.apache.commons.configuration.HierarchicalConfiguration,org.apache.commons.configuration.HierarchicalConfiguration,False
org.apache.commons.configuration.AbstractHierarchicalFileConfiguration,org.apache.commons.configuration.AbstractHierarchicalFileConfiguration,True
