old,new,isSame
src\test\java\org\apache\commons\configuration2\tree\TestDefaultExpressionEngine.java,src\test\java\org\apache\commons\configuration2\tree\TestDefaultExpressionEngine.java,True
src\main\java\org\apache\commons\configuration2\HierarchicalConfigurationXMLReader.java,src\main\java\org\apache\commons\configuration2\HierarchicalConfigurationXMLReader.java,True
src\main\java\org\apache\commons\configuration2\event\EventSource.java,src\main\java\org\apache\commons\configuration2\event\EventSource.java,True
src\test\java\org\apache\commons\configuration2\tree\TestNodeSelector.java,src\test\java\org\apache\commons\configuration2\tree\TestNodeSelector.java,True
src\test\java\org\apache\commons\configuration2\io\TestHomeDirectoryLocationStrategy.java,src\test\java\org\apache\commons\configuration2\io\TestHomeDirectoryLocationStrategy.java,True
src\main\java\org\apache\commons\configuration2\reloading\FileHandlerReloadingDetector.java,src\main\java\org\apache\commons\configuration2\reloading\FileHandlerReloadingDetector.java,True
src\main\java\org\apache\commons\configuration2\io\FileLocatorAware.java,src\main\java\org\apache\commons\configuration2\io\FileLocatorAware.java,True
src\main\java\org\apache\commons\configuration2\event\package-info.java,src\main\java\org\apache\commons\configuration2\package-info.java,False
src\main\java\org\apache\commons\configuration2\PatternSubtreeConfigurationWrapper.java,src\main\java\org\apache\commons\configuration2\PatternSubtreeConfigurationWrapper.java,True
src\main\java\org\apache\commons\configuration2\builder\combined\BaseConfigurationBuilderProvider.java,src\main\java\org\apache\commons\configuration2\builder\combined\BaseConfigurationBuilderProvider.java,True
src\test\java\org\apache\commons\configuration2\InterpolationTestHelper.java,src\test\java\org\apache\commons\configuration2\InterpolationTestHelper.java,False
src\test\java\org\apache\commons\configuration2\TestEnvironmentConfiguration.java,src\test\java\org\apache\commons\configuration2\TestEnvironmentConfiguration.java,True
src\main\java\org\apache\commons\configuration2\tree\TrackedNodeHandler.java,src\main\java\org\apache\commons\configuration2\tree\TrackedNodeHandler.java,True
src\main\java\org\apache\commons\configuration2\builder\ReloadingFileBasedConfigurationBuilder.java,src\main\java\org\apache\commons\configuration2\builder\ReloadingFileBasedConfigurationBuilder.java,True
src\test\java\org\apache\commons\configuration2\TestCompositeConfiguration.java,src\test\java\org\apache\commons\configuration2\TestCompositeConfiguration.java,False
src\main\java\org\apache\commons\configuration2\tree\QueryResult.java,src\main\java\org\apache\commons\configuration2\tree\QueryResult.java,True
src\main\java\org\apache\commons\configuration2\builder\fluent\DatabaseBuilderParameters.java,src\main\java\org\apache\commons\configuration2\builder\fluent\DatabaseBuilderParameters.java,True
src\test\java\org\apache\commons\configuration2\builder\combined\TestCombinedConfigurationBuilder.java,src\test\java\org\apache\commons\configuration2\builder\combined\TestCombinedConfigurationBuilder.java,True
src\test\java\org\apache\commons\configuration2\builder\TestJndiBuilderParametersImpl.java,src\test\java\org\apache\commons\configuration2\builder\TestJndiBuilderParametersImpl.java,True
src\test\java\org\apache\commons\configuration2\tree\TestNodeTreeWalker.java,src\test\java\org\apache\commons\configuration2\tree\TestNodeTreeWalker.java,True
src\main\java\org\apache\commons\configuration2\tree\ModelTransaction.java,src\main\java\org\apache\commons\configuration2\tree\ModelTransaction.java,True
src\test\java\org\apache\commons\configuration2\ConfigurationAssert.java,src\test\java\org\apache\commons\configuration2\ConfigurationAssert.java,True
src\test\java\org\apache\commons\configuration2\tree\TestOverrideCombiner.java,src\test\java\org\apache\commons\configuration2\tree\TestOverrideCombiner.java,True
src\main\java\org\apache\commons\configuration2\event\package-info.java,src\main\java\org\apache\commons\configuration2\resolver\package-info.java,False
src\test\java\org\apache\commons\configuration2\builder\TestFileBasedConfigurationBuilder.java,src\test\java\org\apache\commons\configuration2\builder\TestFileBasedConfigurationBuilder.java,False
