old,new,isSame
src\java\org\apache\commons\dbcp\PoolableConnection.java,src\java\org\apache\commons\dbcp\PoolableConnection.java,False
src\java\org\apache\commons\dbcp\PoolingDataSource.java,src\java\org\apache\commons\dbcp\PoolingDataSource.java,False
src\java\org\apache\commons\dbcp\ConnectionFactory.java,src\java\org\apache\commons\dbcp\ConnectionFactory.java,True
src\test\org\apache\commons\dbcp\TestJOCLed.java,src\test\org\apache\commons\dbcp\TestJOCLed.java,False
src\java\org\apache\commons\dbcp\DriverConnectionFactory.java,src\java\org\apache\commons\dbcp\DriverConnectionFactory.java,False
src\java\org\apache\commons\dbcp\PoolingDriver.java,src\java\org\apache\commons\dbcp\PoolingDriver.java,False
src\java\org\apache\commons\dbcp\BasicDataSourceFactory.java,src\java\org\apache\commons\dbcp\BasicDataSourceFactory.java,False
src\test\org\apache\commons\jocl\TestAll.java,src\test\org\apache\commons\jocl\TestAll.java,True
src\java\org\apache\commons\dbcp\DelegatingPreparedStatement.java,src\java\org\apache\commons\dbcp\DelegatingPreparedStatement.java,False
src\test\org\apache\commons\dbcp\TesterPreparedStatement.java,src\test\org\apache\commons\dbcp\TesterPreparedStatement.java,False
src\test\org\apache\commons\dbcp\TesterStatement.java,src\test\org\apache\commons\dbcp\TesterStatement.java,False
src\java\org\apache\commons\dbcp\AbandonedConfig.java,src\java\org\apache\commons\dbcp\AbandonedConfig.java,True
src\test\org\apache\commons\dbcp\TesterDriver.java,src\test\org\apache\commons\dbcp\TesterDriver.java,False
src\java\org\apache\commons\dbcp\PoolingConnection.java,src\java\org\apache\commons\dbcp\PoolingConnection.java,False
doc\ManualPoolingDataSourceExample.java,doc\ManualPoolingDataSourceExample.java,False
src\java\org\apache\commons\dbcp\DelegatingStatement.java,src\java\org\apache\commons\dbcp\DelegatingStatement.java,False
src\java\org\apache\commons\dbcp\cpdsadapter\ConnectionImpl.java,src\java\org\apache\commons\dbcp\cpdsadapter\ConnectionImpl.java,False
src\java\org\apache\commons\dbcp\DelegatingResultSet.java,src\java\org\apache\commons\dbcp\DelegatingResultSet.java,False
doc\JOCLPoolingDriverExample.java,doc\JOCLPoolingDriverExample.java,True
src\java\org\apache\commons\jocl\ConstructorUtil.java,src\java\org\apache\commons\jocl\ConstructorUtil.java,False
src\java\org\apache\commons\dbcp\DelegatingConnection.java,src\java\org\apache\commons\dbcp\DelegatingConnection.java,False
src\java\org\apache\commons\dbcp\DataSourceConnectionFactory.java,src\java\org\apache\commons\dbcp\DataSourceConnectionFactory.java,False
src\java\org\apache\commons\dbcp\jdbc2pool\UserPassKey.java,src\java\org\apache\commons\dbcp\datasources\UserPassKey.java,False
src\java\org\apache\commons\dbcp\jdbc2pool\CPDSConnectionFactory.java,src\java\org\apache\commons\dbcp\datasources\CPDSConnectionFactory.java,False
src\java\org\apache\commons\dbcp\cpdsadapter\PoolablePreparedStatementStub.java,src\java\org\apache\commons\dbcp\cpdsadapter\PoolablePreparedStatementStub.java,True
src\java\org\apache\commons\dbcp\BasicDataSource.java,src\java\org\apache\commons\dbcp\BasicDataSource.java,False
src\java\org\apache\commons\dbcp\DriverManagerConnectionFactory.java,src\java\org\apache\commons\dbcp\DriverManagerConnectionFactory.java,False
src\java\org\apache\commons\dbcp\jdbc2pool\KeyedCPDSConnectionFactory.java,src\java\org\apache\commons\dbcp\datasources\KeyedCPDSConnectionFactory.java,False
src\java\org\apache\commons\dbcp\jdbc2pool\PoolKey.java,src\java\org\apache\commons\dbcp\datasources\PoolKey.java,False
src\java\org\apache\commons\dbcp\DbcpException.java,src\java\org\apache\commons\dbcp\DbcpException.java,True
src\java\org\apache\commons\dbcp\DelegatingCallableStatement.java,src\java\org\apache\commons\dbcp\DelegatingCallableStatement.java,False
src\test\org\apache\commons\dbcp\TesterResultSet.java,src\test\org\apache\commons\dbcp\TesterResultSet.java,False
