old,new,isSame
org.apache.commons.digester.Rules,org.apache.commons.digester.Rules,True
org.apache.commons.digester.Rule,org.apache.commons.digester.Rule,True
org.apache.commons.digester.Digester,org.apache.commons.digester.Digester,False
org.apache.commons.digester.plugins.TestConfigurablePluginAttributes,org.apache.commons.digester.plugins.TestConfigurablePluginAttributes,False
org.apache.commons.digester.plugins.TestConfigurablePluginAttributes.MultiContainer,org.apache.commons.digester.plugins.TestConfigurablePluginAttributes.MultiContainer,False
org.apache.commons.digester.plugins.PluginCreateRule,org.apache.commons.digester.plugins.PluginCreateRule,False
org.apache.commons.digester.plugins.PluginDeclarationRule,org.apache.commons.digester.plugins.PluginDeclarationRule,False
org.apache.commons.digester.plugins.PluginRules,org.apache.commons.digester.plugins.PluginRules,False
org.apache.commons.digester.plugins.Widget,org.apache.commons.digester.plugins.Widget,True
org.apache.commons.digester.plugins.TestAll,org.apache.commons.digester.plugins.TestAll,True
org.apache.commons.digester.plugins.TextLabel,org.apache.commons.digester.plugins.TextLabel,True
org.apache.commons.digester.plugins.Slider,org.apache.commons.digester.plugins.Slider,True
org.apache.commons.digester.plugins.TextLabel2,org.apache.commons.digester.plugins.TextLabel2,True
org.apache.commons.digester.Nameable,org.apache.commons.digester.Nameable,True
BookFactory,BookFactory,True
org.apache.commons.digester.AbstractObjectCreationFactory,org.apache.commons.digester.AbstractObjectCreationFactory,True
Book,Book,True
org.apache.commons.digester.xmlrules.IncludeTest,org.apache.commons.digester.xmlrules.IncludeTest,False
org.apache.commons.digester.xmlrules.IncludeTest.TestDigesterRuleSource,org.apache.commons.digester.xmlrules.IncludeTest.TestDigesterRuleSource,False
org.apache.commons.digester.xmlrules.IncludeTest.TestDigesterRuleSource.getRules.(Anon_1),org.apache.commons.digester.xmlrules.IncludeTest.TestDigesterRuleSource.getRules.(Anon_1),False
org.apache.commons.digester.xmlrules.DigesterLoader,org.apache.commons.digester.xmlrules.DigesterLoader,True
org.apache.commons.digester.xmlrules.DigesterRulesSource,org.apache.commons.digester.xmlrules.DigesterRulesSource,True
org.apache.commons.digester.AbstractRulesImpl,org.apache.commons.digester.AbstractRulesImpl,True
org.apache.commons.digester.RulesBaseTestCase,org.apache.commons.digester.RulesBaseTestCase,True
org.apache.commons.digester.RulesBase,org.apache.commons.digester.RulesBase,True
org.apache.commons.digester.TestRule,org.apache.commons.digester.TestRule,True
org.apache.commons.digester.TestFactoryCreate,org.apache.commons.digester.TestFactoryCreate,True
org.apache.commons.digester.TestFactoryCreate.testPropagateException.ThrowExceptionCreateRule,org.apache.commons.digester.TestFactoryCreate.testPropagateException.ThrowExceptionCreateRule,True
org.apache.commons.digester.TestObjectCreationFactory,org.apache.commons.digester.TestObjectCreationFactory,True
org.apache.commons.digester.SimpleTestBean,org.apache.commons.digester.SimpleTestBean,True
org.apache.commons.digester.plugins.strategies.LoaderSetProperties,org.apache.commons.digester.plugins.strategies.LoaderSetProperties,False
org.apache.commons.digester.plugins.RuleLoader,org.apache.commons.digester.plugins.RuleLoader,True
org.apache.commons.digester.plugins.Container,org.apache.commons.digester.plugins.Container,True
org.apache.commons.digester.TestEntityResolution,org.apache.commons.digester.TestEntityResolution,True
org.apache.commons.digester.xmlrules.DigesterPatternStackTest,org.apache.commons.digester.xmlrules.DigesterPatternStackTest,True
org.apache.commons.digester.xmlrules.DigesterRuleParser.PatternStack,org.apache.commons.digester.xmlrules.DigesterRuleParser.PatternStack,False
org.apache.commons.digester.xmlrules.DigesterRuleParser,org.apache.commons.digester.xmlrules.DigesterRuleParser,False
org.apache.commons.digester.WithDefaultsRulesWrapper,org.apache.commons.digester.WithDefaultsRulesWrapper,True
org.apache.commons.digester.plugins.TestDefaultPlugin,org.apache.commons.digester.plugins.TestDefaultPlugin,False
org.apache.commons.digester.plugins.PluginInvalidInputException,org.apache.commons.digester.plugins.PluginInvalidInputException,True
org.apache.commons.digester.plugins.PluginConfigurationException,org.apache.commons.digester.plugins.PluginConfigurationException,True
org.apache.commons.digester.SetPropertiesRule,org.apache.commons.digester.SetPropertiesRule,False
AddressBook,AddressBook,True
Person,Person,False
org.apache.commons.digester.BeanPropertySetterRule,org.apache.commons.digester.BeanPropertySetterRule,True
Item,Item,True
Pipeline,Pipeline,True
Transform,Transform,True
org.apache.commons.digester.substitution.TestAll,org.apache.commons.digester.substitution.TestAll,True
org.apache.commons.digester.substitution.VariableExpansionTestCase,org.apache.commons.digester.substitution.VariableExpansionTestCase,False
org.apache.commons.digester.plugins.strategies.FinderFromFile,org.apache.commons.digester.plugins.strategies.FinderFromFile,True
org.apache.commons.digester.plugins.RuleFinder,org.apache.commons.digester.plugins.RuleFinder,True
org.apache.commons.digester.plugins.PluginException,org.apache.commons.digester.plugins.PluginException,True
org.apache.commons.digester.plugins.strategies.LoaderFromStream,org.apache.commons.digester.plugins.strategies.LoaderFromStream,True
org.apache.commons.digester.plugins.TestDelegate,org.apache.commons.digester.plugins.TestDelegate,False
org.apache.commons.digester.plugins.DumperRule,org.apache.commons.digester.plugins.DumperRule,True
org.apache.commons.digester.xmlrules.XmlLoadException,org.apache.commons.digester.xmlrules.XmlLoadException,True
org.apache.commons.digester.plugins.strategies.FinderFromClass,org.apache.commons.digester.plugins.strategies.FinderFromClass,True
org.apache.commons.digester.plugins.strategies.LoaderFromClass,org.apache.commons.digester.plugins.strategies.LoaderFromClass,True
org.apache.commons.digester.Employee,org.apache.commons.digester.Employee,True
org.apache.commons.digester.Address,org.apache.commons.digester.Address,True
org.apache.commons.digester.rss.Channel,org.apache.commons.digester.rss.Channel,True
org.apache.commons.digester.rss.Image,org.apache.commons.digester.rss.Image,True
org.apache.commons.digester.rss.TextInput,org.apache.commons.digester.rss.TextInput,True
org.apache.commons.digester.rss.Item,org.apache.commons.digester.rss.Item,True
org.apache.commons.digester.AlphaBean,org.apache.commons.digester.AlphaBean,True
org.apache.commons.digester.RegexRules,org.apache.commons.digester.RegexRules,True
org.apache.commons.digester.RegexRules.RegisteredRule,org.apache.commons.digester.RegexRules.RegisteredRule,True
org.apache.commons.digester.RegexMatcher,org.apache.commons.digester.RegexMatcher,True
org.apache.commons.digester.plugins.InitializableRule,org.apache.commons.digester.plugins.InitializableRule,True
org.apache.commons.digester.plugins.Declaration,org.apache.commons.digester.plugins.Declaration,False
org.apache.commons.digester.plugins.PluginManager,org.apache.commons.digester.plugins.PluginManager,True
org.apache.commons.digester.plugins.LogUtils,org.apache.commons.digester.plugins.LogUtils,True
org.apache.commons.digester.xmlrules.CircularIncludeException,org.apache.commons.digester.xmlrules.CircularIncludeException,True
org.apache.commons.digester.OtherTestObjectCreationFactory,org.apache.commons.digester.OtherTestObjectCreationFactory,True
org.apache.commons.digester.plugins.TestRuleInfo,org.apache.commons.digester.plugins.TestRuleInfo,False
org.apache.commons.digester.ParamBean,org.apache.commons.digester.ParamBean,True
org.apache.commons.digester.plugins.strategies.FinderFromDfltClass,org.apache.commons.digester.plugins.strategies.FinderFromDfltClass,True
org.apache.commons.digester.xmlrules.DigesterRuleParser.BeanPropertySetterRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.BeanPropertySetterRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.CallMethodRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.CallMethodRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.CallParamRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.CallParamRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.FactoryCreateRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.FactoryCreateRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.IncludeRule,org.apache.commons.digester.xmlrules.DigesterRuleParser.IncludeRule,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.ObjectCreateRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.ObjectCreateRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.ObjectParamRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.ObjectParamRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.PatternRule,org.apache.commons.digester.xmlrules.DigesterRuleParser.PatternRule,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.RulesPrefixAdapter,org.apache.commons.digester.xmlrules.DigesterRuleParser.RulesPrefixAdapter,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.SetNextRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.SetNextRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.SetPropertiesAliasRule,org.apache.commons.digester.xmlrules.DigesterRuleParser.SetPropertiesAliasRule,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.SetPropertiesRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.SetPropertiesRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.SetPropertyRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.SetPropertyRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.SetRootRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.SetRootRuleFactory,False
org.apache.commons.digester.xmlrules.DigesterRuleParser.SetTopRuleFactory,org.apache.commons.digester.xmlrules.DigesterRuleParser.SetTopRuleFactory,False
org.apache.commons.digester.CallMethodRule,org.apache.commons.digester.CallMethodRule,False
org.apache.commons.digester.CallParamRule,org.apache.commons.digester.CallParamRule,True
org.apache.commons.digester.FactoryCreateRule,org.apache.commons.digester.FactoryCreateRule,True
org.apache.commons.digester.ObjectCreateRule,org.apache.commons.digester.ObjectCreateRule,True
org.apache.commons.digester.RuleSetBase,org.apache.commons.digester.RuleSetBase,True
org.apache.commons.digester.SetNestedPropertiesRule,org.apache.commons.digester.SetNestedPropertiesRule,False
org.apache.commons.digester.SetNextRule,org.apache.commons.digester.SetNextRule,True
org.apache.commons.digester.SetPropertyRule,org.apache.commons.digester.SetPropertyRule,True
org.apache.commons.digester.SetRootRule,org.apache.commons.digester.SetRootRule,True
org.apache.commons.digester.SetTopRule,org.apache.commons.digester.SetTopRule,True
org.apache.commons.digester.ObjectParamRule,org.apache.commons.digester.ObjectParamRule,True
org.apache.commons.digester.TestBean,org.apache.commons.digester.TestBean,True
Main,Main,False
org.apache.commons.digester.RuleSet,org.apache.commons.digester.RuleSet,True
org.apache.commons.digester.substitution.MultiVariableExpander,org.apache.commons.digester.substitution.MultiVariableExpander,True
org.apache.commons.digester.substitution.VariableExpander,org.apache.commons.digester.substitution.VariableExpander,True
org.apache.commons.digester.plugins.PluginContext,org.apache.commons.digester.plugins.PluginContext,False
org.apache.commons.digester.Box,org.apache.commons.digester.Box,True
org.apache.commons.digester.xmlrules.FromXmlRuleSet,org.apache.commons.digester.xmlrules.FromXmlRuleSet,True
org.apache.commons.digester.xmlrules.FromXmlRuleSet.InputSourceXMLRulesLoader,org.apache.commons.digester.xmlrules.FromXmlRuleSet.InputSourceXMLRulesLoader,True
org.apache.commons.digester.xmlrules.FromXmlRuleSet.URLXMLRulesLoader,org.apache.commons.digester.xmlrules.FromXmlRuleSet.URLXMLRulesLoader,True
org.apache.commons.digester.xmlrules.FromXmlRuleSet.XMLRulesLoader,org.apache.commons.digester.xmlrules.FromXmlRuleSet.XMLRulesLoader,True
Main,Main,False
CompoundTransform,CompoundTransform,True
org.apache.commons.digester.xmlrules.CallParamTestObject,org.apache.commons.digester.xmlrules.CallParamTestObject,False
org.apache.commons.digester.substitution.VariableAttributes,org.apache.commons.digester.substitution.VariableAttributes,False
org.apache.commons.digester.NodeCreateRule,org.apache.commons.digester.NodeCreateRule,False
org.apache.commons.digester.NodeCreateRule.NodeBuilder,org.apache.commons.digester.NodeCreateRule.NodeBuilder,False
org.apache.commons.digester.plugins.strategies.FinderFromDfltMethod,org.apache.commons.digester.plugins.strategies.FinderFromDfltMethod,False
org.apache.commons.digester.CallMethodRuleTestCase,org.apache.commons.digester.CallMethodRuleTestCase,True
org.apache.commons.digester.CallMethodRuleTestCase.testProcessingHook.TestCallMethodRule,org.apache.commons.digester.CallMethodRuleTestCase.testProcessingHook.TestCallMethodRule,True
org.apache.commons.digester.NamedBean,org.apache.commons.digester.NamedBean,True
org.apache.commons.digester.PrimitiveBean,org.apache.commons.digester.PrimitiveBean,True
org.apache.commons.digester.BetaBean,org.apache.commons.digester.BetaBean,True
org.apache.commons.digester.ExtendedBaseRules,org.apache.commons.digester.ExtendedBaseRules,True
org.apache.commons.digester.ObjectCreationFactory,org.apache.commons.digester.ObjectCreationFactory,True
org.apache.commons.digester.RegexRulesTestCase,org.apache.commons.digester.RegexRulesTestCase,True
org.apache.commons.digester.RegexRulesTestCase.testClear.(Anon_4),org.apache.commons.digester.RegexRulesTestCase.testClear.(Anon_4),True
org.apache.commons.digester.RegexRulesTestCase.testMatchAll.(Anon_1),org.apache.commons.digester.RegexRulesTestCase.testMatchAll.(Anon_1),True
org.apache.commons.digester.RegexRulesTestCase.testMatchMixed.(Anon_3),org.apache.commons.digester.RegexRulesTestCase.testMatchMixed.(Anon_3),True
org.apache.commons.digester.RegexRulesTestCase.testMatchNothing.(Anon_2),org.apache.commons.digester.RegexRulesTestCase.testMatchNothing.(Anon_2),True
org.apache.commons.digester.SimpleRegexMatcher,org.apache.commons.digester.SimpleRegexMatcher,True
Person,Person,False
org.apache.commons.digester.plugins.strategies.FinderSetProperties,org.apache.commons.digester.plugins.strategies.FinderSetProperties,False
org.apache.commons.digester.plugins.TextLabel2RuleInfo,org.apache.commons.digester.plugins.TextLabel2RuleInfo,True
org.apache.commons.digester.plugins.TestXmlRuleInfo,org.apache.commons.digester.plugins.TestXmlRuleInfo,False
org.apache.commons.digester.plugins.TestInline,org.apache.commons.digester.plugins.TestInline,False
org.apache.commons.digester.plugins.TestDeclaration,org.apache.commons.digester.plugins.TestDeclaration,False
org.apache.commons.digester.plugins.TestLocalRules,org.apache.commons.digester.plugins.TestLocalRules,False
org.apache.commons.digester.plugins.TestRecursion,org.apache.commons.digester.plugins.TestRecursion,False
org.apache.commons.digester.TestRuleSet,org.apache.commons.digester.TestRuleSet,True
SetTextSegmentRule,SetTextSegmentRule,True
TextSegmentHandler,TextSegmentHandler,True
org.apache.commons.digester.ParserFeatureSetterFactory,org.apache.commons.digester.ParserFeatureSetterFactory,False
org.apache.commons.digester.parser.GenericParser,org.apache.commons.digester.parser.GenericParser,False
org.apache.commons.digester.parser.XercesParser,org.apache.commons.digester.parser.XercesParser,False
