old,new,isSame
src\examples\xmlrules\addressbook\src\main\java\org\apache\commons\digester3\examples\xmlrules\addressbook\Main.java,src\examples\api\document-markup\src\main\java\org\apache\commons\digester3\examples\api\documentmarkup\Main.java,False
src\test\java\org\apache\commons\digester3\annotations\addressbook\AddressBookTestCase.java,src\test\java\org\apache\commons\digester3\annotations\addressbook\AddressBookTestCase.java,True
src\main\java\org\apache\commons\digester3\SetPropertyRule.java,src\main\java\org\apache\commons\digester3\xmlrules\SetPropertyRule.java,False
src\main\java\org\apache\commons\digester3\plugins\strategies\FinderSetProperties.java,src\main\java\org\apache\commons\digester3\plugins\strategies\FinderSetProperties.java,True
src\test\java\org\apache\commons\digester3\xmlrules\DigesterRulesSourceTestImpl.java,src\test\java\org\apache\commons\digester3\xmlrules\DigesterRulesSourceTestImpl.java,True
src\main\java\org\apache\commons\digester3\binder\SetRootBuilder.java,src\main\java\org\apache\commons\digester3\binder\SetRootBuilder.java,True
src\main\java\org\apache\commons\digester3\RuleSet.java,src\main\java\org\apache\commons\digester3\RuleSet.java,True
src\main\java\org\apache\commons\digester3\xmlrules\ObjectParamRule.java,src\main\java\org\apache\commons\digester3\ObjectParamRule.java,False
src\main\java\org\apache\commons\digester3\SimpleRegexMatcher.java,src\main\java\org\apache\commons\digester3\SimpleRegexMatcher.java,True
src\test\java\org\apache\commons\digester3\SetPropertyRuleTestCase.java,src\test\java\org\apache\commons\digester3\SetPropertyRuleTestCase.java,True
src\examples\xmlrules\addressbook\src\main\java\org\apache\commons\digester3\examples\xmlrules\addressbook\AddressBook.java,src\test\java\org\apache\commons\digester3\annotations\addressbook\AddressBook.java,False
src\main\java\org\apache\commons\digester3\annotations\handlers\PathCallParamHandler.java,src\main\java\org\apache\commons\digester3\annotations\handlers\PathCallParamHandler.java,True
src\main\java\org\apache\commons\digester3\annotations\DefaultAnnotationHandlerFactory.java,src\main\java\org\apache\commons\digester3\annotations\DefaultAnnotationHandlerFactory.java,True
src\main\java\org\apache\commons\digester3\plugins\strategies\FinderFromClass.java,src\main\java\org\apache\commons\digester3\plugins\strategies\FinderFromClass.java,True
src\main\java\org\apache\commons\digester3\annotations\rules\package-info.java,src\main\java\org\apache\commons\digester3\annotations\handlers\package-info.java,False
src\main\java\org\apache\commons\digester3\plugins\RuleLoader.java,src\main\java\org\apache\commons\digester3\plugins\RuleLoader.java,True
src\test\java\org\apache\commons\digester3\Digester133TestCase.java,src\test\java\org\apache\commons\digester3\Digester133TestCase.java,True
src\test\java\org\apache\commons\digester3\plugins\TestXmlRuleInfo.java,src\test\java\org\apache\commons\digester3\plugins\TestXmlRuleInfo.java,True
src\main\java\org\apache\commons\digester3\plugins\PluginException.java,src\main\java\org\apache\commons\digester3\plugins\PluginException.java,True
src\main\java\org\apache\commons\digester3\binder\LinkedRuleBuilder.java,src\main\java\org\apache\commons\digester3\binder\LinkedRuleBuilder.java,True
src\main\java\org\apache\commons\digester3\annotations\handlers\ObjectCreateHandler.java,src\main\java\org\apache\commons\digester3\annotations\handlers\ObjectCreateHandler.java,True
src\main\java\org\apache\commons\digester3\xmlrules\AbstractXmlRule.java,src\main\java\org\apache\commons\digester3\xmlrules\AbstractXmlRule.java,True
src\main\java\org\apache\commons\digester3\xmlrules\SetRootRule.java,src\main\java\org\apache\commons\digester3\xmlrules\SetRootRule.java,True
