old,new,isSame
org.apache.commons.io.filefilter.PrefixFileFilter,org.apache.commons.io.filefilter.PrefixFileFilter,True
org.apache.commons.io.IOCase,org.apache.commons.io.IOCase,True
org.apache.commons.io.filefilter.AbstractFileFilter,org.apache.commons.io.filefilter.AbstractFileFilter,True
org.apache.commons.io.input.XmlStreamReaderException,org.apache.commons.io.input.XmlStreamReaderException,True
org.apache.commons.io.CharsetsTestCase,org.apache.commons.io.CharsetsTestCase,True
org.apache.commons.io.Charsets,org.apache.commons.io.Charsets,True
org.apache.commons.io.filefilter.DirectoryFileFilter,org.apache.commons.io.filefilter.DirectoryFileFilter,True
org.apache.commons.io.filefilter.IOFileFilter,org.apache.commons.io.filefilter.IOFileFilter,True
org.apache.commons.io.filefilter.NotFileFilter,org.apache.commons.io.filefilter.NotFileFilter,True
org.apache.commons.io.FileDeleteStrategyTestCase,org.apache.commons.io.FileDeleteStrategyTestCase,True
org.apache.commons.io.testtools.FileBasedTestCase,org.apache.commons.io.testtools.FileBasedTestCase,True
org.apache.commons.io.FileDeleteStrategy,org.apache.commons.io.FileDeleteStrategy,True
org.apache.commons.io.CopyUtils,org.apache.commons.io.CopyUtils,True
org.apache.commons.io.input.CloseShieldInputStreamTest,org.apache.commons.io.input.CloseShieldInputStreamTest,True
org.apache.commons.io.input.CloseShieldInputStreamTest.setUp.(Anon_1),org.apache.commons.io.input.CloseShieldInputStreamTest.setUp.(Anon_1),True
org.apache.commons.io.input.CloseShieldInputStream,org.apache.commons.io.input.CloseShieldInputStream,True
org.apache.commons.io.input.TailerListener,org.apache.commons.io.input.TailerListener,True
org.apache.commons.io.input.Tailer,org.apache.commons.io.input.Tailer,False
org.apache.commons.io.FileUtilsListFilesTestCase,org.apache.commons.io.FileUtilsListFilesTestCase,True
org.apache.commons.io.filefilter.FileFilterUtils,org.apache.commons.io.filefilter.FileFilterUtils,True
org.apache.commons.io.FileUtils,org.apache.commons.io.FileUtils,False
org.apache.commons.io.output.ByteArrayOutputStreamTestCase,org.apache.commons.io.output.ByteArrayOutputStreamTestCase,True
org.apache.commons.io.output.ByteArrayOutputStream,org.apache.commons.io.output.ByteArrayOutputStream,True
org.apache.commons.io.output.BrokenOutputStream,org.apache.commons.io.output.BrokenOutputStream,True
org.apache.commons.io.filefilter.FalseFileFilter,org.apache.commons.io.filefilter.FalseFileFilter,True
org.apache.commons.io.filefilter.SuffixFileFilter,org.apache.commons.io.filefilter.SuffixFileFilter,True
org.apache.commons.io.filefilter.TrueFileFilter,org.apache.commons.io.filefilter.TrueFileFilter,True
org.apache.commons.io.output.NullOutputStream,org.apache.commons.io.output.NullOutputStream,True
org.apache.commons.io.LineIterator,org.apache.commons.io.LineIterator,True
org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils,False
org.apache.commons.io.FilenameUtils,org.apache.commons.io.FilenameUtils,True
org.apache.commons.io.FileExistsException,org.apache.commons.io.FileExistsException,True
org.apache.commons.io.LineIteratorTestCase,org.apache.commons.io.LineIteratorTestCase,True
org.apache.commons.io.LineIteratorTestCase.testFiltering.(Anon_2),org.apache.commons.io.LineIteratorTestCase.testFiltering.(Anon_2),True
org.apache.commons.io.LineIteratorTestCase.testNextWithException.(Anon_1),org.apache.commons.io.LineIteratorTestCase.testNextWithException.(Anon_1),True
org.apache.commons.io.comparator.DefaultFileComparator,org.apache.commons.io.comparator.DefaultFileComparator,True
org.apache.commons.io.comparator.AbstractFileComparator,org.apache.commons.io.comparator.AbstractFileComparator,True
org.apache.commons.io.comparator.ReverseComparator,org.apache.commons.io.comparator.ReverseComparator,True
org.apache.commons.io.filefilter.WildcardFileFilter,org.apache.commons.io.filefilter.WildcardFileFilter,True
org.apache.commons.io.input.BOMInputStream,org.apache.commons.io.input.BOMInputStream,False
org.apache.commons.io.ByteOrderMark,org.apache.commons.io.ByteOrderMark,True
org.apache.commons.io.input.ProxyInputStream,org.apache.commons.io.input.ProxyInputStream,True
org.apache.commons.io.TaggedIOException,org.apache.commons.io.TaggedIOException,True
org.apache.commons.io.IOExceptionWithCause,org.apache.commons.io.IOExceptionWithCause,True
org.apache.commons.io.output.ProxyWriterTest,org.apache.commons.io.output.ProxyWriterTest,True
org.apache.commons.io.output.ProxyWriter,org.apache.commons.io.output.ProxyWriter,True
org.apache.commons.io.output.StringBuilderWriter,org.apache.commons.io.output.StringBuilderWriter,True
org.apache.commons.io.output.NullWriter,org.apache.commons.io.output.NullWriter,True
org.apache.commons.io.comparator.NameFileComparator,org.apache.commons.io.comparator.NameFileComparator,True
org.apache.commons.io.input.CharSequenceInputStreamTest,org.apache.commons.io.input.CharSequenceInputStreamTest,True
org.apache.commons.io.input.CharSequenceInputStream,org.apache.commons.io.input.CharSequenceInputStream,True
org.apache.commons.io.input.ProxyReaderTest,org.apache.commons.io.input.ProxyReaderTest,True
org.apache.commons.io.input.ProxyReaderTest.CustomNullReader,org.apache.commons.io.input.ProxyReaderTest.CustomNullReader,True
org.apache.commons.io.input.ProxyReaderTest.ProxyReaderImpl,org.apache.commons.io.input.ProxyReaderTest.ProxyReaderImpl,True
org.apache.commons.io.input.ProxyReader,org.apache.commons.io.input.ProxyReader,True
org.apache.commons.io.input.NullReader,org.apache.commons.io.input.NullReader,True
org.apache.commons.io.input.XmlStreamReaderTest,org.apache.commons.io.input.XmlStreamReaderTest,False
org.apache.commons.io.input.XmlStreamReader,org.apache.commons.io.input.XmlStreamReader,False
org.apache.commons.io.filefilter.EmptyFileFilter,org.apache.commons.io.filefilter.EmptyFileFilter,True
org.apache.commons.io.filefilter.DelegateFileFilter,org.apache.commons.io.filefilter.DelegateFileFilter,True
org.apache.commons.io.filefilter.AndFileFilter,org.apache.commons.io.filefilter.AndFileFilter,True
org.apache.commons.io.filefilter.ConditionalFileFilter,org.apache.commons.io.filefilter.ConditionalFileFilter,True
org.apache.commons.io.FileCleanerTestCase,org.apache.commons.io.FileCleanerTestCase,True
org.apache.commons.io.FileCleaningTrackerTestCase,org.apache.commons.io.FileCleaningTrackerTestCase,True
org.apache.commons.io.FileCleaningTracker,org.apache.commons.io.FileCleaningTracker,True
org.apache.commons.io.FileCleaner,org.apache.commons.io.FileCleaner,True
org.apache.commons.io.HexDump,org.apache.commons.io.HexDump,True
org.apache.commons.io.output.CountingOutputStreamTest,org.apache.commons.io.output.CountingOutputStreamTest,True
org.apache.commons.io.input.NullInputStream,org.apache.commons.io.input.NullInputStream,True
org.apache.commons.io.output.CountingOutputStream,org.apache.commons.io.output.CountingOutputStream,True
org.apache.commons.io.output.ProxyOutputStream,org.apache.commons.io.output.ProxyOutputStream,True
org.apache.commons.io.input.TeeInputStreamTest,org.apache.commons.io.input.TeeInputStreamTest,True
org.apache.commons.io.input.TeeInputStream,org.apache.commons.io.input.TeeInputStream,True
org.apache.commons.io.output.LockableFileWriterTest,org.apache.commons.io.output.LockableFileWriterTest,True
org.apache.commons.io.output.LockableFileWriter,org.apache.commons.io.output.LockableFileWriter,False
org.apache.commons.io.input.NullInputStreamTest,org.apache.commons.io.input.NullInputStreamTest,True
org.apache.commons.io.input.NullInputStreamTest.TestNullInputStream,org.apache.commons.io.input.NullInputStreamTest.TestNullInputStream,True
org.apache.commons.io.filefilter.FileFileFilter,org.apache.commons.io.filefilter.FileFileFilter,True
org.apache.commons.io.monitor.FileAlterationObserverTestCase,org.apache.commons.io.monitor.FileAlterationObserverTestCase,True
org.apache.commons.io.filefilter.CanReadFileFilter,org.apache.commons.io.filefilter.CanReadFileFilter,True
org.apache.commons.io.monitor.AbstractMonitorTestCase,org.apache.commons.io.monitor.AbstractMonitorTestCase,True
org.apache.commons.io.monitor.FileAlterationListenerAdaptor,org.apache.commons.io.monitor.FileAlterationListenerAdaptor,True
org.apache.commons.io.monitor.FileAlterationObserver,org.apache.commons.io.monitor.FileAlterationObserver,True
org.apache.commons.io.monitor.CollectionFileListener,org.apache.commons.io.monitor.CollectionFileListener,True
org.apache.commons.io.monitor.FileAlterationListener,org.apache.commons.io.monitor.FileAlterationListener,True
org.apache.commons.io.output.XmlStreamWriter,org.apache.commons.io.output.XmlStreamWriter,True
org.apache.commons.io.comparator.PathFileComparator,org.apache.commons.io.comparator.PathFileComparator,True
org.apache.commons.io.filefilter.SizeFileFilter,org.apache.commons.io.filefilter.SizeFileFilter,True
org.apache.commons.io.filefilter.HiddenFileFilter,org.apache.commons.io.filefilter.HiddenFileFilter,True
org.apache.commons.io.output.TeeOutputStreamTest,org.apache.commons.io.output.TeeOutputStreamTest,True
org.apache.commons.io.output.TeeOutputStreamTest.ExceptionOnCloseByteArrayOutputStream,org.apache.commons.io.output.TeeOutputStreamTest.ExceptionOnCloseByteArrayOutputStream,True
org.apache.commons.io.output.TeeOutputStreamTest.RecordCloseByteArrayOutputStream,org.apache.commons.io.output.TeeOutputStreamTest.RecordCloseByteArrayOutputStream,True
org.apache.commons.io.output.TeeOutputStream,org.apache.commons.io.output.TeeOutputStream,True
org.apache.commons.io.EndianUtils,org.apache.commons.io.EndianUtils,True
org.apache.commons.io.input.CharSequenceReader,org.apache.commons.io.input.CharSequenceReader,True
org.apache.commons.io.input.TailerListenerAdapter,org.apache.commons.io.input.TailerListenerAdapter,True
org.apache.commons.io.IOUtilsTestCase,org.apache.commons.io.IOUtilsTestCase,False
org.apache.commons.io.IOUtilsTestCase.testCloseQuietlySelectorIOException.(Anon_4),org.apache.commons.io.IOUtilsTestCase.testCloseQuietlySelectorIOException.(Anon_4),False
org.apache.commons.io.IOUtilsTestCase.testCloseableCloseQuietlyOnException.(Anon_1),org.apache.commons.io.IOUtilsTestCase.testCloseableCloseQuietlyOnException.(Anon_1),False
org.apache.commons.io.IOUtilsTestCase.testServerSocketCloseQuietlyOnException.(Anon_3),org.apache.commons.io.IOUtilsTestCase.testServerSocketCloseQuietlyOnException.(Anon_3),False
org.apache.commons.io.IOUtilsTestCase.testSocketCloseQuietlyOnException.(Anon_2),org.apache.commons.io.IOUtilsTestCase.testSocketCloseQuietlyOnException.(Anon_2),False
org.apache.commons.io.SelectorAdapter,org.apache.commons.io.SelectorAdapter,True
org.apache.commons.io.IOUtilsWriteTestCase,org.apache.commons.io.IOUtilsWriteTestCase,True
org.apache.commons.io.testtools.YellOnFlushAndCloseOutputStream,org.apache.commons.io.testtools.YellOnFlushAndCloseOutputStream,True
org.apache.commons.io.input.BoundedInputStreamTest,org.apache.commons.io.input.BoundedInputStreamTest,True
org.apache.commons.io.input.BoundedInputStream,org.apache.commons.io.input.BoundedInputStream,True
org.apache.commons.io.comparator.LastModifiedFileComparator,org.apache.commons.io.comparator.LastModifiedFileComparator,True
org.apache.commons.io.output.TaggedOutputStream,org.apache.commons.io.output.TaggedOutputStream,True
org.apache.commons.io.input.compatibility.XmlStreamReader,org.apache.commons.io.input.compatibility.XmlStreamReader,False
org.apache.commons.io.input.compatibility.XmlStreamReaderException,org.apache.commons.io.input.compatibility.XmlStreamReaderException,True
org.apache.commons.io.input.SwappedDataInputStreamTest,org.apache.commons.io.input.SwappedDataInputStreamTest,True
org.apache.commons.io.input.SwappedDataInputStream,org.apache.commons.io.input.SwappedDataInputStream,True
org.apache.commons.io.monitor.FileEntry,org.apache.commons.io.monitor.FileEntry,True
org.apache.commons.io.output.DeferredFileOutputStreamTest,org.apache.commons.io.output.DeferredFileOutputStreamTest,True
org.apache.commons.io.output.DeferredFileOutputStream,org.apache.commons.io.output.DeferredFileOutputStream,True
org.apache.commons.io.output.ThresholdingOutputStream,org.apache.commons.io.output.ThresholdingOutputStream,True
org.apache.commons.io.comparator.SizeFileComparator,org.apache.commons.io.comparator.SizeFileComparator,True
org.apache.commons.io.EndianUtilsTest,org.apache.commons.io.EndianUtilsTest,True
org.apache.commons.io.FileSystemUtils,org.apache.commons.io.FileSystemUtils,True
org.apache.commons.io.ThreadMonitor,org.apache.commons.io.ThreadMonitor,True
org.apache.commons.io.IOUtilsCopyTestCase,org.apache.commons.io.IOUtilsCopyTestCase,True
org.apache.commons.io.testtools.YellOnCloseInputStream,org.apache.commons.io.testtools.YellOnCloseInputStream,True
org.apache.commons.io.filefilter.WildcardFilter,org.apache.commons.io.filefilter.WildcardFilter,True
org.apache.commons.io.FileSystemUtilsTestCase,org.apache.commons.io.FileSystemUtilsTestCase,True
org.apache.commons.io.FileSystemUtilsTestCase.MockFileSystemUtils,org.apache.commons.io.FileSystemUtilsTestCase.MockFileSystemUtils,True
org.apache.commons.io.FileSystemUtilsTestCase.MockFileSystemUtils.openProcess.(Anon_3),org.apache.commons.io.FileSystemUtilsTestCase.MockFileSystemUtils.openProcess.(Anon_3),True
org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Unix.(Anon_2),org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Unix.(Anon_2),True
