old,new,isSame
commons-jcs-core\src\main\java\org\apache\commons\jcs\utils\struct\DoubleLinkedList.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\utils\struct\DoubleLinkedList.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\utils\discovery\UDPDiscoveryUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\utils\discovery\UDPDiscoveryUnitTest.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\lateral\socket\tcp\LateralTCPSender.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\lateral\socket\tcp\LateralTCPSender.java,True
commons-jcs-sandbox\filecache\src\test\java\org\apache\commons\jcs\auxiliary\disk\file\FileDiskCacheFactoryUnitTest.java,commons-jcs-sandbox\filecache\src\test\java\org\apache\commons\jcs\auxiliary\disk\file\FileDiskCacheFactoryUnitTest.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\AbstractAuxiliaryCacheEventLogging.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\AbstractAuxiliaryCacheEventLogging.java,True
auxiliary-builds\jdk14\src\java\org\apache\commons\jcs\auxiliary\lateral\LateralCacheFactory.java,auxiliary-builds\jdk14\src\java\org\apache\commons\jcs\auxiliary\lateral\LateralCacheFactory.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\http\client\RemoteHttpCacheDispatcher.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\http\client\RemoteHttpCacheDispatcher.java,True
commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\jmx\JMXs.java,commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\jmx\JMXs.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\http\client\RemoteHttpCacheAttributes.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\http\client\RemoteHttpCacheAttributes.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\disk\block\BlockDiskCacheSizeUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\disk\block\BlockDiskCacheSizeUnitTest.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\RemovalTestUtil.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\RemovalTestUtil.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\control\event\behavior\IElementEventQueue.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\control\event\behavior\IElementEventQueue.java,True
auxiliary-builds\jdk14\src\java\org\apache\commons\jcs\auxiliary\lateral\javagroups\LateralJGReceiver.java,auxiliary-builds\jdk14\src\java\org\apache\commons\jcs\auxiliary\lateral\javagroups\LateralJGReceiver.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\admin\CountingOnlyOutputStream.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\admin\CountingOnlyOutputStream.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\RemoteCacheFailoverRunner.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\RemoteCacheFailoverRunner.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\MockCacheEventLogger.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\MockCacheEventLogger.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\utils\struct\LRUElementDescriptor.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\utils\struct\LRUElementDescriptor.java,True
commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\JCSCachingManager.java,commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\JCSCachingManager.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\behavior\ICommonRemoteCacheAttributes.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\behavior\ICommonRemoteCacheAttributes.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\utils\discovery\MockDiscoveryListener.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\utils\discovery\MockDiscoveryListener.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\memory\AbstractDoubleLinkedListMemoryCache.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\memory\AbstractDoubleLinkedListMemoryCache.java,True
commons-jcs-sandbox\yajcache\src\main\java\org\apache\commons\jcs\yajcache\file\CacheFileContent.java,commons-jcs-sandbox\yajcache\src\main\java\org\apache\commons\jcs\yajcache\file\CacheFileContent.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\utils\serialization\CompressingSerializerUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\utils\serialization\CompressingSerializerUnitTest.java,True
commons-jcs-sandbox\yajcache\src\main\java\org\apache\commons\jcs\yajcache\util\ClassUtils.java,commons-jcs-sandbox\yajcache\src\main\java\org\apache\commons\jcs\yajcache\util\ClassUtils.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\match\KeyMatcherPatternImpllUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\match\KeyMatcherPatternImpllUnitTest.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\behavior\IElementSerializer.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\behavior\IElementSerializer.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\control\event\SimpleEventHandlingUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\control\event\SimpleEventHandlingUnitTest.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\disk\block\BlockDiskElementDescriptor.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\disk\block\BlockDiskElementDescriptor.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\MockAuxiliaryCacheAttributes.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\MockAuxiliaryCacheAttributes.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\lateral\LateralCacheNoWait.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\lateral\LateralCacheNoWait.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\AbstractRemoteCacheNoWaitFacade.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\auxiliary\remote\AbstractRemoteCacheNoWaitFacade.java,False
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\control\CompositeCacheManager.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\control\CompositeCacheManager.java,False
commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\Times.java,commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\Times.java,True
commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\cdi\CacheResolverImpl.java,commons-jcs-jcache\src\main\java\org\apache\commons\jcs\jcache\cdi\CacheResolverImpl.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\memory\mru\LRUvsMRUPerformanceTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\memory\mru\LRUvsMRUPerformanceTest.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\CacheAdaptor.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\CacheAdaptor.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\remote\RemoteCacheNoWaitUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\remote\RemoteCacheNoWaitUnitTest.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\CacheInfo.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\CacheInfo.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\disk\jdbc\mysql\util\ScheduleParserUtilUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\disk\jdbc\mysql\util\ScheduleParserUtilUnitTest.java,True
commons-jcs-jcache-openjpa\src\test\java\org\apache\commons\jcs\jcache\openjpa\OpenJPAJCacheDataCacheTest.java,commons-jcs-jcache-openjpa\src\test\java\org\apache\commons\jcs\jcache\openjpa\OpenJPAJCacheDataCacheTest.java,True
commons-jcs-sandbox\filecache\src\main\java\org\apache\commons\jcs\auxiliary\disk\file\FileDiskCacheManager.java,commons-jcs-sandbox\filecache\src\main\java\org\apache\commons\jcs\auxiliary\disk\file\FileDiskCacheManager.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\ZombieCacheWatch.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\ZombieCacheWatch.java,True
src\experimental\org\apache\commons\jcs\auxiliary\lateral\socket\udp\LateralUDPService.java,src\experimental\org\apache\commons\jcs\auxiliary\lateral\socket\udp\LateralUDPService.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\memory\mru\MRUMemoryCacheUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\memory\mru\MRUMemoryCacheUnitTest.java,True
auxiliary-builds\jdk14\src\java\org\apache\commons\jcs\auxiliary\lateral\javagroups\LateralJGReceiverConnection.java,auxiliary-builds\jdk14\src\java\org\apache\commons\jcs\auxiliary\lateral\javagroups\LateralJGReceiverConnection.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\EventQueueConcurrentLoadTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\EventQueueConcurrentLoadTest.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\control\CompositeCacheConfiguratorUnitTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\engine\control\CompositeCacheConfiguratorUnitTest.java,True
commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\lateral\socket\tcp\LateralTCPNoDeadLockConcurrentTest.java,commons-jcs-core\src\test\java\org\apache\commons\jcs\auxiliary\lateral\socket\tcp\LateralTCPNoDeadLockConcurrentTest.java,True
commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\AbstractCacheEventQueue.java,commons-jcs-core\src\main\java\org\apache\commons\jcs\engine\AbstractCacheEventQueue.java,True
