old,new,isSame
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\Expression.java,src\main\java\org\apache\commons\jexl2\Expression.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\Script.java,src\main\java\org\apache\commons\jexl2\Script.java,False
src\test\java\org\apache\commons\jexl2\CacheTest.java,src\test\java\org\apache\commons\jexl2\CacheTest.java,False
src\main\java\org\apache\commons\jexl2\internal\introspection\MethodKey.java,src\main\java\org\apache\commons\jexl2\internal\introspection\MethodKey.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\JexlContext.java,src\main\java\org\apache\commons\jexl2\JexlContext.java,True
jexl2-compat\src\test\java\org\apache\commons\jexl\ScriptTest.java,jexl2-compat\src\test\java\org\apache\commons\jexl\ScriptTest.java,True
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\UnifiedJEXLTest.java,src\test\java\org\apache\commons\jexl2\UnifiedJEXLTest.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\JexlContext.java,jexl2-compat\src\main\java\org\apache\commons\jexl\JexlContext.java,False
src\main\java\org\apache\commons\jexl2\introspection\JexlMethod.java,src\main\java\org\apache\commons\jexl2\introspection\JexlMethod.java,True
src\main\java\org\apache\commons\jexl2\introspection\JexlPropertyGet.java,src\main\java\org\apache\commons\jexl2\introspection\JexlPropertyGet.java,True
src\test\java\org\apache\commons\jexl2\Foo.java,src\test\java\org\apache\commons\jexl2\Foo.java,True
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\ClassCreator.java,src\test\java\org\apache\commons\jexl2\ClassCreator.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\DuckSetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\DuckSetExecutor.java,True
src\main\java\org\apache\commons\jexl2\ExpressionImpl.java,src\main\java\org\apache\commons\jexl2\ExpressionImpl.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\parser\StringParser.java,src\main\java\org\apache\commons\jexl2\parser\StringParser.java,False
src\main\java\org\apache\commons\jexl2\internal\ArrayIterator.java,src\main\java\org\apache\commons\jexl2\internal\ArrayIterator.java,True
src\main\java\org\apache\commons\jexl2\Main.java,src\main\java\org\apache\commons\jexl2\scripting\Main.java,False
src\test\java\org\apache\commons\jexl2\scripting\JexlScriptEngineTest.java,src\test\java\org\apache\commons\jexl2\scripting\JexlScriptEngineTest.java,False
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\IfTest.java,src\test\java\org\apache\commons\jexl2\IfTest.java,False
COMMONS_JEXL_2_0\jexl2-compat\src\main\java\org\apache\commons\jexl\ScriptFactory.java,jexl2-compat\src\main\java\org\apache\commons\jexl\ScriptFactory.java,True
src\test\java\org\apache\commons\jexl2\examples\Output.java,src\test\java\org\apache\commons\jexl2\examples\Output.java,True
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\IssuesTest.java,src\test\java\org\apache\commons\jexl2\IssuesTest.java,False
src\main\java\org\apache\commons\jexl2\internal\ArrayListWrapper.java,src\main\java\org\apache\commons\jexl2\internal\ArrayListWrapper.java,False
src\test\java\org\apache\commons\jexl2\ArrayAccessTest.java,src\test\java\org\apache\commons\jexl2\ArrayAccessTest.java,False
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\AssignTest.java,src\test\java\org\apache\commons\jexl2\AssignTest.java,False
src\main\java\org\apache\commons\jexl2\internal\Introspector.java,src\main\java\org\apache\commons\jexl2\internal\Introspector.java,False
src\test\java\org\apache\commons\jexl2\ArithmeticTest.java,src\test\java\org\apache\commons\jexl2\ArithmeticTest.java,False
src\main\java\org\apache\commons\jexl2\Debugger.java,src\main\java\org\apache\commons\jexl2\Debugger.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\BooleanGetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\BooleanGetExecutor.java,True
src\main\java\org\apache\commons\jexl2\parser\JexlNode.java,src\main\java\org\apache\commons\jexl2\parser\JexlNode.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\Script.java,jexl2-compat\src\main\java\org\apache\commons\jexl\Script.java,False
src\main\java\org\apache\commons\jexl2\JexlArithmetic.java,src\main\java\org\apache\commons\jexl2\JexlArithmetic.java,False
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\examples\MethodPropertyTest.java,src\test\java\org\apache\commons\jexl2\examples\MethodPropertyTest.java,True
src\test\java\org\apache\commons\jexl2\JexlTestCase.java,src\test\java\org\apache\commons\jexl2\JexlTestCase.java,False
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\Jexl.java,src\test\java\org\apache\commons\jexl2\Jexl.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\PropertyGetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\PropertyGetExecutor.java,True
src\test\java\org\apache\commons\jexl2\scripting\JexlScriptEngineOptionalTest.java,src\test\java\org\apache\commons\jexl2\scripting\JexlScriptEngineOptionalTest.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\JexlException.java,src\main\java\org\apache\commons\jexl2\JexlException.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\MethodExecutor.java,src\main\java\org\apache\commons\jexl2\internal\MethodExecutor.java,False
src\test\java\org\apache\commons\jexl2\JexlTest.java,src\test\java\org\apache\commons\jexl2\JexlTest.java,False
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\junit\Asserter.java,src\test\java\org\apache\commons\jexl2\junit\Asserter.java,False
src\test\java\org\apache\commons\jexl2\ParseFailuresTest.java,src\test\java\org\apache\commons\jexl2\ParseFailuresTest.java,False
jexl2-compat\src\main\java\org\apache\commons\jexl\ExpressionFactory.java,jexl2-compat\src\main\java\org\apache\commons\jexl\ExpressionFactory.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\MapSetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\MapSetExecutor.java,True
src\test\java\org\apache\commons\jexl2\ForEachTest.java,src\test\java\org\apache\commons\jexl2\ForEachTest.java,True
src\test\java\org\apache\commons\jexl2\internal\introspection\DiscoveryTest.java,src\test\java\org\apache\commons\jexl2\internal\introspection\DiscoveryTest.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\ListSetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\ListSetExecutor.java,True
COMMONS_JEXL_2_0\jexl2-compat\src\main\java\org\apache\commons\jexl\JexlOne.java,jexl2-compat\src\main\java\org\apache\commons\jexl\JexlOne.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\MapGetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\MapGetExecutor.java,True
src\main\java\org\apache\commons\jexl2\internal\PropertySetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\PropertySetExecutor.java,True
src\test\java\org\apache\commons\jexl2\BlockTest.java,src\test\java\org\apache\commons\jexl2\BlockTest.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\Expression.java,jexl2-compat\src\main\java\org\apache\commons\jexl\Expression.java,False
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\examples\ArrayTest.java,src\test\java\org\apache\commons\jexl2\examples\ArrayTest.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\introspection\ClassMap.java,src\main\java\org\apache\commons\jexl2\internal\introspection\ClassMap.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\DebugInfo.java,src\main\java\org\apache\commons\jexl2\DebugInfo.java,False
jexl2-compat\src\test\java\org\apache\commons\jexl\ScriptTest.java,src\test\java\org\apache\commons\jexl2\ScriptTest.java,False
src\main\java\org\apache\commons\jexl2\internal\ListGetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\ListGetExecutor.java,True
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\junit\AsserterTest.java,src\test\java\org\apache\commons\jexl2\junit\AsserterTest.java,True
src\main\java\org\apache\commons\jexl2\internal\AbstractExecutor.java,src\main\java\org\apache\commons\jexl2\internal\AbstractExecutor.java,True
src\main\java\org\apache\commons\jexl2\internal\DuckGetExecutor.java,src\main\java\org\apache\commons\jexl2\internal\DuckGetExecutor.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\JexlEngine.java,src\main\java\org\apache\commons\jexl2\JexlEngine.java,False
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\introspection\Uberspect.java,src\main\java\org\apache\commons\jexl2\introspection\Uberspect.java,False
src\main\java\org\apache\commons\jexl2\Interpreter.java,src\main\java\org\apache\commons\jexl2\Interpreter.java,False
jexl2-compat\src\main\java\org\apache\commons\jexl\context\HashMapContext.java,jexl2-compat\src\main\java\org\apache\commons\jexl\context\HashMapContext.java,True
src\test\java\org\apache\commons\jexl2\parser\ParserTest.java,src\test\java\org\apache\commons\jexl2\parser\ParserTest.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\MapContext.java,src\main\java\org\apache\commons\jexl2\MapContext.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\scripting\JexlScriptEngine.java,src\main\java\org\apache\commons\jexl2\scripting\JexlScriptEngine.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\internal\EnumerationIterator.java,src\main\java\org\apache\commons\jexl2\internal\EnumerationIterator.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\introspection\JexlPropertySet.java,src\main\java\org\apache\commons\jexl2\introspection\JexlPropertySet.java,True
COMMONS_JEXL_2_0\src\main\java\org\apache\commons\jexl2\JexlInfo.java,src\main\java\org\apache\commons\jexl2\JexlInfo.java,False
jexl2-compat\src\main\java\org\apache\commons\jexl\JexlHelper.java,jexl2-compat\src\main\java\org\apache\commons\jexl\JexlHelper.java,True
src\main\java\org\apache\commons\jexl2\parser\SimpleNode.java,src\main\java\org\apache\commons\jexl2\parser\SimpleNode.java,False
src\main\java\org\apache\commons\jexl2\introspection\UberspectImpl.java,src\main\java\org\apache\commons\jexl2\introspection\UberspectImpl.java,False
src\test\java\org\apache\commons\jexl2\ClassCreatorTest.java,src\test\java\org\apache\commons\jexl2\ClassCreatorTest.java,True
src\main\java\org\apache\commons\jexl2\internal\introspection\IntrospectorBase.java,src\main\java\org\apache\commons\jexl2\internal\introspection\IntrospectorBase.java,False
src\test\java\org\apache\commons\jexl2\BitwiseOperatorTest.java,src\test\java\org\apache\commons\jexl2\BitwiseOperatorTest.java,True
COMMONS_JEXL_2_0\src\test\java\org\apache\commons\jexl2\MapLiteralTest.java,src\test\java\org\apache\commons\jexl2\MapLiteralTest.java,True
src\test\java\org\apache\commons\jexl2\WhileTest.java,src\test\java\org\apache\commons\jexl2\WhileTest.java,True
src\test\java\org\apache\commons\jexl2\ArrayLiteralTest.java,src\test\java\org\apache\commons\jexl2\ArrayLiteralTest.java,False
src\main\java\org\apache\commons\jexl2\UnifiedJEXL.java,src\main\java\org\apache\commons\jexl2\UnifiedJEXL.java,False
src\test\java\org\apache\commons\jexl2\internal\introspection\MethodKeyTest.java,src\test\java\org\apache\commons\jexl2\internal\introspection\MethodKeyTest.java,True
src\test\java\org\apache\commons\jexl2\PublicFieldsTest.java,src\test\java\org\apache\commons\jexl2\PublicFieldsTest.java,False
src\main\java\org\apache\commons\jexl2\internal\introspection\MethodMap.java,src\main\java\org\apache\commons\jexl2\internal\introspection\MethodMap.java,True
