old,new,isSame
org.apache.commons.lang.WordUtilsTest,org.apache.commons.lang.WordUtilsTest,False
org.apache.commons.lang.WordUtils,org.apache.commons.lang.WordUtils,False
org.apache.commons.lang.StringUtils,org.apache.commons.lang.StringUtils,False
org.apache.commons.lang.enums.Broken4OperationEnum,org.apache.commons.lang.enums.Broken4OperationEnum,True
org.apache.commons.lang.enums.Broken4OperationEnum.MinusOperation,org.apache.commons.lang.enums.Broken4OperationEnum.MinusOperation,True
org.apache.commons.lang.enums.Broken4OperationEnum.PlusOperation,org.apache.commons.lang.enums.Broken4OperationEnum.PlusOperation,True
org.apache.commons.lang.enums.Enum,org.apache.commons.lang.enums.Enum,False
org.apache.commons.lang.enums.ValuedEnum,org.apache.commons.lang.enums.ValuedEnum,True
org.apache.commons.lang.NullArgumentException,org.apache.commons.lang.NullArgumentException,True
org.apache.commons.lang.enums.ValuedEnumTest,org.apache.commons.lang.enums.ValuedEnumTest,True
org.apache.commons.lang.enums.ValuedEnumTest.TotallyUnrelatedClass,org.apache.commons.lang.enums.ValuedEnumTest.TotallyUnrelatedClass,True
org.apache.commons.lang.SerializationUtils,org.apache.commons.lang.SerializationUtils,True
org.apache.commons.lang.enums.ValuedColorEnum,org.apache.commons.lang.enums.ValuedColorEnum,True
org.apache.commons.lang.enums.ValuedLanguageEnum,org.apache.commons.lang.enums.ValuedLanguageEnum,True
org.apache.commons.lang.time.StopWatchTest,org.apache.commons.lang.time.StopWatchTest,False
org.apache.commons.lang.time.StopWatch,org.apache.commons.lang.time.StopWatch,False
org.apache.commons.lang.enums.EnumTest,org.apache.commons.lang.enums.EnumTest,True
org.apache.commons.lang.enums.ColorEnum,org.apache.commons.lang.enums.ColorEnum,True
org.apache.commons.lang.enums.Broken1Enum,org.apache.commons.lang.enums.Broken1Enum,True
org.apache.commons.lang.enums.Broken2Enum,org.apache.commons.lang.enums.Broken2Enum,True
org.apache.commons.lang.enums.Broken3Enum,org.apache.commons.lang.enums.Broken3Enum,True
org.apache.commons.lang.enums.Broken1OperationEnum,org.apache.commons.lang.enums.Broken1OperationEnum,True
org.apache.commons.lang.enums.Broken2OperationEnum,org.apache.commons.lang.enums.Broken2OperationEnum,True
org.apache.commons.lang.enums.Broken3OperationEnum,org.apache.commons.lang.enums.Broken3OperationEnum,True
org.apache.commons.lang.enums.Broken5OperationEnum,org.apache.commons.lang.enums.Broken5OperationEnum,True
org.apache.commons.lang.enums.OperationEnum,org.apache.commons.lang.enums.OperationEnum,True
org.apache.commons.lang.enums.Extended1Enum,org.apache.commons.lang.enums.Extended1Enum,True
org.apache.commons.lang.enums.Extended2Enum,org.apache.commons.lang.enums.Extended2Enum,True
org.apache.commons.lang.enums.Extended3Enum,org.apache.commons.lang.enums.Extended3Enum,True
org.apache.commons.lang.enums.Nest,org.apache.commons.lang.enums.Nest,True
org.apache.commons.lang.enums.Nest.ColorEnum,org.apache.commons.lang.enums.Nest.ColorEnum,True
org.apache.commons.lang.enums.NestBroken,org.apache.commons.lang.enums.NestBroken,True
org.apache.commons.lang.enums.NestBroken.ColorEnum,org.apache.commons.lang.enums.NestBroken.ColorEnum,True
