old,new,isSame
src\test\java\org\apache\commons\lang3\builder\HashCodeBuilderTest.java,src\test\java\org\apache\commons\lang3\builder\HashCodeBuilderTest.java,True
src\test\java\org\apache\commons\lang3\math\IEEE754rUtilsTest.java,src\test\java\org\apache\commons\lang3\math\IEEE754rUtilsTest.java,True
src\test\java\org\apache\commons\lang3\RandomStringUtilsTest.java,src\test\java\org\apache\commons\lang3\RandomStringUtilsTest.java,True
src\test\java\org\apache\commons\lang3\exception\AbstractExceptionContextTest.java,src\test\java\org\apache\commons\lang3\exception\AbstractExceptionContextTest.java,True
src\test\java\org\apache\commons\lang3\builder\MultiLineToStringStyleTest.java,src\test\java\org\apache\commons\lang3\builder\MultiLineToStringStyleTest.java,True
src\main\java\org\apache\commons\lang3\math\IEEE754rUtils.java,src\main\java\org\apache\commons\lang3\math\IEEE754rUtils.java,True
src\main\java\org\apache\commons\lang3\text\WordUtils.java,src\main\java\org\apache\commons\lang3\text\WordUtils.java,True
src\test\java\org\apache\commons\lang3\LocaleUtilsTest.java,src\test\java\org\apache\commons\lang3\LocaleUtilsTest.java,False
src\test\java\org\apache\commons\lang3\reflect\ConstructorUtilsTest.java,src\test\java\org\apache\commons\lang3\reflect\ConstructorUtilsTest.java,False
src\test\java\org\apache\commons\lang3\ArrayUtilsRemoveMultipleTest.java,src\test\java\org\apache\commons\lang3\ArrayUtilsRemoveMultipleTest.java,True
src\test\java\org\apache\commons\lang3\ValidateTest.java,src\test\java\org\apache\commons\lang3\ValidateTest.java,False
src\test\java\org\apache\commons\lang3\mutable\MutableBooleanTest.java,src\test\java\org\apache\commons\lang3\mutable\MutableBooleanTest.java,False
src\main\java\org\apache\commons\lang3\CharEncoding.java,src\main\java\org\apache\commons\lang3\CharEncoding.java,True
src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,True
src\main\java\org\apache\commons\lang3\builder\ToStringStyle.java,src\main\java\org\apache\commons\lang3\builder\ToStringStyle.java,True
src\test\java\org\apache\commons\lang3\reflect\testbed\GenericTypeHolder.java,src\test\java\org\apache\commons\lang3\reflect\testbed\GenericTypeHolder.java,True
src\test\java\org\apache\commons\lang3\ClassUtilsTest.java,src\test\java\org\apache\commons\lang3\ClassUtilsTest.java,True
src\main\java\org\apache\commons\lang3\builder\ToStringBuilder.java,src\main\java\org\apache\commons\lang3\builder\ToStringBuilder.java,True
src\main\java\org\apache\commons\lang3\BooleanUtils.java,src\main\java\org\apache\commons\lang3\BooleanUtils.java,False
src\main\java\org\apache\commons\lang3\event\EventUtils.java,src\main\java\org\apache\commons\lang3\event\EventUtils.java,True
src\main\java\org\apache\commons\lang3\time\FastDateFormat.java,src\main\java\org\apache\commons\lang3\time\FastDateFormat.java,False
src\test\java\org\apache\commons\lang3\CharSetTest.java,src\test\java\org\apache\commons\lang3\CharSetTest.java,True
src\main\java\org\apache\commons\lang3\BitField.java,src\main\java\org\apache\commons\lang3\BitField.java,True
src\test\java\org\apache\commons\lang3\reflect\testbed\Grandchild.java,src\test\java\org\apache\commons\lang3\reflect\testbed\Grandchild.java,True
src\test\java\org\apache\commons\lang3\builder\SimpleToStringStyleTest.java,src\test\java\org\apache\commons\lang3\builder\SimpleToStringStyleTest.java,True
src\test\java\org\apache\commons\lang3\reflect\testbed\PubliclyShadowedChild.java,src\test\java\org\apache\commons\lang3\reflect\testbed\PubliclyShadowedChild.java,False
src\main\java\org\apache\commons\lang3\time\DateFormatUtils.java,src\main\java\org\apache\commons\lang3\time\DateFormatUtils.java,True
