old,new,isSame
src\main\java\org\apache\commons\math3\genetics\RandomKeyMutation.java,src\main\java\org\apache\commons\math3\genetics\RandomKeyMutation.java,False
src\main\java\org\apache\commons\math3\analysis\function\Log.java,src\main\java\org\apache\commons\math3\analysis\function\Log.java,False
src\main\java\org\apache\commons\math3\ode\nonstiff\AdamsBashforthIntegrator.java,src\main\java\org\apache\commons\math3\ode\nonstiff\AdamsBashforthIntegrator.java,False
src\main\java\org\apache\commons\math3\linear\MatrixUtils.java,src\main\java\org\apache\commons\math3\linear\MatrixUtils.java,False
src\main\java\org\apache\commons\math3\analysis\function\Signum.java,src\main\java\org\apache\commons\math3\analysis\function\Signum.java,True
src\main\java\org\apache\commons\math3\analysis\DifferentiableMultivariateFunction.java,src\main\java\org\apache\commons\math3\analysis\DifferentiableMultivariateFunction.java,False
src\test\java\org\apache\commons\math3\genetics\FixedGenerationCountTest.java,src\test\java\org\apache\commons\math3\genetics\FixedGenerationCountTest.java,True
src\main\java\org\apache\commons\math3\analysis\function\Log10.java,src\main\java\org\apache\commons\math3\analysis\function\Log10.java,False
src\test\java\org\apache\commons\math3\special\BetaTest.java,src\test\java\org\apache\commons\math3\special\BetaTest.java,False
src\main\java\org\apache\commons\math3\distribution\IntegerDistribution.java,src\main\java\org\apache\commons\math3\distribution\IntegerDistribution.java,True
src\main\java\org\apache\commons\math3\transform\DftNormalization.java,src\main\java\org\apache\commons\math3\transform\DftNormalization.java,True
src\test\java\org\apache\commons\math3\analysis\interpolation\BicubicSplineInterpolatorTest.java,src\test\java\org\apache\commons\math3\analysis\interpolation\BicubicSplineInterpolatorTest.java,True
src\test\java\org\apache\commons\math3\random\BitsStreamGeneratorTest.java,src\test\java\org\apache\commons\math3\random\BitsStreamGeneratorTest.java,True
src\main\java\org\apache\commons\math3\analysis\interpolation\MicrosphereInterpolator.java,src\main\java\org\apache\commons\math3\analysis\interpolation\MicrosphereInterpolator.java,False
src\test\java\org\apache\commons\math3\distribution\PascalDistributionTest.java,src\test\java\org\apache\commons\math3\distribution\PascalDistributionTest.java,False
src\main\java\org\apache\commons\math3\exception\NonMonotonicSequenceException.java,src\main\java\org\apache\commons\math3\exception\NonMonotonicSequenceException.java,True
src\test\java\org\apache\commons\math3\stat\descriptive\SummaryStatisticsTest.java,src\test\java\org\apache\commons\math3\stat\descriptive\SummaryStatisticsTest.java,False
src\main\java\org\apache\commons\math3\analysis\integration\RombergIntegrator.java,src\main\java\org\apache\commons\math3\analysis\integration\RombergIntegrator.java,True
src\test\java\org\apache\commons\math3\stat\descriptive\moment\StandardDeviationTest.java,src\test\java\org\apache\commons\math3\stat\descriptive\moment\StandardDeviationTest.java,True
src\main\java\org\apache\commons\math3\linear\NonSquareOperatorException.java,src\main\java\org\apache\commons\math3\linear\NonSquareOperatorException.java,True
src\main\java\org\apache\commons\math3\random\UniformRandomGenerator.java,src\main\java\org\apache\commons\math3\random\UniformRandomGenerator.java,True
src\test\java\org\apache\commons\math3\ode\JacobianMatricesTest.java,src\test\java\org\apache\commons\math3\ode\JacobianMatricesTest.java,False
src\main\java\org\apache\commons\math3\random\Well1024a.java,src\main\java\org\apache\commons\math3\random\Well1024a.java,True
src\main\java\org\apache\commons\math3\optimization\LeastSquaresConverter.java,src\main\java\org\apache\commons\math3\optim\nonlinear\scalar\LeastSquaresConverter.java,False
src\main\java\org\apache\commons\math3\ode\nonstiff\package-info.java,src\main\java\org\apache\commons\math3\stat\package-info.java,False
src\test\java\org\apache\commons\math3\util\TestBean.java,src\test\java\org\apache\commons\math3\util\TestBean.java,True
src\test\java\org\apache\commons\math3\ode\TestProblem4.java,src\test\java\org\apache\commons\math3\ode\TestProblem4.java,True
src\main\java\org\apache\commons\math3\dfp\DfpField.java,src\main\java\org\apache\commons\math3\dfp\DfpField.java,True
src\main\java\org\apache\commons\math3\geometry\euclidean\threed\PolyhedronsSet.java,src\main\java\org\apache\commons\math3\geometry\euclidean\threed\PolyhedronsSet.java,False
src\test\java\org\apache\commons\math3\stat\descriptive\AggregateSummaryStatisticsTest.java,src\test\java\org\apache\commons\math3\stat\descriptive\AggregateSummaryStatisticsTest.java,False
src\main\java\org\apache\commons\math3\geometry\euclidean\threed\OutlineExtractor.java,src\main\java\org\apache\commons\math3\geometry\euclidean\threed\OutlineExtractor.java,True
src\main\java\org\apache\commons\math3\distribution\UniformIntegerDistribution.java,src\main\java\org\apache\commons\math3\distribution\UniformIntegerDistribution.java,False
src\main\java\org\apache\commons\math3\analysis\interpolation\BivariateGridInterpolator.java,src\main\java\org\apache\commons\math3\analysis\interpolation\BivariateGridInterpolator.java,False
src\test\java\org\apache\commons\math3\distribution\GammaDistributionTest.java,src\test\java\org\apache\commons\math3\distribution\GammaDistributionTest.java,False
src\main\java\org\apache\commons\math3\linear\RealMatrixChangingVisitor.java,src\main\java\org\apache\commons\math3\linear\RealMatrixChangingVisitor.java,True
src\main\java\org\apache\commons\math3\random\GaussianRandomGenerator.java,src\main\java\org\apache\commons\math3\random\GaussianRandomGenerator.java,True
src\test\java\org\apache\commons\math3\analysis\interpolation\TricubicSplineInterpolatingFunctionTest.java,src\test\java\org\apache\commons\math3\analysis\interpolation\TricubicSplineInterpolatingFunctionTest.java,False
src\test\java\org\apache\commons\math3\analysis\solvers\RiddersSolverTest.java,src\test\java\org\apache\commons\math3\analysis\solvers\RiddersSolverTest.java,False
src\test\java\org\apache\commons\math3\stat\descriptive\moment\SecondMomentTest.java,src\test\java\org\apache\commons\math3\stat\descriptive\moment\SecondMomentTest.java,True
src\test\java\org\apache\commons\math3\stat\descriptive\moment\FirstMomentTest.java,src\test\java\org\apache\commons\math3\stat\descriptive\moment\FirstMomentTest.java,True
src\main\java\org\apache\commons\math3\stat\descriptive\summary\SumOfSquares.java,src\main\java\org\apache\commons\math3\stat\descriptive\summary\SumOfSquares.java,False
src\main\java\org\apache\commons\math3\optimization\direct\BOBYQAOptimizer.java,src\main\java\org\apache\commons\math3\optimization\direct\BOBYQAOptimizer.java,False
src\main\java\org\apache\commons\math3\ode\EquationsMapper.java,src\main\java\org\apache\commons\math3\ode\EquationsMapper.java,True
src\test\java\org\apache\commons\math3\stat\descriptive\moment\GeometricMeanTest.java,src\test\java\org\apache\commons\math3\stat\descriptive\moment\GeometricMeanTest.java,True
src\main\java\org\apache\commons\math3\distribution\BinomialDistribution.java,src\main\java\org\apache\commons\math3\distribution\BinomialDistribution.java,False
