old,new,isSame
src\main\java\org\apache\commons\scxml\env\jsp\ELContext.java,src\main\java\org\apache\commons\scxml\env\jsp\ELContext.java,True
src\test\java\org\apache\commons\scxml\model\AssignTest.java,src\test\java\org\apache\commons\scxml\model\AssignTest.java,False
src\test\java\org\apache\commons\scxml\env\servlet\ServletContextResolverTest.java,src\test\java\org\apache\commons\scxml\env\servlet\ServletContextResolverTest.java,True
src\main\java\org\apache\commons\scxml\SCXMLExecutor.java,src\main\java\org\apache\commons\scxml\SCXMLExecutor.java,False
src\test\java\org\apache\commons\scxml\env\faces\EnvFacesTestSuite.java,src\test\java\org\apache\commons\scxml\env\faces\EnvFacesTestSuite.java,True
src\main\java\org\apache\commons\scxml\model\Assign.java,src\main\java\org\apache\commons\scxml\model\Assign.java,False
src\main\java\org\apache\commons\scxml\env\SimpleContext.java,src\main\java\org\apache\commons\scxml\env\SimpleContext.java,True
src\test\java\org\apache\commons\scxml\WildcardTest.java,src\test\java\org\apache\commons\scxml\WildcardTest.java,False
src\test\java\org\apache\commons\scxml\test\TestingTestSuite.java,src\test\java\org\apache\commons\scxml\test\TestingTestSuite.java,True
src\main\java\org\apache\commons\scxml\test\StandaloneUtils.java,src\main\java\org\apache\commons\scxml\test\StandaloneUtils.java,False
src\test\java\org\apache\commons\scxml\env\jsp\EnvJspTestSuite.java,src\test\java\org\apache\commons\scxml\env\jsp\EnvJspTestSuite.java,False
src\main\java\org\apache\commons\scxml\model\Initial.java,src\main\java\org\apache\commons\scxml\model\Initial.java,False
src\main\java\org\apache\commons\scxml\SCXMLExpressionException.java,src\main\java\org\apache\commons\scxml\SCXMLExpressionException.java,True
src\main\java\org\apache\commons\scxml\EventDispatcher.java,src\main\java\org\apache\commons\scxml\EventDispatcher.java,True
src\test\java\org\apache\commons\scxml\env\servlet\EnvServletTestSuite.java,src\test\java\org\apache\commons\scxml\env\servlet\EnvServletTestSuite.java,True
src\main\java\org\apache\commons\scxml\io\ModelUpdater.java,src\main\java\org\apache\commons\scxml\io\ModelUpdater.java,False
src\main\java\org\apache\commons\scxml\env\SimpleScheduler.java,src\main\java\org\apache\commons\scxml\env\SimpleScheduler.java,True
src\main\java\org\apache\commons\scxml\env\servlet\ServletContextResolver.java,src\main\java\org\apache\commons\scxml\env\servlet\ServletContextResolver.java,True
src\main\java\org\apache\commons\scxml\model\State.java,src\main\java\org\apache\commons\scxml\model\State.java,False
src\test\java\org\apache\commons\scxml\StatusTest.java,src\test\java\org\apache\commons\scxml\StatusTest.java,False
src\test\java\org\apache\commons\scxml\env\EnvTestSuite.java,src\test\java\org\apache\commons\scxml\env\EnvTestSuite.java,False
src\test\java\org\apache\commons\scxml\model\CustomActionTest.java,src\test\java\org\apache\commons\scxml\model\CustomActionTest.java,False
src\main\java\org\apache\commons\scxml\ErrorReporter.java,src\main\java\org\apache\commons\scxml\ErrorReporter.java,True
src\test\java\org\apache\commons\scxml\model\TransitionTest.java,src\test\java\org\apache\commons\scxml\model\TransitionTest.java,False
src\main\java\org\apache\commons\scxml\env\jexl\JexlEvaluator.java,src\main\java\org\apache\commons\scxml\env\jexl\JexlEvaluator.java,False
src\main\java\org\apache\commons\scxml\env\SimpleErrorHandler.java,src\main\java\org\apache\commons\scxml\env\SimpleErrorHandler.java,True
src\test\java\org\apache\commons\scxml\invoke\InvokeTest.java,src\test\java\org\apache\commons\scxml\invoke\InvokeTest.java,False
src\main\java\org\apache\commons\scxml\model\PathResolverHolder.java,src\main\java\org\apache\commons\scxml\model\PathResolverHolder.java,True
src\main\java\org\apache\commons\scxml\SCXMLListener.java,src\main\java\org\apache\commons\scxml\SCXMLListener.java,True
src\test\java\org\apache\commons\scxml\io\SCXMLSerializerTest.java,src\test\java\org\apache\commons\scxml\io\SCXMLSerializerTest.java,False
src\main\java\org\apache\commons\scxml\model\CustomAction.java,src\main\java\org\apache\commons\scxml\model\CustomAction.java,True
src\main\java\org\apache\commons\scxml\io\SCXMLSerializer.java,src\main\java\org\apache\commons\scxml\io\SCXMLSerializer.java,False
src\main\java\org\apache\commons\scxml\model\Exit.java,src\main\java\org\apache\commons\scxml\model\Exit.java,True
src\main\java\org\apache\commons\scxml\model\Param.java,src\main\java\org\apache\commons\scxml\model\Param.java,True
src\main\java\org\apache\commons\scxml\test\StandaloneElExpressions.java,src\main\java\org\apache\commons\scxml\test\StandaloneElExpressions.java,True
src\test\java\org\apache\commons\scxml\model\PathTest.java,src\test\java\org\apache\commons\scxml\model\PathTest.java,True
src\main\java\org\apache\commons\scxml\io\SCXMLDigester.java,src\main\java\org\apache\commons\scxml\io\SCXMLDigester.java,False
src\main\java\org\apache\commons\scxml\model\Finalize.java,src\main\java\org\apache\commons\scxml\model\Finalize.java,True
src\test\java\org\apache\commons\scxml\model\StateTest.java,src\test\java\org\apache\commons\scxml\model\StateTest.java,False
src\test\java\org\apache\commons\scxml\env\faces\SessionContextTest.java,src\test\java\org\apache\commons\scxml\env\faces\SessionContextTest.java,True
src\test\java\org\apache\commons\scxml\env\StopWatch.java,src\test\java\org\apache\commons\scxml\env\StopWatch.java,True
src\test\java\org\apache\commons\scxml\SCXMLTestHelper.java,src\test\java\org\apache\commons\scxml\SCXMLTestHelper.java,False
src\test\java\org\apache\commons\scxml\model\ModelTestSuite.java,src\test\java\org\apache\commons\scxml\model\ModelTestSuite.java,True
src\test\java\org\apache\commons\scxml\env\StopWatchDisplay.java,src\test\java\org\apache\commons\scxml\env\StopWatchDisplay.java,True
src\test\java\org\apache\commons\scxml\env\jexl\EnvJexlTestSuite.java,src\test\java\org\apache\commons\scxml\env\jexl\EnvJexlTestSuite.java,False
src\main\java\org\apache\commons\scxml\model\Cancel.java,src\main\java\org\apache\commons\scxml\model\Cancel.java,True
src\test\java\org\apache\commons\scxml\io\StateSrcTest.java,src\test\java\org\apache\commons\scxml\io\StateSrcTest.java,True
src\main\java\org\apache\commons\scxml\model\ElseIf.java,src\main\java\org\apache\commons\scxml\model\ElseIf.java,True
src\main\java\org\apache\commons\scxml\Builtin.java,src\main\java\org\apache\commons\scxml\Builtin.java,True
src\test\java\org\apache\commons\scxml\model\HistoryTest.java,src\test\java\org\apache\commons\scxml\model\HistoryTest.java,True
src\main\java\org\apache\commons\scxml\semantics\ErrorConstants.java,src\main\java\org\apache\commons\scxml\semantics\ErrorConstants.java,True
src\main\java\org\apache\commons\scxml\SCXMLHelper.java,src\main\java\org\apache\commons\scxml\SCXMLHelper.java,False
src\main\java\org\apache\commons\scxml\env\jexl\JexlContext.java,src\main\java\org\apache\commons\scxml\env\jexl\JexlContext.java,True
src\main\java\org\apache\commons\scxml\env\jsp\RootContext.java,src\main\java\org\apache\commons\scxml\env\jsp\RootContext.java,True
src\main\java\org\apache\commons\scxml\Step.java,src\main\java\org\apache\commons\scxml\Step.java,True
src\main\java\org\apache\commons\scxml\model\Log.java,src\main\java\org\apache\commons\scxml\model\Log.java,True
src\main\java\org\apache\commons\scxml\PathResolver.java,src\main\java\org\apache\commons\scxml\PathResolver.java,True
src\main\java\org\apache\commons\scxml\invoke\SimpleSCXMLInvoker.java,src\main\java\org\apache\commons\scxml\invoke\SimpleSCXMLInvoker.java,False
src\main\java\org\apache\commons\scxml\invoke\AsyncTrigger.java,src\main\java\org\apache\commons\scxml\invoke\AsyncTrigger.java,False
src\main\java\org\apache\commons\scxml\model\TransitionTarget.java,src\main\java\org\apache\commons\scxml\model\TransitionTarget.java,False
src\main\java\org\apache\commons\scxml\SCInstance.java,src\main\java\org\apache\commons\scxml\SCInstance.java,False
src\main\java\org\apache\commons\scxml\env\AbstractStateMachine.java,src\main\java\org\apache\commons\scxml\env\AbstractStateMachine.java,False
src\test\java\org\apache\commons\scxml\env\SimpleContextTest.java,src\test\java\org\apache\commons\scxml\env\SimpleContextTest.java,True
src\main\java\org\apache\commons\scxml\invoke\Invoker.java,src\main\java\org\apache\commons\scxml\invoke\Invoker.java,True
src\main\java\org\apache\commons\scxml\TriggerEvent.java,src\main\java\org\apache\commons\scxml\TriggerEvent.java,True
