old,new,isSame
src\test\java\org\apache\commons\validator\routines\checkdigit\VerhoeffCheckDigitTest.java,src\test\java\org\apache\commons\validator\routines\checkdigit\VerhoeffCheckDigitTest.java,True
src\test\java\org\apache\commons\validator\UrlTest.java,src\test\java\org\apache\commons\validator\UrlTest.java,False
src\test\java\org\apache\commons\validator\routines\AbstractCalendarValidatorTest.java,src\test\java\org\apache\commons\validator\routines\AbstractCalendarValidatorTest.java,True
src\main\java\org\apache\commons\validator\routines\ISBNValidator.java,src\main\java\org\apache\commons\validator\ISBNValidator.java,False
src\main\java\org\apache\commons\validator\Msg.java,src\main\java\org\apache\commons\validator\Msg.java,False
src\main\java\org\apache\commons\validator\routines\checkdigit\ModulusCheckDigit.java,src\main\java\org\apache\commons\validator\routines\checkdigit\ModulusCheckDigit.java,False
src\test\java\org\apache\commons\validator\TypeBean.java,src\test\java\org\apache\commons\validator\TypeBean.java,True
src\test\java\org\apache\commons\validator\CustomValidatorResourcesTest.java,src\test\java\org\apache\commons\validator\CustomValidatorResourcesTest.java,True
src\main\java\org\apache\commons\validator\CreditCardValidator.java,src\main\java\org\apache\commons\validator\routines\CreditCardValidator.java,False
src\main\java\org\apache\commons\validator\routines\checkdigit\LuhnCheckDigit.java,src\main\java\org\apache\commons\validator\routines\checkdigit\LuhnCheckDigit.java,False
src\main\java\org\apache\commons\validator\Field.java,src\main\java\org\apache\commons\validator\Field.java,False
src\test\java\org\apache\commons\validator\RetrieveFormTest.java,src\test\java\org\apache\commons\validator\RetrieveFormTest.java,True
src\test\java\org\apache\commons\validator\FieldTest.java,src\test\java\org\apache\commons\validator\FieldTest.java,True
src\test\java\org\apache\commons\validator\ResultPair.java,src\test\java\org\apache\commons\validator\ResultPair.java,False
src\test\java\org\apache\commons\validator\routines\ShortValidatorTest.java,src\test\java\org\apache\commons\validator\routines\ShortValidatorTest.java,True
src\main\java\org\apache\commons\validator\routines\checkdigit\SedolCheckDigit.java,src\main\java\org\apache\commons\validator\routines\checkdigit\SedolCheckDigit.java,False
src\test\java\org\apache\commons\validator\ExceptionTest.java,src\test\java\org\apache\commons\validator\ExceptionTest.java,True
src\test\java\org\apache\commons\validator\ValueBean.java,src\test\java\org\apache\commons\validator\ValueBean.java,True
src\main\java\org\apache\commons\validator\DateValidator.java,src\main\java\org\apache\commons\validator\routines\DateValidator.java,False
src\test\java\org\apache\commons\validator\routines\checkdigit\ISBNCheckDigitTest.java,src\test\java\org\apache\commons\validator\routines\checkdigit\ISBNCheckDigitTest.java,True
src\test\java\org\apache\commons\validator\LocaleTest.java,src\test\java\org\apache\commons\validator\LocaleTest.java,True
src\test\java\org\apache\commons\validator\routines\checkdigit\IBANCheckDigitTest.java,src\test\java\org\apache\commons\validator\routines\checkdigit\IBANCheckDigitTest.java,False
src\main\java\org\apache\commons\validator\ValidatorResult.java,src\main\java\org\apache\commons\validator\ValidatorResult.java,False
src\test\java\org\apache\commons\validator\ExtensionTest.java,src\test\java\org\apache\commons\validator\ExtensionTest.java,True
src\main\java\org\apache\commons\validator\routines\RegexValidator.java,src\main\java\org\apache\commons\validator\routines\RegexValidator.java,False
src\test\java\org\apache\commons\validator\AbstractCommonTest.java,src\test\java\org\apache\commons\validator\AbstractCommonTest.java,True
