old,new,isSame
deltaspike\core\api\src\main\java\org\apache\deltaspike\core\api\exception\control\HandlerMethod.java,deltaspike\core\api\src\main\java\org\apache\deltaspike\core\api\exception\control\HandlerMethod.java,True
deltaspike\core\impl\src\main\java\org\apache\deltaspike\core\impl\exclude\CustomProjectStageBeanFilter.java,deltaspike\core\impl\src\main\java\org\apache\deltaspike\core\impl\exclude\CustomProjectStageBeanFilter.java,True
deltaspike\cdictrl\api\src\main\java\org\apache\deltaspike\cdise\api\ContextControl.java,deltaspike\cdictrl\api\src\main\java\org\apache\deltaspike\cdise\api\ContextControl.java,True
deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\api\alternative\global\BaseInterface1.java,deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\api\alternative\global\BaseInterface1.java,True
deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\impl\exception\control\event\EventTest.java,deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\impl\exception\control\event\EventTest.java,False
deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\impl\activation\TestClassDeactivator.java,deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\impl\activation\TestClassDeactivator.java,True
deltaspike\core\api\src\main\java\org\apache\deltaspike\core\api\exception\control\event\ExceptionEvent.java,deltaspike\core\api\src\main\java\org\apache\deltaspike\core\api\exception\control\event\ExceptionEvent.java,True
deltaspike\core\api\src\main\java\org\apache\deltaspike\core\api\projectstage\ProjectStageHolder.java,deltaspike\core\api\src\main\java\org\apache\deltaspike\core\api\projectstage\ProjectStageHolder.java,True
deltaspike\cdictrl\tck\src\main\java\org\apache\deltaspike\cdise\tck\beans\Car.java,deltaspike\cdictrl\tck\src\main\java\org\apache\deltaspike\cdise\tck\beans\Car.java,True
deltaspike\modules\security\impl\src\test\java\org\apache\deltaspike\test\security\impl\authorization\secured\SecuredBean3.java,deltaspike\modules\security\impl\src\test\java\org\apache\deltaspike\test\security\impl\authorization\secured\SecuredBean3.java,True
deltaspike\modules\security\impl\src\test\java\org\apache\deltaspike\test\util\ArchiveUtils.java,deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\util\ArchiveUtils.java,False
deltaspike\core\api\src\main\java\org\apache\deltaspike\core\util\BeanUtils.java,deltaspike\core\api\src\main\java\org\apache\deltaspike\core\util\BeanUtils.java,False
deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\impl\exception\control\flow\BreadthFirstAbortControlTest.java,deltaspike\core\impl\src\test\java\org\apache\deltaspike\test\core\impl\exception\control\flow\BreadthFirstAbortControlTest.java,False
deltaspike\modules\security\impl\src\test\java\org\apache\deltaspike\test\security\impl\authorization\securitybinding\SecuredBean2.java,deltaspike\modules\security\impl\src\test\java\org\apache\deltaspike\test\security\impl\authorization\secured\SecuredBean2.java,False
