old,new,isSame
org.apache.deltaspike.test.core.api.alternative.local.BaseInterface2,org.apache.deltaspike.test.core.api.alternative.local.BaseInterface2,True
org.apache.deltaspike.core.impl.exception.control.HandlerMethodStorageImpl,org.apache.deltaspike.core.impl.exception.control.HandlerMethodStorageImpl,False
org.apache.deltaspike.core.impl.exception.control.HandlerMethodStorageImpl.registerHandlerMethod.T,org.apache.deltaspike.core.impl.exception.control.HandlerMethodStorageImpl.registerHandlerMethod.T,False
org.apache.deltaspike.core.api.exception.control.HandlerMethod,org.apache.deltaspike.core.api.exception.control.HandlerMethod,False
org.apache.deltaspike.core.api.literal.AnyLiteral,org.apache.deltaspike.core.api.literal.AnyLiteral,True
org.apache.deltaspike.core.util.HierarchyDiscovery,org.apache.deltaspike.core.util.HierarchyDiscovery,True
org.apache.deltaspike.core.impl.exception.control.HandlerMethodStorage,org.apache.deltaspike.core.impl.exception.control.HandlerMethodStorage,True
org.apache.deltaspike.core.impl.exception.control.ExceptionHandlerComparator,org.apache.deltaspike.core.impl.exception.control.ExceptionHandlerComparator,False
org.apache.deltaspike.cdise.api.CdiContainerLoader,org.apache.deltaspike.cdise.api.CdiContainerLoader,True
org.apache.deltaspike.cdise.api.CdiContainer,org.apache.deltaspike.cdise.api.CdiContainer,False
org.apache.deltaspike.test.core.impl.exception.control.traversal.ExceptionHandlerMethods,org.apache.deltaspike.test.core.impl.exception.control.traversal.ExceptionHandlerMethods,False
org.apache.deltaspike.core.api.exception.control.event.ExceptionEvent,org.apache.deltaspike.core.api.exception.control.event.ExceptionEvent,True
org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception1,org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception1,True
org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions,org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions,True
org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception2,org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception2,True
org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception3,org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception3,True
org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception3Super,org.apache.deltaspike.test.core.impl.exception.control.traversal.Exceptions.Exception3Super,True
org.apache.deltaspike.test.core.api.alternative.global.qualifier.BaseBeanB2,org.apache.deltaspike.test.core.api.alternative.global.qualifier.BaseBeanB2,True
org.apache.deltaspike.test.core.api.alternative.global.qualifier.QualifierB,org.apache.deltaspike.test.core.api.alternative.global.qualifier.QualifierB,True
org.apache.deltaspike.test.core.api.alternative.global.qualifier.QualifierValue2,org.apache.deltaspike.test.core.api.alternative.global.qualifier.QualifierValue2,True
org.apache.deltaspike.test.core.api.alternative.global.qualifier.BaseInterface,org.apache.deltaspike.test.core.api.alternative.global.qualifier.BaseInterface,True
org.apache.deltaspike.test.category.WebProfileCategory,org.apache.deltaspike.test.category.WebProfileCategory,True
org.apache.deltaspike.core.util.metadata.builder.DummyInjectionTarget,org.apache.deltaspike.core.util.metadata.builder.DummyInjectionTarget,True
org.apache.deltaspike.core.util.metadata.builder.DummyInjectionTarget.T,org.apache.deltaspike.core.util.metadata.builder.DummyInjectionTarget.T,True
org.apache.deltaspike.core.api.provider.BeanProvider,org.apache.deltaspike.core.api.provider.BeanProvider,False
org.apache.deltaspike.core.spi.activation.Deactivatable,org.apache.deltaspike.core.spi.activation.Deactivatable,True
org.apache.deltaspike.core.util.ClassDeactivationUtils,org.apache.deltaspike.core.util.ClassDeactivationUtils,True
org.apache.deltaspike.security.spi.authorization.EditableAccessDecisionVoterContext,org.apache.deltaspike.security.spi.authorization.EditableAccessDecisionVoterContext,True
org.apache.deltaspike.test.jpa.api.shared.TestEntityTransaction,org.apache.deltaspike.test.jpa.api.shared.TestEntityTransaction,True
org.apache.deltaspike.test.jpa.api.transactional.exception.uncatched.multipleinjection.flush.nested.TestEntityManagerProducer,org.apache.deltaspike.test.jpa.api.transactional.exception.uncatched.multipleinjection.flush.nested.TestEntityManagerProducer,True
org.apache.deltaspike.test.jpa.api.transactional.exception.uncatched.multipleinjection.flush.nested.TestEntityManagerProducer.(Anon_1),org.apache.deltaspike.test.jpa.api.transactional.exception.uncatched.multipleinjection.flush.nested.TestEntityManagerProducer.(Anon_1),True
org.apache.deltaspike.test.jpa.api.transactional.exception.uncatched.multipleinjection.flush.nested.TestEntityManagerProducer.(Anon_2),org.apache.deltaspike.test.jpa.api.transactional.exception.uncatched.multipleinjection.flush.nested.TestEntityManagerProducer.(Anon_2),True
org.apache.deltaspike.test.jpa.api.shared.First,org.apache.deltaspike.test.jpa.api.shared.First,True
org.apache.deltaspike.test.jpa.api.shared.Second,org.apache.deltaspike.test.jpa.api.shared.Second,True
org.apache.deltaspike.test.jpa.api.shared.TestEntityManager,org.apache.deltaspike.test.jpa.api.shared.TestEntityManager,False
org.apache.deltaspike.test.jpa.api.shared.TestException,org.apache.deltaspike.test.jpa.api.shared.TestException,True
