old,new,isSame
org.apache.eagle.metric.kafka.TestGreedyPartition,org.apache.eagle.metric.kafka.TestGreedyPartition,False
org.apache.eagle.common.config.EagleConfigConstants,org.apache.eagle.common.config.EagleConfigConstants,False
org.apache.eagle.security.partition.DataDistributionDaoImpl,org.apache.eagle.security.partition.DataDistributionDaoImpl,False
org.apache.eagle.security.partition.GreedyPartitionAlgorithm,org.apache.eagle.security.partition.GreedyPartitionAlgorithm,False
org.apache.eagle.service.common.EagleExceptionWrapper,org.apache.eagle.service.common.EagleExceptionWrapper,True
org.apache.eagle.common.DateTimeUtil,org.apache.eagle.common.DateTimeUtil,False
org.apache.eagle.log.base.taggedlog.TaggedLogAPIEntity,org.apache.eagle.log.base.taggedlog.TaggedLogAPIEntity,False
org.apache.eagle.log.entity.GenericServiceAPIResponseEntity,org.apache.eagle.log.entity.GenericServiceAPIResponseEntity,False
org.apache.eagle.service.generic.GenericEntityServiceResource,org.apache.eagle.service.generic.GenericEntityServiceResource,False
org.apache.eagle.service.generic.ListQueryResource,org.apache.eagle.service.generic.ListQueryResource,False
org.apache.eagle.query.aggregate.raw.GroupbyValue,org.apache.eagle.query.aggregate.raw.GroupbyValue,True
org.apache.eagle.common.ByteUtil,org.apache.eagle.common.ByteUtil,False
org.apache.eagle.query.aggregate.raw.WritableList,org.apache.eagle.query.aggregate.raw.WritableList,True
org.apache.eagle.log.entity.filter.TypedByteArrayComparator,org.apache.eagle.log.entity.filter.TypedByteArrayComparator,True
org.apache.eagle.security.oozie.parse.OozieAuditLogObject,org.apache.eagle.security.oozie.parse.OozieAuditLogObject,True
org.apache.eagle.security.oozie.parse.OozieAuditLogParser,org.apache.eagle.security.oozie.parse.OozieAuditLogParser,False
org.apache.eagle.service.hbase.TestHBaseBase,org.apache.eagle.service.hbase.TestHBaseBase,False
org.apache.eagle.log.entity.filter.TestExpressionComparator,org.apache.eagle.log.entity.filter.TestExpressionComparator,False
org.apache.eagle.log.entity.meta.EntityDefinition,org.apache.eagle.log.entity.meta.EntityDefinition,True
org.apache.eagle.query.parser.ComparisonOperator,org.apache.eagle.query.parser.ComparisonOperator,True
org.apache.eagle.query.parser.TokenType,org.apache.eagle.query.parser.TokenType,True
org.apache.eagle.log.entity.filter.BooleanExpressionComparator,org.apache.eagle.log.entity.filter.BooleanExpressionComparator,True
org.apache.eagle.log.entity.filter.QualifierFilterEntity,org.apache.eagle.log.entity.filter.QualifierFilterEntity,True
org.apache.eagle.audit.listener.AuditListenerProxy,org.apache.eagle.audit.listener.AuditListenerProxy,True
org.apache.eagle.audit.common.AuditEvent,org.apache.eagle.audit.common.AuditEvent,True
org.apache.eagle.audit.listener.AuditListener,org.apache.eagle.audit.listener.AuditListener,True
org.apache.eagle.log.entity.GenericMetricEntity,org.apache.eagle.log.entity.GenericMetricEntity,False
