old,new,isSame
eagle-security\eagle-metric-collection\src\test\java\org\apache\eagle\metric\kafka\TestGreedyPartition.java,eagle-security\eagle-metric-collection\src\test\java\org\apache\eagle\metric\kafka\TestGreedyPartition.java,False
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\raw\GroupbyValue.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\raw\GroupbyValue.java,True
eagle-hadoop-metric\src\main\java\org\apache\eagle\hadoop\metric\Utils.java,eagle-jpm\eagle-jpm-util\src\main\java\org\apache\eagle\jpm\util\Utils.java,False
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\filter\TypedByteArrayComparator.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\filter\TypedByteArrayComparator.java,True
eagle-core\eagle-data-process\eagle-storm-jobrunning-spout\src\main\java\org\apache\eagle\jobrunning\util\URLConnectionUtils.java,eagle-core\eagle-app\eagle-app-utils\src\main\java\org\apache\eagle\app\utils\connection\URLConnectionUtils.java,False
eagle-core\eagle-query\eagle-entity-base\src\test\java\org\apache\eagle\log\entity\filter\TestExpressionComparator.java,eagle-core\eagle-query\eagle-entity-base\src\test\java\org\apache\eagle\log\entity\filter\TestExpressionComparator.java,False
eagle-core\eagle-query\eagle-audit-base\src\main\java\org\apache\eagle\audit\listener\AuditListenerProxy.java,eagle-core\eagle-query\eagle-audit-base\src\main\java\org\apache\eagle\audit\listener\AuditListenerProxy.java,True
eagle-core\eagle-query\eagle-storage-jdbc\src\main\java\org\apache\eagle\storage\jdbc\schema\package-info.java,eagle-core\eagle-metadata\eagle-metadata-base\src\main\java\org\apache\eagle\metadata\persistence\package-info.java,False
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\EntityDefinition.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\EntityDefinition.java,True
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\SortFieldOrderType.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\SortFieldOrderType.java,True
eagle-core\eagle-query\eagle-common\src\main\java\org\apache\eagle\common\config\EagleConfigHelper.java,eagle-core\eagle-common\src\main\java\org\apache\eagle\common\config\EagleConfigHelper.java,False
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\base\taggedlog\TaggedLogObjectMapper.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\base\taggedlog\TaggedLogObjectMapper.java,True
eagle-security\eagle-security-hive-web\src\main\java\org\apache\eagle\service\security\hive\res\HiveMetadataBrowseWebResponse.java,eagle-security\eagle-security-hive-web\src\main\java\org\apache\eagle\service\security\hive\res\HiveMetadataBrowseWebResponse.java,True
eagle-gc\src\main\java\org\apache\eagle\gc\common\GCConstants.java,eagle-gc\src\main\java\org\apache\eagle\gc\common\GCConstants.java,True
eagle-core\eagle-query\eagle-storage-base\src\main\java\org\apache\eagle\storage\exception\IllegalDataStorageTypeException.java,eagle-core\eagle-query\eagle-storage-base\src\main\java\org\apache\eagle\storage\exception\IllegalDataStorageTypeException.java,True
eagle-security\eagle-security-maprfs-web\src\main\java\org\apache\eagle\service\security\hdfs\rest\MAPRFSResourceWebResource.java,eagle-security\eagle-security-maprfs-web\src\main\java\org\apache\eagle\service\security\hdfs\rest\MAPRFSResourceWebResource.java,False
eagle-security\eagle-security-maprfs-web\src\main\java\org\apache\eagle\service\security\hdfs\MAPRFSResourceConstants.java,eagle-security\eagle-security-maprfs-web\src\main\java\org\apache\eagle\service\security\hdfs\MAPRFSResourceConstants.java,False
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\timeseries\GroupbyBucket.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\timeseries\GroupbyBucket.java,True
eagle-core\eagle-query\eagle-common\src\main\java\org\apache\eagle\common\metric\AlertContext.java,eagle-core\eagle-common\src\main\java\org\apache\eagle\common\metric\AlertContext.java,False
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\timeseries\SortOptionsParser.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\timeseries\SortOptionsParser.java,True
eagle-core\eagle-query\eagle-storage-jdbc\src\main\java\org\apache\eagle\storage\jdbc\conn\ConnectionManagerFactory.java,eagle-core\eagle-query\eagle-storage-jdbc\src\main\java\org\apache\eagle\storage\jdbc\conn\ConnectionManagerFactory.java,True
eagle-core\eagle-query\eagle-storage-jdbc\src\main\java\org\apache\eagle\storage\jdbc\schema\serializer\JdbcSerDeser.java,eagle-core\eagle-query\eagle-storage-jdbc\src\main\java\org\apache\eagle\storage\jdbc\schema\serializer\JdbcSerDeser.java,True
eagle-core\eagle-data-process\eagle-storm-jobrunning-spout\src\main\java\org\apache\eagle\jobrunning\yarn\model\AppInfo.java,eagle-jpm\eagle-jpm-util\src\main\java\org\apache\eagle\jpm\util\resourcefetch\model\AppInfo.java,False
eagle-core\eagle-query\eagle-common\src\main\java\org\apache\eagle\common\config\EagleConfig.java,eagle-core\eagle-common\src\main\java\org\apache\eagle\common\config\EagleConfig.java,False
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\old\RowkeyHelper.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\old\RowkeyHelper.java,True
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\BooleanSerDeser.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\BooleanSerDeser.java,True
eagle-core\eagle-policy\eagle-policy-base\src\main\java\org\apache\eagle\policy\common\Constants.java,eagle-jpm\eagle-jpm-util\src\main\java\org\apache\eagle\jpm\util\Constants.java,False
eagle-core\eagle-query\eagle-entity-base\src\test\java\org\apache\eagle\log\entity\filter\TestEntityQualifierHelper.java,eagle-core\eagle-query\eagle-entity-base\src\test\java\org\apache\eagle\log\entity\filter\TestEntityQualifierHelper.java,False
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\timeseries\GroupbyFieldsComparator.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\timeseries\GroupbyFieldsComparator.java,True
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\raw\RawAggregator.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\raw\RawAggregator.java,True
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\Column.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\Column.java,True
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\StringSerDeser.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\StringSerDeser.java,True
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\PostAggregateSorting.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\PostAggregateSorting.java,True
eagle-security\eagle-security-common\src\main\java\org\apache\eagle\security\util\ExternalDataCache.java,eagle-security\eagle-security-common\src\main\java\org\apache\eagle\security\enrich\ExternalDataCache.java,False
eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\raw\GroupbyKeyComparator.java,eagle-core\eagle-query\eagle-query-base\src\main\java\org\apache\eagle\query\aggregate\raw\GroupbyKeyComparator.java,True
eagle-core\eagle-policy\eagle-policy-base\src\main\java\org\apache\eagle\policy\siddhi\extension\EqualsIgnoreCaseExtension.java,eagle-core\eagle-alert-parent\eagle-alert\alert-engine\src\main\java\org\apache\eagle\alert\engine\siddhi\extension\EqualsIgnoreCaseExtension.java,False
eagle-core\eagle-query\eagle-common\src\main\java\org\apache\eagle\common\config\EagleConfigFactory.java,eagle-core\eagle-common\src\main\java\org\apache\eagle\common\config\EagleConfigFactory.java,False
eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\ListSerDeser.java,eagle-core\eagle-query\eagle-entity-base\src\main\java\org\apache\eagle\log\entity\meta\ListSerDeser.java,True
eagle-core\eagle-query\eagle-storage-hbase\src\main\java\org\apache\eagle\storage\hbase\query\coprocessor\AggregateResult.java,eagle-core\eagle-common\src\main\java\org\apache\eagle\common\agg\AggregateResult.java,False
