old,new,isSame
src\test\java\org\apache\giraph\lib\TestIdWithValueTextOutputFormat.java,giraph-core\src\test\java\org\apache\giraph\io\TestIdWithValueTextOutputFormat.java,False
src\main\java\org\apache\giraph\integration\SuperstepHashPartitionerFactory.java,giraph-core\src\main\java\org\apache\giraph\integration\SuperstepHashPartitionerFactory.java,False
src\main\java\org\apache\giraph\graph\VertexWriter.java,giraph-core\src\main\java\org\apache\giraph\io\VertexWriter.java,False
src\test\java\org\apache\giraph\TestJsonBase64Format.java,giraph-core\src\test\java\org\apache\giraph\io\TestJsonBase64Format.java,False
src\main\java\org\apache\giraph\examples\SimpleCombinerVertex.java,giraph-examples\src\main\java\org\apache\giraph\examples\SimpleCombinerVertex.java,False
src\main\java\org\apache\giraph\graph\partition\WorkerGraphPartitioner.java,giraph-core\src\main\java\org\apache\giraph\partition\WorkerGraphPartitioner.java,False
src\main\java\org\apache\giraph\graph\VertexReader.java,giraph-core\src\main\java\org\apache\giraph\io\VertexReader.java,False
src\main\java\org\apache\giraph\graph\BspService.java,giraph-core\src\main\java\org\apache\giraph\bsp\BspService.java,False
src\test\java\org\apache\giraph\TestPredicateLock.java,giraph-core\src\test\java\org\apache\giraph\zk\TestPredicateLock.java,False
src\main\java\org\apache\giraph\graph\partition\HashWorkerPartitioner.java,giraph-core\src\main\java\org\apache\giraph\partition\HashWorkerPartitioner.java,False
src\test\java\org\apache\giraph\examples\MinimumIntCombinerTest.java,giraph-examples\src\test\java\org\apache\giraph\examples\MinimumIntCombinerTest.java,False
src\main\java\org\apache\giraph\graph\MasterThread.java,giraph-core\src\main\java\org\apache\giraph\master\MasterThread.java,False
src\main\java\org\apache\giraph\graph\DefaultWorkerContext.java,giraph-core\src\main\java\org\apache\giraph\worker\DefaultWorkerContext.java,False
src\main\java\org\apache\giraph\graph\GiraphJob.java,giraph-core\src\main\java\org\apache\giraph\job\GiraphJob.java,False
src\main\java\org\apache\giraph\graph\GraphMapper.java,giraph-core\src\main\java\org\apache\giraph\graph\GraphMapper.java,False
src\main\java\org\apache\giraph\utils\MemoryUtils.java,giraph-core\src\main\java\org\apache\giraph\utils\MemoryUtils.java,False
src\main\java\org\apache\giraph\graph\VertexResolver.java,giraph-core\src\main\java\org\apache\giraph\graph\VertexResolver.java,False
src\main\java\org\apache\giraph\graph\partition\RangeWorkerPartitioner.java,giraph-core\src\main\java\org\apache\giraph\partition\RangeWorkerPartitioner.java,False
src\main\java\org\apache\giraph\examples\GeneratedVertexInputFormat.java,giraph-core\src\main\java\org\apache\giraph\io\formats\GeneratedVertexInputFormat.java,False
src\main\java\org\apache\giraph\graph\partition\GraphPartitionerFactory.java,giraph-core\src\main\java\org\apache\giraph\partition\GraphPartitionerFactory.java,False
src\main\java\org\apache\giraph\lib\IdWithValueTextOutputFormat.java,giraph-core\src\main\java\org\apache\giraph\io\formats\IdWithValueTextOutputFormat.java,False
src\main\java\org\apache\giraph\graph\AggregatorUsage.java,giraph-core\src\main\java\org\apache\giraph\aggregators\AggregatorUsage.java,False
src\test\java\org\apache\giraph\TestGraphPartitioner.java,giraph-examples\src\test\java\org\apache\giraph\TestGraphPartitioner.java,False
src\main\java\org\apache\giraph\examples\SimpleVertexWithWorkerContext.java,giraph-examples\src\main\java\org\apache\giraph\examples\SimpleVertexWithWorkerContext.java,False
src\main\java\org\apache\giraph\examples\SimpleShortestPathsVertex.java,giraph-examples\src\main\java\org\apache\giraph\examples\SimpleShortestPathsVertex.java,False
src\main\java\org\apache\giraph\bsp\BspRecordWriter.java,giraph-core\src\main\java\org\apache\giraph\bsp\BspRecordWriter.java,True
src\main\java\org\apache\giraph\GiraphRunner.java,giraph-core\src\main\java\org\apache\giraph\GiraphRunner.java,False
src\main\java\org\apache\giraph\lib\LongDoubleDoubleAdjacencyListVertexInputFormat.java,giraph-core\src\main\java\org\apache\giraph\io\formats\LongDoubleDoubleAdjacencyListVertexInputFormat.java,False
src\test\java\org\apache\giraph\utils\MockUtils.java,giraph-core\src\test\java\org\apache\giraph\utils\MockUtils.java,False
src\main\java\org\apache\giraph\graph\partition\HashMasterPartitioner.java,giraph-core\src\main\java\org\apache\giraph\partition\HashMasterPartitioner.java,False
src\main\java\org\apache\giraph\examples\VerifyMessage.java,giraph-examples\src\main\java\org\apache\giraph\examples\VerifyMessage.java,False
src\main\java\org\apache\giraph\graph\VertexEdgeCount.java,giraph-core\src\main\java\org\apache\giraph\graph\VertexEdgeCount.java,True
src\main\java\org\apache\giraph\utils\InternalVertexRunner.java,giraph-core\src\main\java\org\apache\giraph\utils\InternalVertexRunner.java,False
src\main\java\org\apache\giraph\graph\BspServiceMaster.java,giraph-core\src\main\java\org\apache\giraph\master\BspServiceMaster.java,False
src\main\java\org\apache\giraph\graph\partition\HashRangePartitionerFactory.java,giraph-core\src\main\java\org\apache\giraph\partition\HashRangePartitionerFactory.java,False
src\test\java\org\apache\giraph\lib\TestAdjacencyListTextVertexOutputFormat.java,giraph-core\src\test\java\org\apache\giraph\io\TestAdjacencyListTextVertexOutputFormat.java,False
src\main\java\org\apache\giraph\lib\JsonBase64VertexFormat.java,giraph-core\src\main\java\org\apache\giraph\io\formats\JsonBase64VertexFormat.java,False
src\main\java\org\apache\giraph\graph\VertexMutations.java,giraph-core\src\main\java\org\apache\giraph\graph\VertexMutations.java,False
src\main\java\org\apache\giraph\zk\ZooKeeperExt.java,giraph-core\src\main\java\org\apache\giraph\zk\ZooKeeperExt.java,False
src\main\java\org\apache\giraph\graph\VertexChanges.java,giraph-core\src\main\java\org\apache\giraph\graph\VertexChanges.java,False
src\main\java\org\apache\giraph\graph\BspServiceWorker.java,giraph-core\src\main\java\org\apache\giraph\worker\BspServiceWorker.java,False
src\main\java\org\apache\giraph\graph\partition\RangePartitionStats.java,giraph-core\src\main\java\org\apache\giraph\partition\RangePartitionStats.java,False
src\main\java\org\apache\giraph\graph\partition\Partition.java,giraph-core\src\main\java\org\apache\giraph\partition\Partition.java,False
src\main\java\org\apache\giraph\utils\EmptyIterable.java,giraph-core\src\main\java\org\apache\giraph\utils\EmptyIterable.java,False
