old,new,isSame
gora-core\src\examples\java\org\apache\gora\examples\mapreduce\QueryCounter.java,gora-core\src\examples\java\org\apache\gora\examples\mapreduce\QueryCounter.java,False
gora-sql\src\main\java\org\apache\gora\sql\query\SqlResult.java,gora-sql\src\main\java\org\apache\gora\sql\query\SqlResult.java,True
gora-core\src\main\java\org\apache\gora\store\impl\FileBackedDataStoreBase.java,gora-core\src\main\java\org\apache\gora\store\impl\FileBackedDataStoreBase.java,True
gora-hbase\src\main\java\org\apache\gora\hbase\util\HBaseByteInterface.java,gora-hbase\src\main\java\org\apache\gora\hbase\util\HBaseByteInterface.java,False
gora-sql\src\main\java\org\apache\gora\sql\statement\InsertUpdateStatementFactory.java,gora-sql\src\main\java\org\apache\gora\sql\statement\InsertUpdateStatementFactory.java,True
gora-core\src\main\java\org\apache\gora\store\impl\DataStoreBase.java,gora-core\src\main\java\org\apache\gora\store\impl\DataStoreBase.java,False
gora-core\src\test\java\org\apache\gora\store\TestDataStoreFactory.java,gora-core\src\test\java\org\apache\gora\store\TestDataStoreFactory.java,False
gora-core\src\main\java\org\apache\gora\mapreduce\GoraReducer.java,gora-core\src\main\java\org\apache\gora\mapreduce\GoraReducer.java,True
gora-core\src\main\java\org\apache\gora\util\IOUtils.java,gora-core\src\main\java\org\apache\gora\util\IOUtils.java,False
gora-core\src\main\java\org\apache\gora\compiler\GoraCompiler.java,gora-core\src\main\java\org\apache\gora\compiler\GoraCompiler.java,False
gora-core\src\main\java\org\apache\gora\avro\query\AvroQuery.java,gora-core\src\main\java\org\apache\gora\avro\query\AvroQuery.java,True
gora-sql\src\main\java\org\apache\gora\sql\statement\InsertStatement.java,gora-sql\src\main\java\org\apache\gora\sql\statement\InsertStatement.java,True
gora-core\src\test\java\org\apache\gora\avro\store\TestAvroStore.java,gora-core\src\test\java\org\apache\gora\avro\store\TestAvroStore.java,False
gora-sql\src\test\java\org\apache\gora\sql\GoraSqlTestDriver.java,gora-sql\src\test\java\org\apache\gora\sql\GoraSqlTestDriver.java,False
gora-sql\src\main\java\org\apache\gora\sql\store\SqlTypeInterface.java,gora-sql\src\main\java\org\apache\gora\sql\store\SqlTypeInterface.java,True
gora-core\src\main\java\org\apache\gora\store\DataStore.java,gora-core\src\main\java\org\apache\gora\store\DataStore.java,False
gora-hbase\src\main\java\org\apache\gora\hbase\query\HBaseQuery.java,gora-hbase\src\main\java\org\apache\gora\hbase\query\HBaseQuery.java,True
gora-cassandra\src\main\java\org\apache\gora\cassandra\store\CassandraMapping.java,gora-cassandra\src\main\java\org\apache\gora\cassandra\store\CassandraMapping.java,False
gora-hbase\src\test\java\org\apache\gora\hbase\GoraHBaseTestDriver.java,gora-hbase\src\test\java\org\apache\gora\hbase\GoraHBaseTestDriver.java,False
gora-core\src\test\java\org\apache\gora\mapreduce\MapReduceTestUtils.java,gora-core\src\test\java\org\apache\gora\mapreduce\MapReduceTestUtils.java,True
gora-core\src\test\java\org\apache\gora\mock\persistency\MockPersistent.java,gora-core\src\test\java\org\apache\gora\mock\persistency\MockPersistent.java,True
gora-core\src\main\java\org\apache\gora\util\GoraException.java,gora-core\src\main\java\org\apache\gora\util\GoraException.java,True
