old,new,isSame
org.apache.gora.solr.query.SolrResult,org.apache.gora.solr.query.SolrResult,True
org.apache.gora.solr.query.SolrResult.K,org.apache.gora.solr.query.SolrResult.K,True
org.apache.gora.solr.query.SolrResult.T,org.apache.gora.solr.query.SolrResult.T,True
org.apache.gora.persistency.impl.PersistentBase,org.apache.gora.persistency.impl.PersistentBase,True
org.apache.gora.query.Query,org.apache.gora.query.Query,True
org.apache.gora.query.impl.PartitionQueryImpl,org.apache.gora.query.impl.PartitionQueryImpl,True
org.apache.gora.query.impl.ResultBase,org.apache.gora.query.impl.ResultBase,True
org.apache.gora.solr.store.SolrStore,org.apache.gora.solr.store.SolrStore,True
org.apache.gora.store.DataStore,org.apache.gora.store.DataStore,True
org.apache.gora.solr.query.SolrQuery,org.apache.gora.solr.query.SolrQuery,True
org.apache.gora.solr.store.SolrMapping,org.apache.gora.solr.store.SolrMapping,True
org.apache.gora.hbase.store.HBaseColumn,org.apache.gora.hbase.store.HBaseColumn,True
org.apache.gora.cassandra.query.CassandraQuery,org.apache.gora.cassandra.query.CassandraQuery,True
org.apache.gora.cassandra.query.CassandraQuery.K,org.apache.gora.cassandra.query.CassandraQuery.K,True
org.apache.gora.cassandra.query.CassandraQuery.T,org.apache.gora.cassandra.query.CassandraQuery.T,True
org.apache.gora.query.impl.QueryBase,org.apache.gora.query.impl.QueryBase,True
org.apache.gora.hbase.store.TestHBaseStore,org.apache.gora.hbase.store.TestHBaseStore,True
org.apache.gora.examples.generated.Employee,org.apache.gora.examples.generated.Employee,False
org.apache.gora.examples.generated.WebPage,org.apache.gora.examples.generated.WebPage,False
org.apache.gora.hbase.GoraHBaseTestDriver,org.apache.gora.hbase.GoraHBaseTestDriver,True
org.apache.gora.store.DataStoreFactory,org.apache.gora.store.DataStoreFactory,False
org.apache.gora.store.DataStoreTestBase,org.apache.gora.store.DataStoreTestBase,True
org.apache.gora.hbase.store.HBaseStore,org.apache.gora.hbase.store.HBaseStore,False
org.apache.gora.GoraTestDriver,org.apache.gora.GoraTestDriver,True
org.apache.gora.accumulo.util.HexEncoderTest,org.apache.gora.accumulo.util.HexEncoderTest,True
org.apache.gora.accumulo.encoders.HexEncoder,org.apache.gora.accumulo.encoders.HexEncoder,True
org.apache.gora.shims.hadoop2.TestHadoopShim2,org.apache.gora.shims.hadoop2.TestHadoopShim2,True
org.apache.gora.shims.hadoop.HadoopShim,org.apache.gora.shims.hadoop.HadoopShim,True
org.apache.gora.shims.hadoop.HadoopShimFactory,org.apache.gora.shims.hadoop.HadoopShimFactory,True
org.apache.gora.shims.hadoop2.HadoopShim2,org.apache.gora.shims.hadoop2.HadoopShim2,True
org.apache.gora.store.WebServiceBackedDataStore,org.apache.gora.store.WebServiceBackedDataStore,True
org.apache.gora.store.WebServiceBackedDataStore.K,org.apache.gora.store.WebServiceBackedDataStore.K,True
org.apache.gora.store.WebServiceBackedDataStore.T,org.apache.gora.store.WebServiceBackedDataStore.T,True
org.apache.gora.persistency.Persistent,org.apache.gora.persistency.Persistent,True
