old,new,isSame
jspwiki-war\src\main\java\org\apache\wiki\tags\UserNameTag.java,src\com\ecyrd\jspwiki\tags\UserNameTag.java,False
jspwiki-war\src\test\java\SamplePlugin2.java,tests\SamplePlugin2.java,False
jspwiki-war\src\test\java\org\apache\wiki\plugin\SamplePlugin.java,tests\com\ecyrd\jspwiki\plugin\SamplePlugin.java,False
jspwiki-war\src\main\java\org\apache\wiki\xmlrpc\WikiRPCHandler.java,src\com\ecyrd\jspwiki\xmlrpc\WikiRPCHandler.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\CheckRequestContextTag.java,src\com\ecyrd\jspwiki\tags\CheckRequestContextTag.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\IncludeTag.java,src\com\ecyrd\jspwiki\tags\IncludeTag.java,False
jspwiki-war\src\main\java\org\apache\wiki\api\exceptions\ProviderException.java,src\com\ecyrd\jspwiki\providers\ProviderException.java,False
jspwiki-war\src\main\java\org\apache\wiki\Release.java,src\com\ecyrd\jspwiki\Release.java,False
jspwiki-war\src\main\java\org\apache\wiki\util\FileUtil.java,src\com\ecyrd\jspwiki\FileUtil.java,False
jspwiki-war\src\test\java\org\apache\wiki\plugin\InsertPageTest.java,tests\com\ecyrd\jspwiki\plugin\InsertPageTest.java,False
jspwiki-war\src\main\java\org\apache\wiki\plugin\Denounce.java,src\com\ecyrd\jspwiki\plugin\Denounce.java,False
jspwiki-war\src\main\java\org\apache\wiki\auth\AuthorizationManager.java,src\com\ecyrd\jspwiki\auth\AuthorizationManager.java,False
jspwiki-war\src\test\java\org\apache\wiki\render\AllTests.java,tests\com\ecyrd\jspwiki\util\AllTests.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\PreviousVersionTag.java,src\com\ecyrd\jspwiki\tags\PreviousVersionTag.java,False
jspwiki-war\src\main\java\org\apache\wiki\api\exceptions\PluginException.java,src\com\ecyrd\jspwiki\plugin\PluginException.java,False
jspwiki-war\src\main\java\org\apache\wiki\attachment\AttachmentManager.java,src\com\ecyrd\jspwiki\attachment\AttachmentManager.java,False
jspwiki-war\src\main\java\org\apache\wiki\xmlrpc\RPCHandler.java,src\com\ecyrd\jspwiki\xmlrpc\RPCHandler.java,False
jspwiki-war\src\main\java\org\apache\wiki\api\plugin\InitializablePlugin.java,src\com\ecyrd\jspwiki\plugin\InitializablePlugin.java,False
jspwiki-war\src\main\java\org\apache\wiki\providers\NoSuchVersionException.java,src\com\ecyrd\jspwiki\providers\NoSuchVersionException.java,False
jspwiki-war\src\test\java\org\apache\wiki\WikiEngineTest.java,tests\com\ecyrd\jspwiki\WikiEngineTest.java,False
jspwiki-war\src\main\java\org\apache\wiki\htmltowiki\ForgetNullValuesLinkedHashMap.java,src\com\ecyrd\jspwiki\htmltowiki\ForgetNullValuesLinkedHashMap.java,False
jspwiki-war\src\main\java\org\apache\wiki\providers\CachingAttachmentProvider.java,src\com\ecyrd\jspwiki\providers\CachingAttachmentProvider.java,False
jspwiki-war\src\test\java\org\apache\wiki\render\AllTests.java,tests\com\ecyrd\jspwiki\attachment\AllTests.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\IteratorTag.java,src\com\ecyrd\jspwiki\tags\IteratorTag.java,False
jspwiki-war\src\main\java\org\apache\wiki\forms\FormInput.java,src\com\ecyrd\jspwiki\forms\FormInput.java,False
jspwiki-war\src\main\java\org\apache\wiki\api\exceptions\NoRequiredPropertyException.java,src\com\ecyrd\jspwiki\NoRequiredPropertyException.java,False
jspwiki-war\src\test\java\org\apache\wiki\render\AllTests.java,tests\com\ecyrd\jspwiki\plugin\AllTests.java,False
jspwiki-war\src\main\java\org\apache\wiki\LinkCollector.java,src\com\ecyrd\jspwiki\LinkCollector.java,False
jspwiki-war\src\main\java\org\apache\wiki\filters\SpamFilter.java,src\com\ecyrd\jspwiki\filters\SpamFilter.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\TemplateDirTag.java,src\com\ecyrd\jspwiki\tags\TemplateDirTag.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\UploadLinkTag.java,src\com\ecyrd\jspwiki\tags\UploadLinkTag.java,False
jspwiki-war\src\main\java\org\apache\wiki\providers\CachingProvider.java,src\com\ecyrd\jspwiki\providers\CachingProvider.java,False
jspwiki-war\src\test\java\org\apache\wiki\render\AllTests.java,tests\com\ecyrd\jspwiki\acl\AllTests.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\IfNoSearchResultsTag.java,src\com\ecyrd\jspwiki\tags\IfNoSearchResultsTag.java,False
jspwiki-war\src\main\java\org\apache\wiki\rss\Feed.java,src\com\ecyrd\jspwiki\rss\Feed.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\PageExistsTag.java,src\com\ecyrd\jspwiki\tags\PageExistsTag.java,False
jspwiki-war\src\test\java\org\apache\wiki\PageManagerTest.java,tests\com\ecyrd\jspwiki\PageManagerTest.java,False
jspwiki-war\src\main\java\org\apache\wiki\tags\UserCheckTag.java,src\com\ecyrd\jspwiki\tags\UserCheckTag.java,False
jspwiki-war\src\test\java\org\apache\wiki\ReferenceManagerTest.java,tests\com\ecyrd\jspwiki\ReferenceManagerTest.java,False
