old,new,isSame
stress.StressTestVersioningProvider,stress.StressTestVersioningProvider,True
com.ecyrd.jspwiki.TestEngine,com.ecyrd.jspwiki.TestEngine,False
stress.Benchmark,stress.Benchmark,False
com.ecyrd.jspwiki.WikiPage,com.ecyrd.jspwiki.WikiPage,False
com.ecyrd.jspwiki.providers.FileSystemProvider,com.ecyrd.jspwiki.providers.FileSystemProvider,False
com.ecyrd.jspwiki.providers.AbstractFileProvider,com.ecyrd.jspwiki.providers.AbstractFileProvider,False
com.ecyrd.jspwiki.WikiEngine,com.ecyrd.jspwiki.WikiEngine,False
com.ecyrd.jspwiki.dav.items.DavItem,com.ecyrd.jspwiki.dav.items.DavItem,False
com.ecyrd.jspwiki.dav.items.DirectoryItem,com.ecyrd.jspwiki.dav.items.DirectoryItem,False
com.ecyrd.jspwiki.providers.VerySimpleProvider,com.ecyrd.jspwiki.providers.VerySimpleProvider,False
com.ecyrd.jspwiki.providers.WikiPageProvider,com.ecyrd.jspwiki.providers.WikiPageProvider,False
com.ecyrd.jspwiki.QueryItem,com.ecyrd.jspwiki.QueryItem,True
com.ecyrd.jspwiki.providers.ProviderException,com.ecyrd.jspwiki.providers.ProviderException,False
com.ecyrd.jspwiki.util.PriorityListTest,com.ecyrd.jspwiki.util.PriorityListTest,True
com.ecyrd.jspwiki.util.PriorityList,com.ecyrd.jspwiki.util.PriorityList,False
com.ecyrd.jspwiki.auth.NoSuchPrincipalException,com.ecyrd.jspwiki.auth.NoSuchPrincipalException,False
com.ecyrd.jspwiki.auth.WikiSecurityException,com.ecyrd.jspwiki.auth.WikiSecurityException,False
com.ecyrd.jspwiki.providers.AbstractFileProvider.WikiFileFilter,com.ecyrd.jspwiki.providers.AbstractFileProvider.WikiFileFilter,False
com.ecyrd.jspwiki.SearchResult,com.ecyrd.jspwiki.SearchResult,False
com.ecyrd.jspwiki.SearchMatcher,com.ecyrd.jspwiki.SearchMatcher,False
com.ecyrd.jspwiki.NoRequiredPropertyException,com.ecyrd.jspwiki.NoRequiredPropertyException,False
com.ecyrd.jspwiki.TextUtil,com.ecyrd.jspwiki.TextUtil,False
com.ecyrd.jspwiki.InternalWikiException,com.ecyrd.jspwiki.InternalWikiException,False
com.ecyrd.jspwiki.FileUtil,com.ecyrd.jspwiki.FileUtil,False
com.ecyrd.jspwiki.SearchResultComparator,com.ecyrd.jspwiki.SearchResultComparator,False
com.ecyrd.jspwiki.WikiProvider,com.ecyrd.jspwiki.WikiProvider,True
com.ecyrd.jspwiki.auth.WikiPrincipal,com.ecyrd.jspwiki.auth.WikiPrincipal,False
com.ecyrd.jspwiki.htmltowiki.ForgetNullValuesLinkedHashMap,com.ecyrd.jspwiki.htmltowiki.ForgetNullValuesLinkedHashMap,False
com.ecyrd.jspwiki.providers.CachingAttachmentProvider,com.ecyrd.jspwiki.providers.CachingAttachmentProvider,False
com.ecyrd.jspwiki.attachment.Attachment,com.ecyrd.jspwiki.attachment.Attachment,False
com.ecyrd.jspwiki.attachment.AttachmentManager,com.ecyrd.jspwiki.attachment.AttachmentManager,False
com.ecyrd.jspwiki.util.ClassUtil,com.ecyrd.jspwiki.util.ClassUtil,False
com.ecyrd.jspwiki.providers.WikiAttachmentProvider,com.ecyrd.jspwiki.providers.WikiAttachmentProvider,False
com.ecyrd.jspwiki.WikiContext,com.ecyrd.jspwiki.WikiContext,False
com.ecyrd.jspwiki.auth.UserManager,com.ecyrd.jspwiki.auth.UserManager,False
com.ecyrd.jspwiki.tags.WikiTagBase,com.ecyrd.jspwiki.tags.WikiTagBase,False
com.ecyrd.jspwiki.WikiException,com.ecyrd.jspwiki.WikiException,False
com.ecyrd.jspwiki.providers.CounterProvider,com.ecyrd.jspwiki.providers.CounterProvider,False
com.ecyrd.jspwiki.dav.items.PageDavItem,com.ecyrd.jspwiki.dav.items.PageDavItem,False
com.ecyrd.jspwiki.StringTransmutator,com.ecyrd.jspwiki.StringTransmutator,True
com.ecyrd.jspwiki.VariableManager,com.ecyrd.jspwiki.VariableManager,False
com.ecyrd.jspwiki.filters.PageFilter,com.ecyrd.jspwiki.filters.PageFilter,True
com.ecyrd.jspwiki.NoSuchVariableException,com.ecyrd.jspwiki.NoSuchVariableException,False
com.ecyrd.jspwiki.Release,com.ecyrd.jspwiki.Release,False
com.ecyrd.jspwiki.filters.FilterManager,com.ecyrd.jspwiki.filters.FilterManager,False
com.ecyrd.jspwiki.util.BlogUtil,com.ecyrd.jspwiki.util.BlogUtil,True
com.ecyrd.jspwiki.dav.DavUtil,com.ecyrd.jspwiki.dav.DavUtil,False
com.ecyrd.jspwiki.filters.FilterException,com.ecyrd.jspwiki.filters.FilterException,False
com.ecyrd.jspwiki.providers.CachingProvider,com.ecyrd.jspwiki.providers.CachingProvider,False
com.ecyrd.jspwiki.ReferenceManager,com.ecyrd.jspwiki.ReferenceManager,False
com.ecyrd.jspwiki.tags.PageExistsTag,com.ecyrd.jspwiki.tags.PageExistsTag,False
com.ecyrd.jspwiki.tags.NoSuchPageTag,com.ecyrd.jspwiki.tags.NoSuchPageTag,False
com.ecyrd.jspwiki.auth.permissions.WikiPermission,com.ecyrd.jspwiki.auth.permissions.WikiPermission,False
com.ecyrd.jspwiki.auth.AuthorizationManager,com.ecyrd.jspwiki.auth.AuthorizationManager,False
com.ecyrd.jspwiki.tags.LinkToParentTag,com.ecyrd.jspwiki.tags.LinkToParentTag,False
com.ecyrd.jspwiki.tags.LinkToTag,com.ecyrd.jspwiki.tags.LinkToTag,False
com.ecyrd.jspwiki.forms.FormHandler,com.ecyrd.jspwiki.forms.FormHandler,True
com.ecyrd.jspwiki.tags.RSSCoffeeCupLinkTag,com.ecyrd.jspwiki.tags.RSSCoffeeCupLinkTag,False
com.ecyrd.jspwiki.tags.PageInfoLinkTag,com.ecyrd.jspwiki.tags.PageInfoLinkTag,False
com.ecyrd.jspwiki.tags.WikiLinkTag,com.ecyrd.jspwiki.tags.WikiLinkTag,False
com.ecyrd.jspwiki.tags.PageSizeTag,com.ecyrd.jspwiki.tags.PageSizeTag,False
com.ecyrd.jspwiki.plugin.Denounce,com.ecyrd.jspwiki.plugin.Denounce,True
com.ecyrd.jspwiki.plugin.WikiPlugin,com.ecyrd.jspwiki.plugin.WikiPlugin,True
com.ecyrd.jspwiki.plugin.PluginException,com.ecyrd.jspwiki.plugin.PluginException,False
com.ecyrd.jspwiki.rss.AllTests,com.ecyrd.jspwiki.rss.AllTests,True
com.ecyrd.jspwiki.rss.RSSGeneratorTest,com.ecyrd.jspwiki.rss.RSSGeneratorTest,False
com.ecyrd.jspwiki.rss.RSSGenerator,com.ecyrd.jspwiki.rss.RSSGenerator,False
com.ecyrd.jspwiki.dav.methods.GetMethod,com.ecyrd.jspwiki.dav.methods.GetMethod,False
com.ecyrd.jspwiki.dav.methods.DavMethod,com.ecyrd.jspwiki.dav.methods.DavMethod,False
SamplePlugin2,SamplePlugin2,True
com.ecyrd.jspwiki.tags.DiffLinkTag,com.ecyrd.jspwiki.tags.DiffLinkTag,False
com.ecyrd.jspwiki.tags.TemplateDirTag,com.ecyrd.jspwiki.tags.TemplateDirTag,False
com.ecyrd.jspwiki.plugin.BugReportHandler,com.ecyrd.jspwiki.plugin.BugReportHandler,False
com.ecyrd.jspwiki.filters.RedirectException,com.ecyrd.jspwiki.filters.RedirectException,False
com.ecyrd.jspwiki.tags.UserNameTag,com.ecyrd.jspwiki.tags.UserNameTag,False
com.ecyrd.jspwiki.dav.items.AttachmentDirectoryItem,com.ecyrd.jspwiki.dav.items.AttachmentDirectoryItem,False
com.ecyrd.jspwiki.tags.IncludeTag,com.ecyrd.jspwiki.tags.IncludeTag,False
com.ecyrd.jspwiki.PageManager,com.ecyrd.jspwiki.PageManager,False
com.ecyrd.jspwiki.filters.TestFilter,com.ecyrd.jspwiki.filters.TestFilter,True
com.ecyrd.jspwiki.filters.BasicPageFilter,com.ecyrd.jspwiki.filters.BasicPageFilter,True
com.ecyrd.jspwiki.xmlrpc.AbstractRPCHandler,com.ecyrd.jspwiki.xmlrpc.AbstractRPCHandler,True
com.ecyrd.jspwiki.xmlrpc.WikiRPCHandler,com.ecyrd.jspwiki.xmlrpc.WikiRPCHandler,True
com.ecyrd.jspwiki.diff.TraditionalDiffProvider,com.ecyrd.jspwiki.diff.TraditionalDiffProvider,False
com.ecyrd.jspwiki.diff.TraditionalDiffProvider.RevisionPrint,com.ecyrd.jspwiki.diff.TraditionalDiffProvider.RevisionPrint,False
com.ecyrd.jspwiki.diff.DiffProvider,com.ecyrd.jspwiki.diff.DiffProvider,True
com.ecyrd.jspwiki.plugin.ReferringPagesPlugin,com.ecyrd.jspwiki.plugin.ReferringPagesPlugin,False
com.ecyrd.jspwiki.plugin.AbstractReferralPlugin,com.ecyrd.jspwiki.plugin.AbstractReferralPlugin,False
com.ecyrd.jspwiki.PageManagerTest,com.ecyrd.jspwiki.PageManagerTest,True
com.ecyrd.jspwiki.dav.WebdavServlet,com.ecyrd.jspwiki.dav.WebdavServlet,False
com.ecyrd.jspwiki.plugin.SamplePlugin,com.ecyrd.jspwiki.plugin.SamplePlugin,True
com.ecyrd.jspwiki.dav.items.TopLevelDavItem,com.ecyrd.jspwiki.dav.items.TopLevelDavItem,False
com.ecyrd.jspwiki.plugin.TableOfContentsTest,com.ecyrd.jspwiki.plugin.TableOfContentsTest,False
com.ecyrd.jspwiki.providers.BasicAttachmentProvider,com.ecyrd.jspwiki.providers.BasicAttachmentProvider,False
com.ecyrd.jspwiki.providers.VersioningFileProvider,com.ecyrd.jspwiki.providers.VersioningFileProvider,False
com.ecyrd.jspwiki.providers.NoSuchVersionException,com.ecyrd.jspwiki.providers.NoSuchVersionException,False
com.ecyrd.jspwiki.plugin.PluginManager,com.ecyrd.jspwiki.plugin.PluginManager,False
com.ecyrd.jspwiki.diff.DifferenceManager,com.ecyrd.jspwiki.diff.DifferenceManager,False
com.ecyrd.jspwiki.diff.DiffProvider.NullDiffProvider,com.ecyrd.jspwiki.diff.DiffProvider.NullDiffProvider,True
com.ecyrd.jspwiki.auth.AuthorizationManagerTest,com.ecyrd.jspwiki.auth.AuthorizationManagerTest,False
