old,new,isSame
gateway-i18n\src\test\java\org\apache\hadoop\gateway\i18n\resources\ResourcesTest.java,gateway-i18n\src\test\java\org\apache\hadoop\gateway\i18n\resources\ResourcesTest.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\spi\UrlRewriteRulesImporter.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\spi\UrlRewriteRulesImporter.java,True
gateway-provider-ha\src\test\java\org\apache\hadoop\gateway\ha\provider\impl\HaDescriptorManagerTest.java,gateway-provider-ha\src\test\java\org\apache\hadoop\gateway\ha\provider\impl\HaDescriptorManagerTest.java,True
gateway-service-admin\src\main\java\org\apache\hadoop\gateway\service\admin\TopologyMarshaller.java,gateway-service-admin\src\main\java\org\apache\hadoop\gateway\service\admin\TopologyMarshaller.java,False
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\impl\form\FormUrlRewriteFilterReader.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\impl\form\FormUrlRewriteFilterReader.java,True
gateway-util-common\src\main\java\org\apache\hadoop\gateway\audit\api\AuditContext.java,gateway-util-common\src\main\java\org\apache\hadoop\gateway\audit\api\AuditContext.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\descriptor\xml\XmlGatewayDescriptorImporter.java,gateway-server\src\main\java\org\apache\hadoop\gateway\descriptor\xml\XmlGatewayDescriptorImporter.java,True
gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hbase\table\scanner\DeleteScanner.java,gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hbase\table\scanner\DeleteScanner.java,True
gateway-util-configinjector\src\main\java\org\apache\hadoop\gateway\config\Optional.java,gateway-util-configinjector\src\main\java\org\apache\hadoop\gateway\config\Optional.java,True
gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\provider\impl\HaDescriptorFactory.java,gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\provider\impl\HaDescriptorFactory.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\impl\noop\NoOpUrlRewriteStreamFilter.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\impl\noop\NoOpUrlRewriteStreamFilter.java,True
gateway-test\src\test\java\org\apache\hadoop\gateway\GatewayAppFuncTest.java,gateway-test\src\test\java\org\apache\hadoop\gateway\GatewayAppFuncTest.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\services\hostmap\HostMapper.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\services\hostmap\HostMapper.java,True
gateway-provider-security-pac4j\src\test\java\org\apache\hadoop\gateway\pac4j\MockHttpServletRequest.java,gateway-test-utils\src\main\java\org\apache\hadoop\test\mock\MockHttpServletRequest.java,False
gateway-provider-security-authz-acls\src\main\java\org\apache\hadoop\gateway\filter\AclsAuthorizationMessages.java,gateway-provider-security-authz-acls\src\main\java\org\apache\hadoop\gateway\filter\AclsAuthorizationMessages.java,True
gateway-provider-rewrite-func-service-registry\src\test\java\org\apache\hadoop\gateway\svcregfunc\api\ServicePortFunctionDescriptorTest.java,gateway-provider-rewrite-func-service-registry\src\test\java\org\apache\hadoop\gateway\svcregfunc\api\ServicePortFunctionDescriptorTest.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\topology\builder\property\Property.java,gateway-server\src\main\java\org\apache\hadoop\gateway\topology\builder\property\Property.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\deploy\impl\GenericProviderDeploymentContributor.java,gateway-server\src\main\java\org\apache\hadoop\gateway\deploy\impl\GenericProviderDeploymentContributor.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\api\UrlRewriteFunctionDescriptorFactory.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\api\UrlRewriteFunctionDescriptorFactory.java,True
gateway-util-urltemplate\src\test\java\org\apache\hadoop\gateway\util\urltemplate\SegmentTest.java,gateway-util-urltemplate\src\test\java\org\apache\hadoop\gateway\util\urltemplate\SegmentTest.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\security\principal\PrincipalMapper.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\security\principal\PrincipalMapper.java,True
gateway-provider-rewrite-func-service-registry\src\test\java\org\apache\hadoop\gateway\svcregfunc\api\ServicePathFunctionDescriptorTest.java,gateway-provider-rewrite-func-service-registry\src\test\java\org\apache\hadoop\gateway\svcregfunc\api\ServicePathFunctionDescriptorTest.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\config\FilterConfigurationAdapterDescriptor.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\config\FilterConfigurationAdapterDescriptor.java,True
gateway-test-utils\src\main\java\org\apache\hadoop\test\mock\MockServer.java,gateway-test-utils\src\main\java\org\apache\hadoop\test\mock\MockServer.java,True
gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\yarn\Yarn.java,gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\yarn\Yarn.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\topology\Application.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\topology\Application.java,True
gateway-test-utils\src\main\java\org\apache\hadoop\test\mock\MockResponseProvider.java,gateway-test-utils\src\main\java\org\apache\hadoop\test\mock\MockResponseProvider.java,False
gateway-test\src\test\java\org\apache\hadoop\gateway\GatewayLdapGroupFuncTest.java,gateway-test\src\test\java\org\apache\hadoop\gateway\GatewayLdapGroupFuncTest.java,True
gateway-provider-rewrite\src\test\java\org\apache\hadoop\gateway\filter\rewrite\impl\UrlRewriteStepProcessorStateTest.java,gateway-provider-rewrite\src\test\java\org\apache\hadoop\gateway\filter\rewrite\impl\UrlRewriteStepProcessorStateTest.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\util\KnoxCLI.java,gateway-server\src\main\java\org\apache\hadoop\gateway\util\KnoxCLI.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\descriptor\xml\XmlGatewayDescriptorTags.java,gateway-server\src\main\java\org\apache\hadoop\gateway\descriptor\xml\XmlGatewayDescriptorTags.java,True
gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\job\Status.java,gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\workflow\Status.java,False
gateway-i18n\src\main\java\org\apache\hadoop\gateway\i18n\messages\loggers\sout\SoutMessageLogger.java,gateway-i18n\src\main\java\org\apache\hadoop\gateway\i18n\messages\loggers\sout\SoutMessageLogger.java,True
gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\provider\HaServletContextListener.java,gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\provider\HaServletContextListener.java,True
gateway-provider-security-authz-acls\src\main\java\org\apache\hadoop\gateway\filter\InvalidACLException.java,gateway-provider-security-authz-acls\src\main\java\org\apache\hadoop\gateway\filter\InvalidACLException.java,True
gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hdfs\Ls.java,gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hdfs\Ls.java,False
gateway-provider-rewrite\src\test\java\org\apache\hadoop\gateway\filter\rewrite\impl\xml\XmlUrlRewriteRulesExporterTest.java,gateway-provider-rewrite\src\test\java\org\apache\hadoop\gateway\filter\rewrite\impl\xml\XmlUrlRewriteRulesExporterTest.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\GatewayFilter.java,gateway-server\src\main\java\org\apache\hadoop\gateway\GatewayFilter.java,True
gateway-provider-security-shiro\src\main\java\org\apache\hadoop\gateway\shirorealm\UnixUserPrincipal.java,gateway-provider-security-shiro\src\main\java\org\apache\hadoop\gateway\shirorealm\UnixUserPrincipal.java,True
gateway-provider-rewrite\src\test\java\org\apache\hadoop\gateway\filter\rewrite\impl\json\TestJsonFilterReader.java,gateway-provider-rewrite\src\test\java\org\apache\hadoop\gateway\filter\rewrite\impl\json\TestJsonFilterReader.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\spi\UrlRewriteRulesExporter.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\spi\UrlRewriteRulesExporter.java,True
gateway-util-configinjector\src\test\java\org\apache\hadoop\gateway\config\impl\BeanConfigurationAdapterDescriptorTest.java,gateway-util-configinjector\src\test\java\org\apache\hadoop\gateway\config\impl\BeanConfigurationAdapterDescriptorTest.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\descriptor\FilterDescriptor.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\descriptor\FilterDescriptor.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\ext\UrlRewriteMatchDescriptorExt.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\ext\UrlRewriteMatchDescriptorExt.java,True
gateway-provider-identity-assertion-pseudo\src\main\java\org\apache\hadoop\gateway\IdentityAsserterMessages.java,gateway-provider-identity-assertion-common\src\main\java\org\apache\hadoop\gateway\IdentityAsserterMessages.java,True
gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\dispatch\DefaultHaDispatch.java,gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\dispatch\DefaultHaDispatch.java,True
gateway-provider-rewrite-func-service-registry\src\test\java\org\apache\hadoop\gateway\svcregfunc\api\ServiceSchemeFunctionDescriptorTest.java,gateway-provider-rewrite-func-service-registry\src\test\java\org\apache\hadoop\gateway\svcregfunc\api\ServiceSchemeFunctionDescriptorTest.java,True
gateway-provider-rewrite-func-service-registry\src\main\java\org\apache\hadoop\gateway\svcregfunc\api\ServiceMappedHostFunctionDescriptor.java,gateway-provider-rewrite-func-service-registry\src\main\java\org\apache\hadoop\gateway\svcregfunc\api\ServiceMappedHostFunctionDescriptor.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\websockets\WebsocketLogMessages.java,gateway-server\src\main\java\org\apache\hadoop\gateway\websockets\WebsocketLogMessages.java,True
gateway-provider-rewrite-step-secure-query\src\main\java\org\apache\hadoop\gateway\securequery\SecureQueryDecryptProcessor.java,gateway-provider-rewrite-step-secure-query\src\main\java\org\apache\hadoop\gateway\securequery\SecureQueryDecryptProcessor.java,True
gateway-util-common\src\main\java\org\apache\hadoop\gateway\audit\log4j\layout\AuditLayout.java,gateway-util-common\src\main\java\org\apache\hadoop\gateway\audit\log4j\layout\AuditLayout.java,True
gateway-provider-security-authc-anon\src\main\java\org\apache\hadoop\gateway\filter\AnonymousAuthFilter.java,gateway-provider-security-authc-anon\src\main\java\org\apache\hadoop\gateway\filter\AnonymousAuthFilter.java,True
gateway-provider-rewrite-step-encrypt-uri\src\test\java\org\apache\hadoop\gateway\encrypturi\impl\EncryptDecryptUriProcessorTest.java,gateway-provider-rewrite-step-encrypt-uri\src\test\java\org\apache\hadoop\gateway\encrypturi\impl\EncryptDecryptUriProcessorTest.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\spi\UrlRewriteStreamFilter.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\spi\UrlRewriteStreamFilter.java,True
gateway-provider-security-shiro\src\main\java\org\apache\hadoop\gateway\shirorealm\KnoxLdapRealm.java,gateway-provider-security-shiro\src\main\java\org\apache\hadoop\gateway\shirorealm\KnoxLdapRealm.java,True
gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hbase\table\row\StoreRow.java,gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hbase\table\row\StoreRow.java,True
gateway-util-common\src\main\java\org\apache\hadoop\gateway\util\X500PrincipalParser.java,gateway-util-common\src\main\java\org\apache\hadoop\gateway\util\X500PrincipalParser.java,True
gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\yarn\SubmitApp.java,gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\yarn\SubmitApp.java,False
gateway-util-configinjector\src\test\java\org\apache\hadoop\gateway\config\OptionalTest.java,gateway-util-configinjector\src\test\java\org\apache\hadoop\gateway\config\OptionalTest.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\dispatch\AbstractGatewayDispatch.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\dispatch\AbstractGatewayDispatch.java,True
gateway-server\src\test\java\org\apache\hadoop\gateway\GatewayForwardingServletTest.java,gateway-server\src\test\java\org\apache\hadoop\gateway\GatewayForwardingServletTest.java,True
gateway-test-utils\src\main\java\org\apache\hadoop\test\mock\MockServletContext.java,gateway-test-utils\src\main\java\org\apache\hadoop\test\mock\MockServletContext.java,True
gateway-server\src\main\java\org\apache\hadoop\gateway\topology\builder\property\interpreter\GatewayPropertyInterpreter.java,gateway-server\src\main\java\org\apache\hadoop\gateway\topology\builder\property\interpreter\GatewayPropertyInterpreter.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\api\UrlRewriteFunctionDescriptor.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\api\UrlRewriteFunctionDescriptor.java,True
gateway-util-configinjector\src\main\java\org\apache\hadoop\gateway\config\impl\DefaultConfigurationBinding.java,gateway-util-configinjector\src\main\java\org\apache\hadoop\gateway\config\impl\DefaultConfigurationBinding.java,True
gateway-service-knoxsso\src\main\java\org\apache\hadoop\gateway\service\knoxsso\KnoxSSOMessages.java,gateway-service-knoxsso\src\main\java\org\apache\hadoop\gateway\service\knoxsso\KnoxSSOMessages.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\services\ServiceLifecycleException.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\services\ServiceLifecycleException.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\filter\ResponseStreamer.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\filter\ResponseStreamer.java,True
gateway-util-configinjector\src\test\java\org\apache\hadoop\gateway\config\PropertiesFactorySampleTest.java,gateway-util-configinjector\src\test\java\org\apache\hadoop\gateway\config\PropertiesFactorySampleTest.java,True
gateway-spi\src\test\java\org\apache\hadoop\gateway\security\principal\PrincipalMapperTest.java,gateway-spi\src\test\java\org\apache\hadoop\gateway\security\principal\PrincipalMapperTest.java,True
gateway-i18n-logging-log4j\src\test\java\org\apache\hadoop\gateway\i18n\messages\loggers\log4j\Log4jMessageLoggerFactoryTest.java,gateway-i18n-logging-log4j\src\test\java\org\apache\hadoop\gateway\i18n\messages\loggers\log4j\Log4jMessageLoggerFactoryTest.java,True
gateway-i18n\src\main\java\org\apache\hadoop\gateway\i18n\messages\loggers\sout\SoutMessageLoggerFactory.java,gateway-i18n\src\main\java\org\apache\hadoop\gateway\i18n\messages\loggers\sout\SoutMessageLoggerFactory.java,True
