old,new,isSame
org.apache.kylin.tool.HiveConfigCLI,org.apache.kylin.tool.HiveConfigCLI,True
org.apache.kylin.gridtable.AggregationCacheMemSizeTest,org.apache.kylin.gridtable.AggregationCacheMemSizeTest,True
org.apache.kylin.gridtable.AggregationCacheMemSizeTest.Settings,org.apache.kylin.gridtable.AggregationCacheMemSizeTest.Settings,True
org.apache.kylin.gridtable.AggregationCacheMemSizeTest.testSetting.(Anon_1),org.apache.kylin.gridtable.AggregationCacheMemSizeTest.testSetting.(Anon_1),True
org.apache.kylin.common.util.Bytes,org.apache.kylin.common.util.Bytes,True
org.apache.kylin.measure.MeasureAggregator,org.apache.kylin.measure.MeasureAggregator,True
org.apache.kylin.measure.basic.BigDecimalSumAggregator,org.apache.kylin.measure.basic.BigDecimalSumAggregator,True
org.apache.kylin.measure.basic.DoubleSumAggregator,org.apache.kylin.measure.basic.DoubleSumAggregator,True
org.apache.kylin.measure.basic.LongSumAggregator,org.apache.kylin.measure.basic.LongSumAggregator,True
org.apache.kylin.measure.bitmap.BitmapAggregator,org.apache.kylin.measure.bitmap.BitmapAggregator,True
org.apache.kylin.measure.bitmap.BitmapCounter,org.apache.kylin.measure.bitmap.BitmapCounter,True
org.apache.kylin.measure.bitmap.BitmapCounterFactory,org.apache.kylin.measure.bitmap.BitmapCounterFactory,False
org.apache.kylin.measure.bitmap.RoaringBitmapCounterFactory,org.apache.kylin.measure.bitmap.RoaringBitmapCounterFactory,False
org.apache.kylin.measure.hllc.HLLCAggregator,org.apache.kylin.measure.hllc.HLLCAggregator,True
org.apache.kylin.measure.hllc.HLLCounter,org.apache.kylin.measure.hllc.HLLCounter,True
org.apache.kylin.gridtable.GTAggregateScanner,org.apache.kylin.gridtable.GTAggregateScanner,False
org.apache.kylin.metadata.model.IEngineAware,org.apache.kylin.metadata.model.IEngineAware,True
org.apache.kylin.measure.topn.TopNCounterSerializerTest,org.apache.kylin.measure.topn.TopNCounterSerializerTest,True
org.apache.kylin.common.util.ByteArray,org.apache.kylin.common.util.ByteArray,False
org.apache.kylin.common.util.LocalFileMetadataTestCase,org.apache.kylin.common.util.LocalFileMetadataTestCase,True
org.apache.kylin.metadata.datatype.DataType,org.apache.kylin.metadata.datatype.DataType,False
org.apache.kylin.measure.topn.TopNCounterSerializer,org.apache.kylin.measure.topn.TopNCounterSerializer,True
org.apache.kylin.measure.topn.TopNCounter,org.apache.kylin.measure.topn.TopNCounter,True
org.apache.kylin.source.kafka.TimedJsonStreamParserTest,org.apache.kylin.source.kafka.TimedJsonStreamParserTest,True
org.apache.kylin.common.util.StreamingMessageRow,org.apache.kylin.common.util.StreamingMessageRow,True
org.apache.kylin.metadata.model.TableDesc,org.apache.kylin.metadata.model.TableDesc,False
org.apache.kylin.metadata.model.TblColRef,org.apache.kylin.metadata.model.TblColRef,False
org.apache.kylin.source.kafka.TimedJsonStreamParser,org.apache.kylin.source.kafka.TimedJsonStreamParser,True
org.apache.kylin.rest.controller.AdminController,org.apache.kylin.rest.controller.AdminController,False
org.apache.kylin.common.KylinConfig,org.apache.kylin.common.KylinConfig,False
org.apache.kylin.rest.msg.Message,org.apache.kylin.rest.msg.Message,False
org.apache.kylin.rest.msg.MsgPicker,org.apache.kylin.rest.msg.MsgPicker,True
org.apache.kylin.rest.request.MetricsRequest,org.apache.kylin.rest.request.MetricsRequest,True
org.apache.kylin.rest.request.UpdateConfigRequest,org.apache.kylin.rest.request.UpdateConfigRequest,True
org.apache.kylin.rest.response.GeneralResponse,org.apache.kylin.rest.response.GeneralResponse,True
org.apache.kylin.rest.response.MetricsResponse,org.apache.kylin.rest.response.MetricsResponse,True
org.apache.kylin.rest.service.AdminService,org.apache.kylin.rest.service.AdminService,False
org.apache.kylin.rest.service.CubeService,org.apache.kylin.rest.service.CubeService,False
org.apache.kylin.rest.controller.BasicController,org.apache.kylin.rest.controller.BasicController,True
org.apache.kylin.common.KylinConfigBase,org.apache.kylin.common.KylinConfigBase,False
org.apache.kylin.job.ContextTestExecutable,org.apache.kylin.job.ContextTestExecutable,True
org.apache.kylin.job.exception.ExecuteException,org.apache.kylin.job.exception.ExecuteException,True
org.apache.kylin.job.execution.AbstractExecutable,org.apache.kylin.job.execution.AbstractExecutable,True
org.apache.kylin.job.execution.ExecutableContext,org.apache.kylin.job.execution.ExecutableContext,True
org.apache.kylin.job.execution.ExecuteResult,org.apache.kylin.job.execution.ExecuteResult,True
org.apache.kylin.job.BaseTestDistributedScheduler,org.apache.kylin.job.BaseTestDistributedScheduler,False
org.apache.kylin.job.execution.ExecuteResult.State,org.apache.kylin.job.execution.ExecuteResult.State,True
org.apache.kylin.common.persistence.JsonSerializer,org.apache.kylin.common.persistence.JsonSerializer,True
org.apache.kylin.cube.CubeInstance,org.apache.kylin.cube.CubeInstance,False
org.apache.kylin.dimension.IDimensionEncodingMap,org.apache.kylin.dimension.IDimensionEncodingMap,True
org.apache.kylin.common.util.Dictionary,org.apache.kylin.common.util.Dictionary,True
org.apache.kylin.dimension.DimensionEncoding,org.apache.kylin.dimension.DimensionEncoding,True
org.apache.kylin.metadata.filter.UDF.MassInTupleFilter,org.apache.kylin.metadata.filter.UDF.MassInTupleFilter,True
org.apache.kylin.common.util.BytesUtil,org.apache.kylin.common.util.BytesUtil,False
org.apache.kylin.metadata.MetadataManager,org.apache.kylin.metadata.MetadataManager,False
org.apache.kylin.metadata.filter.ColumnTupleFilter,org.apache.kylin.metadata.filter.ColumnTupleFilter,True
org.apache.kylin.metadata.filter.ConstantTupleFilter,org.apache.kylin.metadata.filter.ConstantTupleFilter,False
org.apache.kylin.metadata.filter.FunctionTupleFilter,org.apache.kylin.metadata.filter.FunctionTupleFilter,True
org.apache.kylin.metadata.filter.IFilterCodeSystem,org.apache.kylin.metadata.filter.IFilterCodeSystem,True
org.apache.kylin.metadata.filter.TupleFilter,org.apache.kylin.metadata.filter.TupleFilter,True
org.apache.kylin.metadata.filter.function.Functions,org.apache.kylin.metadata.filter.function.Functions,True
org.apache.kylin.metadata.model.ExternalFilterDesc,org.apache.kylin.metadata.model.ExternalFilterDesc,True
org.apache.kylin.metadata.tuple.IEvaluatableTuple,org.apache.kylin.metadata.tuple.IEvaluatableTuple,True
org.apache.kylin.metadata.filter.UDF.MassInValueProviderFactory,org.apache.kylin.metadata.filter.UDF.MassInValueProviderFactory,True
org.apache.kylin.metadata.filter.function.Functions.FilterTableType,org.apache.kylin.metadata.filter.function.Functions.FilterTableType,True
org.apache.kylin.metadata.filter.UDF.MassInValueProvider,org.apache.kylin.metadata.filter.UDF.MassInValueProvider,True
org.apache.kylin.metadata.filter.TupleFilter.FilterOperatorEnum,org.apache.kylin.metadata.filter.TupleFilter.FilterOperatorEnum,True
org.apache.kylin.engine.mr.ByteArrayWritable,org.apache.kylin.engine.mr.ByteArrayWritable,True
org.apache.kylin.engine.mr.ByteArrayWritable.Comparator,org.apache.kylin.engine.mr.ByteArrayWritable.Comparator,True
org.apache.kylin.rest.security.AclPermissionType,org.apache.kylin.rest.security.AclPermissionType,True
org.apache.kylin.measure.hllc.Register,org.apache.kylin.measure.hllc.Register,True
org.apache.kylin.measure.hllc.RegisterType,org.apache.kylin.measure.hllc.RegisterType,True
org.apache.kylin.dict.DictionaryManager,org.apache.kylin.dict.DictionaryManager,False
org.apache.kylin.dict.DictionaryManager.DictionaryManager.(Anon_1),org.apache.kylin.dict.DictionaryManager.DictionaryManager.(Anon_1),False
org.apache.kylin.dict.DictionaryManager.DictionaryManager.(Anon_2),org.apache.kylin.dict.DictionaryManager.DictionaryManager.(Anon_2),False
org.apache.kylin.common.persistence.ResourceStore,org.apache.kylin.common.persistence.ResourceStore,False
org.apache.kylin.common.util.ClassUtil,org.apache.kylin.common.util.ClassUtil,False
org.apache.kylin.common.util.JsonUtil,org.apache.kylin.common.util.JsonUtil,False
org.apache.kylin.source.IReadableTable,org.apache.kylin.source.IReadableTable,True
org.apache.kylin.source.IReadableTable.TableSignature,org.apache.kylin.source.IReadableTable.TableSignature,True
org.apache.kylin.dict.DictionaryInfo,org.apache.kylin.dict.DictionaryInfo,True
org.apache.kylin.dict.IDictionaryBuilder,org.apache.kylin.dict.IDictionaryBuilder,True
org.apache.kylin.dict.IDictionaryValueEnumerator,org.apache.kylin.dict.IDictionaryValueEnumerator,True
org.apache.kylin.dict.AppendTrieDictionary,org.apache.kylin.dict.AppendTrieDictionary,False
org.apache.kylin.dict.DictionaryGenerator,org.apache.kylin.dict.DictionaryGenerator,True
org.apache.kylin.dict.TableColumnValueEnumerator,org.apache.kylin.dict.TableColumnValueEnumerator,True
org.apache.kylin.dict.DictionaryInfoSerializer,org.apache.kylin.dict.DictionaryInfoSerializer,True
org.apache.kylin.rest.request.SaveSqlRequest,org.apache.kylin.rest.request.SaveSqlRequest,True
org.apache.kylin.metadata.model.TableDescTest,org.apache.kylin.metadata.model.TableDescTest,True
org.apache.kylin.query.QueryDataSource,org.apache.kylin.query.QueryDataSource,True
org.apache.kylin.query.QueryDataSource.WrappedDataSource,org.apache.kylin.query.QueryDataSource.WrappedDataSource,True
org.apache.kylin.query.schema.OLAPSchemaFactory,org.apache.kylin.query.schema.OLAPSchemaFactory,False
org.apache.kylin.common.util.HBaseMetadataTestCase,org.apache.kylin.common.util.HBaseMetadataTestCase,True
org.apache.kylin.common.util.AbstractKylinTestCase,org.apache.kylin.common.util.AbstractKylinTestCase,True
org.apache.kylin.query.optrule.AggregateMultipleExpandRule,org.apache.kylin.query.optrule.AggregateMultipleExpandRule,True
org.apache.kylin.query.optrule.AggregateMultipleExpandRule.(Anon_1),org.apache.kylin.query.optrule.AggregateMultipleExpandRule.(Anon_1),True
org.apache.kylin.rest.controller.AdminControllerTest,org.apache.kylin.rest.controller.AdminControllerTest,True
org.apache.kylin.rest.service.ServiceTestBase,org.apache.kylin.rest.service.ServiceTestBase,True
org.apache.kylin.common.StorageURLTest,org.apache.kylin.common.StorageURLTest,True
org.apache.kylin.common.StorageURL,org.apache.kylin.common.StorageURL,False
org.apache.kylin.dimension.IntegerDimEncTest,org.apache.kylin.dimension.IntegerDimEncTest,True
org.apache.kylin.metadata.datatype.DataTypeSerializer,org.apache.kylin.metadata.datatype.DataTypeSerializer,False
org.apache.kylin.dimension.IntegerDimEnc,org.apache.kylin.dimension.IntegerDimEnc,True
org.apache.kylin.common.util.BytesSerializer,org.apache.kylin.common.util.BytesSerializer,True
