old,new,isSame
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\string\TopKStringPatterns.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\string\TopKStringPatterns.java,False
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyJob.java,core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyJob.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\recommender\MockRecommender.java,core\src\test\java\org\apache\mahout\cf\taste\impl\recommender\MockRecommender.java,False
core\src\main\java\org\apache\mahout\common\distance\ManhattanDistanceMeasure.java,core\src\main\java\org\apache\mahout\common\distance\ManhattanDistanceMeasure.java,False
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\integer\IntegerTupleIterator.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\integer\IntegerTupleIterator.java,False
core\src\main\java\org\apache\mahout\df\callback\MeanTreeCollector.java,core\src\main\java\org\apache\mahout\df\callback\MeanTreeCollector.java,False
examples\src\main\java\org\apache\mahout\classifier\bayes\XmlInputFormat.java,examples\src\main\java\org\apache\mahout\classifier\bayes\XmlInputFormat.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\common\CompactRunningAverage.java,core\src\main\java\org\apache\mahout\cf\taste\impl\common\CompactRunningAverage.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\model\GenericBooleanPrefDataModel.java,core\src\main\java\org\apache\mahout\cf\taste\impl\model\GenericBooleanPrefDataModel.java,False
examples\src\main\java\org\apache\mahout\clustering\fuzzykmeans\DisplayFuzzyKMeans.java,examples\src\main\java\org\apache\mahout\clustering\fuzzykmeans\DisplayFuzzyKMeans.java,False
examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\CDFactory.java,examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\CDFactory.java,False
utils\src\test\java\org\apache\mahout\utils\vectors\arff\ARFFVectorIterableTest.java,utils\src\test\java\org\apache\mahout\utils\vectors\arff\ARFFVectorIterableTest.java,False
examples\src\main\java\org\apache\mahout\cf\taste\ejb\RecommenderEJBLocalHome.java,examples\src\main\java\org\apache\mahout\cf\taste\ejb\RecommenderEJBLocalHome.java,True
examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\CDFitnessEvaluator.java,examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\CDFitnessEvaluator.java,False
core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\common\BayesWeightSummerReducer.java,core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\common\BayesWeightSummerReducer.java,False
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletDriver.java,core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletDriver.java,False
core\src\main\java\org\apache\mahout\clustering\dirichlet\models\SampledNormalModel.java,core\src\main\java\org\apache\mahout\clustering\dirichlet\models\SampledNormalModel.java,False
examples\src\main\java\org\apache\mahout\clustering\syntheticcontrol\Constants.java,examples\src\main\java\org\apache\mahout\clustering\syntheticcontrol\Constants.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\common\RunningAverage.java,core\src\main\java\org\apache\mahout\cf\taste\impl\common\RunningAverage.java,True
core\src\test\java\org\apache\mahout\matrix\VectorTest.java,math\src\test\java\org\apache\mahout\math\VectorTest.java,False
core\src\main\java\org\apache\mahout\matrix\UnboundLabelException.java,math\src\main\java\org\apache\mahout\math\UnboundLabelException.java,False
core\src\main\java\org\apache\mahout\cf\taste\similarity\PreferenceInferrer.java,core\src\main\java\org\apache\mahout\cf\taste\similarity\PreferenceInferrer.java,True
core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\common\BayesTfIdfReducer.java,core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\common\BayesTfIdfReducer.java,False
examples\src\main\java\org\apache\mahout\cf\taste\example\TasteOptionParser.java,examples\src\main\java\org\apache\mahout\cf\taste\example\TasteOptionParser.java,False
core\src\test\java\org\apache\mahout\matrix\MatrixTest.java,math\src\test\java\org\apache\mahout\math\MatrixTest.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\ItemUserAverageRecommender.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\ItemUserAverageRecommender.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\eval\RMSRecommenderEvaluatorTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\eval\RMSRecommenderEvaluatorTest.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\eval\AverageAbsoluteDifferenceRecommenderEvaluator.java,core\src\main\java\org\apache\mahout\cf\taste\impl\eval\AverageAbsoluteDifferenceRecommenderEvaluator.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\transforms\CaseAmplification.java,core\src\main\java\org\apache\mahout\cf\taste\impl\transforms\CaseAmplification.java,False
core\src\test\java\org\apache\mahout\df\mapred\partial\PartialBuilderTest.java,core\src\test\java\org\apache\mahout\df\mapred\partial\PartialBuilderTest.java,False
core\src\main\java\org\apache\mahout\ga\watchmaker\STFitnessEvaluator.java,core\src\main\java\org\apache\mahout\ga\watchmaker\STFitnessEvaluator.java,False
examples\src\main\java\org\apache\mahout\cf\taste\ejb\RecommenderEJBBean.java,examples\src\main\java\org\apache\mahout\cf\taste\ejb\RecommenderEJBBean.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\common\FullRunningAverage.java,core\src\main\java\org\apache\mahout\cf\taste\impl\common\FullRunningAverage.java,False
core\src\main\java\org\apache\mahout\df\mapred\partial\PartialBuilder.java,core\src\main\java\org\apache\mahout\df\mapred\partial\PartialBuilder.java,False
examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\tool\DescriptionUtils.java,examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\tool\DescriptionUtils.java,False
core\src\main\java\org\apache\mahout\df\mapreduce\inmem\InMemInputFormat.java,core\src\main\java\org\apache\mahout\df\mapred\inmem\InMemInputFormat.java,False
examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\CDCrossover.java,examples\src\main\java\org\apache\mahout\ga\watchmaker\cd\CDCrossover.java,False
core\src\main\java\org\apache\mahout\df\data\conditions\Lesser.java,core\src\main\java\org\apache\mahout\df\data\conditions\Lesser.java,True
core\src\main\java\org\apache\mahout\common\cache\LFUCache.java,core\src\main\java\org\apache\mahout\common\cache\LFUCache.java,False
core\src\test\java\org\apache\mahout\df\mapreduce\inmem\InMemInputSplitTest.java,core\src\test\java\org\apache\mahout\df\mapreduce\inmem\InMemInputSplitTest.java,False
core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\bayes\BayesClassifierReducer.java,core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\bayes\BayesClassifierReducer.java,False
core\src\main\java\org\apache\mahout\df\mapreduce\Builder.java,core\src\main\java\org\apache\mahout\df\mapred\Builder.java,False
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingDataModel.java,examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingDataModel.java,False
core\src\main\java\org\apache\mahout\common\HadoopUtil.java,core\src\main\java\org\apache\mahout\common\HadoopUtil.java,False
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\PFPGrowth.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\PFPGrowth.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\GenericItemBasedRecommender.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\GenericItemBasedRecommender.java,False
utils\src\test\java\org\apache\mahout\utils\vectors\RandomVectorIterable.java,utils\src\test\java\org\apache\mahout\utils\vectors\RandomVectorIterable.java,False
core\src\test\java\org\apache\mahout\df\mapred\partial\Step2MapperTest.java,core\src\test\java\org\apache\mahout\df\mapred\partial\Step2MapperTest.java,False
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\ParallelFPGrowthReducer.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\ParallelFPGrowthReducer.java,False
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\ContextWriteOutputCollector.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\ContextWriteOutputCollector.java,True
core\src\main\java\org\apache\mahout\classifier\bayes\io\SequenceFileModelReader.java,core\src\main\java\org\apache\mahout\classifier\bayes\io\SequenceFileModelReader.java,False
core\src\main\java\org\apache\mahout\common\StringTuple.java,core\src\main\java\org\apache\mahout\common\StringTuple.java,False
core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\cbayes\CBayesThetaNormalizerMapper.java,core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\cbayes\CBayesThetaNormalizerMapper.java,False
core\src\test\java\org\apache\mahout\df\mapreduce\inmem\InMemInputFormatTest.java,core\src\test\java\org\apache\mahout\df\mapred\inmem\InMemInputFormatTest.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\TasteTestCase.java,core\src\test\java\org\apache\mahout\cf\taste\impl\TasteTestCase.java,False
core\src\main\java\org\apache\mahout\clustering\dirichlet\models\AsymmetricSampledNormalDistribution.java,core\src\main\java\org\apache\mahout\clustering\dirichlet\models\AsymmetricSampledNormalDistribution.java,False
core\src\main\java\org\apache\mahout\cf\taste\recommender\Rescorer.java,core\src\main\java\org\apache\mahout\cf\taste\recommender\Rescorer.java,True
core\src\test\java\org\apache\mahout\df\builder\DefaultTreeBuilderTest.java,core\src\test\java\org\apache\mahout\df\builder\DefaultTreeBuilderTest.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\eval\GenericRecommenderIRStatsEvaluator.java,core\src\main\java\org\apache\mahout\cf\taste\impl\eval\GenericRecommenderIRStatsEvaluator.java,False
core\src\main\java\org\apache\mahout\classifier\bayes\exceptions\InvalidDatastoreException.java,core\src\main\java\org\apache\mahout\classifier\bayes\exceptions\InvalidDatastoreException.java,True
examples\src\main\java\org\apache\mahout\ga\watchmaker\travellingsalesman\EuropeanDistanceLookup.java,examples\src\main\java\org\apache\mahout\ga\watchmaker\travellingsalesman\EuropeanDistanceLookup.java,False
core\src\main\java\org\apache\mahout\matrix\DenseVector.java,math\src\main\java\org\apache\mahout\math\DenseVector.java,False
core\src\test\java\org\apache\mahout\cf\taste\common\CommonTest.java,core\src\test\java\org\apache\mahout\cf\taste\common\CommonTest.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\model\PlusAnonymousUserDataModel.java,core\src\main\java\org\apache\mahout\cf\taste\impl\model\PlusAnonymousUserDataModel.java,False
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansInfo.java,core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansInfo.java,False
utils\src\main\java\org\apache\mahout\utils\vectors\lucene\VectorMapper.java,utils\src\main\java\org\apache\mahout\utils\vectors\lucene\VectorMapper.java,False
core\src\main\java\org\apache\mahout\common\parameters\StringParameter.java,core\src\main\java\org\apache\mahout\common\parameters\StringParameter.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\common\AbstractLongPrimitiveIterator.java,core\src\main\java\org\apache\mahout\cf\taste\impl\common\AbstractLongPrimitiveIterator.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\SimilarUser.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\SimilarUser.java,False
core\src\main\java\org\apache\mahout\matrix\TimesFunction.java,math\src\main\java\org\apache\mahout\math\function\TimesFunction.java,False
core\src\main\java\org\apache\mahout\matrix\BinaryFunction.java,math\src\main\java\org\apache\mahout\math\function\BinaryFunction.java,False
examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\utils\RandomRule.java,examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\utils\RandomRule.java,True
core\src\test\java\org\apache\mahout\df\mapred\partial\PartialSequentialBuilder.java,core\src\test\java\org\apache\mahout\df\mapreduce\partial\PartialSequentialBuilder.java,False
core\src\test\java\org\apache\mahout\clustering\canopy\TestCanopyCreation.java,core\src\test\java\org\apache\mahout\clustering\canopy\TestCanopyCreation.java,False
utils\src\main\java\org\apache\mahout\utils\clustering\ClusterDumper.java,utils\src\main\java\org\apache\mahout\utils\clustering\ClusterDumper.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\slopeone\jdbc\MySQLJDBCDiffStorage.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\slopeone\jdbc\MySQLJDBCDiffStorage.java,True
core\src\test\java\org\apache\mahout\cf\taste\impl\neighborhood\NearestNNeighborhoodTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\neighborhood\NearestNNeighborhoodTest.java,True
core\src\main\java\org\apache\mahout\cf\taste\transforms\SimilarityTransform.java,core\src\main\java\org\apache\mahout\cf\taste\transforms\SimilarityTransform.java,True
core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\common\BayesWeightSummerOutputFormat.java,core\src\main\java\org\apache\mahout\classifier\bayes\mapreduce\common\BayesWeightSummerOutputFormat.java,False
core\src\main\java\org\apache\mahout\df\split\DefaultIgSplit.java,core\src\main\java\org\apache\mahout\df\split\DefaultIgSplit.java,False
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\fpgrowth\FPTreeDepthCache.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\fpgrowth\FPTreeDepthCache.java,False
