old,new,isSame
org.apache.manifoldcf.core.fuzzyml.XMLFileParsingContext,org.apache.manifoldcf.core.fuzzyml.XMLFileParsingContext,True
org.apache.manifoldcf.core.fuzzyml.XMLOutputStreamParsingContext,org.apache.manifoldcf.core.fuzzyml.XMLOutputStreamParsingContext,True
org.apache.manifoldcf.core.fuzzyml.XMLFuzzyHierarchicalParseState,org.apache.manifoldcf.core.fuzzyml.XMLFuzzyHierarchicalParseState,True
org.apache.manifoldcf.core.interfaces.ManifoldCFException,org.apache.manifoldcf.core.interfaces.ManifoldCFException,True
org.apache.manifoldcf.crawler.connectors.alfresco.Constants,org.apache.manifoldcf.crawler.connectors.alfresco.Constants,True
org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender,org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender,False
org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender.BackgroundHTTPThread,org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender.BackgroundHTTPThread,False
org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender.BackgroundInputStream,org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender.BackgroundInputStream,False
org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender.MessageRequestEntity,org.apache.manifoldcf.crawler.connectors.meridio.CommonsHTTPSender.MessageRequestEntity,False
org.apache.manifoldcf.core.common.XThreadInputStream,org.apache.manifoldcf.core.common.XThreadInputStream,True
org.apache.manifoldcf.crawler.connectors.meridio.meridiowrapper.MeridioWrapper,org.apache.manifoldcf.crawler.connectors.meridio.meridiowrapper.MeridioWrapper,False
org.apache.manifoldcf.crawler.connectors.webcrawler.FormItem,org.apache.manifoldcf.crawler.connectors.webcrawler.FormItem,True
org.apache.manifoldcf.crawler.connectors.webcrawler.FormDataElement,org.apache.manifoldcf.crawler.connectors.webcrawler.FormDataElement,True
org.apache.manifoldcf.crawler.system.ManifoldCF,org.apache.manifoldcf.crawler.system.ManifoldCF,False
org.apache.manifoldcf.crawler.tests.ConnectorBaseUIDerby,org.apache.manifoldcf.crawler.tests.ConnectorBaseUIDerby,True
org.apache.manifoldcf.core.interfaces.ConfigurationNode,org.apache.manifoldcf.core.interfaces.ConfigurationNode,True
org.apache.manifoldcf.core.interfaces.IHierarchyParent,org.apache.manifoldcf.core.interfaces.IHierarchyParent,True
org.apache.manifoldcf.crawler.jobs.DeleteDependency,org.apache.manifoldcf.crawler.jobs.DeleteDependency,True
org.apache.manifoldcf.ui.util.Formatter,org.apache.manifoldcf.ui.util.Formatter,True
org.apache.manifoldcf.core.tests.HTMLTester,org.apache.manifoldcf.core.tests.HTMLTester,True
org.apache.manifoldcf.core.tests.HTMLTester.Button,org.apache.manifoldcf.core.tests.HTMLTester.Button,True
org.apache.manifoldcf.core.tests.HTMLTester.Form,org.apache.manifoldcf.core.tests.HTMLTester.Form,True
org.apache.manifoldcf.core.tests.HTMLTester.StringDescription,org.apache.manifoldcf.core.tests.HTMLTester.StringDescription,True
org.apache.manifoldcf.core.tests.HTMLTester.Link,org.apache.manifoldcf.core.tests.HTMLTester.Link,True
org.apache.manifoldcf.core.tests.HTMLTester.Loop,org.apache.manifoldcf.core.tests.HTMLTester.Loop,True
org.apache.manifoldcf.core.tests.HTMLTester.Radiobutton,org.apache.manifoldcf.core.tests.HTMLTester.Radiobutton,True
org.apache.manifoldcf.core.tests.HTMLTester.Selectbox,org.apache.manifoldcf.core.tests.HTMLTester.Selectbox,True
org.apache.manifoldcf.core.tests.HTMLTester.Textarea,org.apache.manifoldcf.core.tests.HTMLTester.Textarea,True
org.apache.manifoldcf.core.tests.HTMLTester.Window,org.apache.manifoldcf.core.tests.HTMLTester.Window,True
org.apache.manifoldcf.crawler.connectors.sharepoint.IFileStream,org.apache.manifoldcf.crawler.connectors.sharepoint.IFileStream,True
org.apache.manifoldcf.core.tests.Base,org.apache.manifoldcf.core.tests.Base,True
org.apache.manifoldcf.core.system.ManifoldCF,org.apache.manifoldcf.core.system.ManifoldCF,True
org.apache.manifoldcf.core.interfaces.IThreadContext,org.apache.manifoldcf.core.interfaces.IThreadContext,True
org.apache.manifoldcf.core.interfaces.ThreadContextFactory,org.apache.manifoldcf.core.interfaces.ThreadContextFactory,True
org.apache.manifoldcf.crawler.system.ExpireStufferThread,org.apache.manifoldcf.crawler.system.ExpireStufferThread,True
org.apache.manifoldcf.crawler.system.Logging,org.apache.manifoldcf.crawler.system.Logging,True
org.apache.manifoldcf.crawler.system.DocumentCleanupQueue,org.apache.manifoldcf.crawler.system.DocumentCleanupQueue,True
org.apache.manifoldcf.crawler.system.WorkerResetManager,org.apache.manifoldcf.crawler.system.WorkerResetManager,True
org.apache.manifoldcf.core.interfaces.IDBInterface,org.apache.manifoldcf.core.interfaces.IDBInterface,True
org.apache.manifoldcf.crawler.interfaces.DocumentDescription,org.apache.manifoldcf.crawler.interfaces.DocumentDescription,True
org.apache.manifoldcf.crawler.system.CleanupQueuedDocument,org.apache.manifoldcf.crawler.system.CleanupQueuedDocument,True
org.apache.manifoldcf.crawler.interfaces.DocumentSetAndFlags,org.apache.manifoldcf.crawler.interfaces.DocumentSetAndFlags,True
org.apache.manifoldcf.crawler.interfaces.IJobDescription,org.apache.manifoldcf.crawler.interfaces.IJobDescription,True
org.apache.manifoldcf.crawler.interfaces.IJobManager,org.apache.manifoldcf.crawler.interfaces.IJobManager,False
org.apache.manifoldcf.crawler.system.DocumentCleanupSet,org.apache.manifoldcf.crawler.system.DocumentCleanupSet,True
org.apache.manifoldcf.crawler.system.ResetManager,org.apache.manifoldcf.crawler.system.ResetManager,True
org.apache.manifoldcf.crawler.interfaces.JobManagerFactory,org.apache.manifoldcf.crawler.interfaces.JobManagerFactory,True
