old,new,isSame
org.apache.nutch.protocol.ftp.FtpExceptionCanNotHaveDataConnection,org.apache.nutch.protocol.ftp.FtpExceptionCanNotHaveDataConnection,True
org.apache.nutch.protocol.ftp.FtpException,org.apache.nutch.protocol.ftp.FtpException,True
org.apache.nutch.indexer.subcollection.SubcollectionIndexingFilter,org.apache.nutch.indexer.subcollection.SubcollectionIndexingFilter,False
org.apache.nutch.parse.Parse,org.apache.nutch.parse.Parse,True
org.apache.nutch.util.NutchConfiguration,org.apache.nutch.util.NutchConfiguration,False
org.apache.nutch.indexer.IndexingFilter,org.apache.nutch.indexer.IndexingFilter,False
org.apache.nutch.indexer.IndexingException,org.apache.nutch.indexer.IndexingException,True
org.apache.nutch.indexer.NutchDocument,org.apache.nutch.indexer.NutchDocument,True
org.apache.nutch.collection.CollectionManager,org.apache.nutch.collection.CollectionManager,True
org.apache.nutch.crawl.CrawlDatum,org.apache.nutch.crawl.CrawlDatum,True
org.apache.nutch.crawl.Inlinks,org.apache.nutch.crawl.Inlinks,True
org.apache.nutch.crawl.TestGenerator,org.apache.nutch.crawl.TestGenerator,True
org.apache.nutch.crawl.TestGenerator.ScoreComparator,org.apache.nutch.crawl.TestGenerator.ScoreComparator,True
org.apache.nutch.crawl.CrawlDBTestUtil.URLCrawlDatum,org.apache.nutch.crawl.CrawlDBTestUtil.URLCrawlDatum,True
org.apache.nutch.crawl.CrawlDBTestUtil,org.apache.nutch.crawl.CrawlDBTestUtil,True
org.apache.nutch.crawl.Generator,org.apache.nutch.crawl.Generator,True
org.apache.nutch.indexer.IndexerMapReduce,org.apache.nutch.indexer.IndexerMapReduce,True
org.apache.nutch.crawl.CrawlDb,org.apache.nutch.crawl.CrawlDb,True
org.apache.nutch.crawl.LinkDb,org.apache.nutch.crawl.LinkDb,True
org.apache.nutch.crawl.NutchWritable,org.apache.nutch.crawl.NutchWritable,False
org.apache.nutch.metadata.Metadata,org.apache.nutch.metadata.Metadata,True
org.apache.nutch.metadata.Nutch,org.apache.nutch.metadata.Nutch,True
org.apache.nutch.parse.ParseData,org.apache.nutch.parse.ParseData,True
org.apache.nutch.parse.ParseImpl,org.apache.nutch.parse.ParseImpl,True
org.apache.nutch.parse.ParseText,org.apache.nutch.parse.ParseText,True
org.apache.nutch.scoring.ScoringFilterException,org.apache.nutch.scoring.ScoringFilterException,True
org.apache.nutch.scoring.ScoringFilters,org.apache.nutch.scoring.ScoringFilters,True
org.apache.nutch.indexer.IndexingFilters,org.apache.nutch.indexer.IndexingFilters,False
org.apache.nutch.parse.ParseStatus,org.apache.nutch.parse.ParseStatus,True
org.apache.nutch.indexer.IndexerOutputFormat,org.apache.nutch.indexer.IndexerOutputFormat,True
org.apache.nutch.tika.TestRTFParser,org.apache.nutch.tika.TestRTFParser,True
org.apache.nutch.metadata.DublinCore,org.apache.nutch.metadata.DublinCore,True
org.apache.nutch.parse.ParseUtil,org.apache.nutch.parse.ParseUtil,True
org.apache.nutch.parse.ParseException,org.apache.nutch.parse.ParseException,True
org.apache.nutch.protocol.Content,org.apache.nutch.protocol.Content,True
org.apache.nutch.protocol.Protocol,org.apache.nutch.protocol.Protocol,True
org.apache.nutch.protocol.ProtocolException,org.apache.nutch.protocol.ProtocolException,True
org.apache.nutch.protocol.ProtocolFactory,org.apache.nutch.protocol.ProtocolFactory,True
org.apache.nutch.protocol.ProtocolOutput,org.apache.nutch.protocol.ProtocolOutput,True
org.apache.nutch.parse.ParseResult,org.apache.nutch.parse.ParseResult,True
org.apache.nutch.tools.DmozParser,org.apache.nutch.tools.DmozParser,True
org.apache.nutch.tools.DmozParser.RDFProcessor,org.apache.nutch.tools.DmozParser.RDFProcessor,True
org.apache.nutch.tools.DmozParser.XMLCharFilter,org.apache.nutch.tools.DmozParser.XMLCharFilter,True
org.apache.nutch.util.LogUtil,org.apache.nutch.util.LogUtil,True
org.apache.nutch.indexer.solr.SolrWriter,org.apache.nutch.indexer.solr.SolrWriter,False
org.apache.nutch.indexer.NutchField,org.apache.nutch.indexer.NutchField,True
org.apache.nutch.indexer.NutchIndexWriter,org.apache.nutch.indexer.NutchIndexWriter,True
org.apache.nutch.indexer.solr.SolrMappingReader,org.apache.nutch.indexer.solr.SolrMappingReader,False
org.apache.nutch.indexer.solr.SolrConstants,org.apache.nutch.indexer.solr.SolrConstants,False
org.apache.nutch.protocol.TestProtocolFactory,org.apache.nutch.protocol.TestProtocolFactory,True
org.apache.nutch.util.ObjectCache,org.apache.nutch.util.ObjectCache,True
org.apache.nutch.protocol.ProtocolNotFound,org.apache.nutch.protocol.ProtocolNotFound,True
org.creativecommons.nutch.CCIndexingFilter,org.creativecommons.nutch.CCIndexingFilter,False
org.apache.nutch.metadata.CreativeCommons,org.apache.nutch.metadata.CreativeCommons,True
org.apache.nutch.scoring.urlmeta.URLMetaScoringFilter,org.apache.nutch.scoring.urlmeta.URLMetaScoringFilter,True
org.apache.nutch.scoring.ScoringFilter,org.apache.nutch.scoring.ScoringFilter,True
