old,new,isSame
src\java\org\apache\nutch\tools\Benchmark.java,src\java\org\apache\nutch\tools\Benchmark.java,False
src\java\org\apache\nutch\metadata\Nutch.java,nutchgora\src\java\org\apache\nutch\metadata\Nutch.java,False
src\test\org\apache\nutch\plugin\HelloWorldExtension.java,nutchgora\src\test\org\apache\nutch\plugin\HelloWorldExtension.java,True
src\plugin\parse-swf\src\test\org\apache\nutch\parse\swf\TestSWFParser.java,nutchgora\src\plugin\parse-swf\src\test\org\apache\nutch\parse\swf\TestSWFParser.java,False
src\test\org\apache\nutch\parse\TestParserFactory.java,nutchgora\src\test\org\apache\nutch\parse\TestParserFactory.java,False
src\java\org\apache\nutch\tools\DmozParser.java,src\java\org\apache\nutch\tools\DmozParser.java,False
src\java\org\apache\nutch\parse\ParseCallable.java,nutchgora\src\java\org\apache\nutch\parse\ParseCallable.java,False
src\plugin\urlnormalizer-pass\src\test\org\apache\nutch\net\urlnormalizer\pass\TestPassURLNormalizer.java,nutchgora\src\plugin\urlnormalizer-pass\src\test\org\apache\nutch\net\urlnormalizer\pass\TestPassURLNormalizer.java,False
src\plugin\protocol-httpclient\src\java\org\apache\nutch\protocol\httpclient\HttpResponse.java,src\plugin\protocol-http\src\java\org\apache\nutch\protocol\http\HttpResponse.java,False
src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\FtpExceptionBadSystResponse.java,src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\FtpExceptionBadSystResponse.java,True
src\plugin\lib-regex-filter\src\java\org\apache\nutch\urlfilter\api\RegexRule.java,src\plugin\lib-regex-filter\src\java\org\apache\nutch\urlfilter\api\RegexRule.java,True
src\plugin\lib-regex-filter\src\test\org\apache\nutch\urlfilter\api\RegexURLFilterBaseTest.java,src\plugin\lib-regex-filter\src\test\org\apache\nutch\urlfilter\api\RegexURLFilterBaseTest.java,False
src\java\org\apache\nutch\protocol\RobotRulesParser.java,src\plugin\lib-http\src\java\org\apache\nutch\protocol\http\api\RobotRulesParser.java,False
src\java\org\apache\nutch\plugin\Plugin.java,nutchgora\src\java\org\apache\nutch\plugin\Plugin.java,True
src\java\org\apache\nutch\parse\ParseException.java,src\java\org\apache\nutch\parse\ParseException.java,True
src\java\org\apache\nutch\plugin\PluginRepository.java,src\java\org\apache\nutch\plugin\PluginRepository.java,False
src\java\org\apache\nutch\parse\ParseUtil.java,src\java\org\apache\nutch\parse\ParseUtil.java,False
src\plugin\urlfilter-automaton\src\java\org\apache\nutch\urlfilter\automaton\AutomatonURLFilter.java,src\plugin\urlfilter-automaton\src\java\org\apache\nutch\urlfilter\automaton\AutomatonURLFilter.java,True
src\test\org\apache\nutch\crawl\TestInjector.java,src\test\org\apache\nutch\crawl\TestInjector.java,False
src\test\org\apache\nutch\tools\proxy\FakeHandler.java,src\java\org\apache\nutch\tools\proxy\FakeHandler.java,False
src\plugin\index-anchor\src\java\org\apache\nutch\indexer\anchor\AnchorIndexingFilter.java,src\plugin\index-anchor\src\java\org\apache\nutch\indexer\anchor\AnchorIndexingFilter.java,False
src\java\org\apache\nutch\parse\ParsePluginList.java,src\java\org\apache\nutch\parse\ParsePluginList.java,False
src\java\org\apache\nutch\plugin\PluginDescriptor.java,src\java\org\apache\nutch\plugin\PluginDescriptor.java,False
src\java\org\apache\nutch\util\domain\DomainStatistics.java,src\java\org\apache\nutch\util\domain\DomainStatistics.java,False
src\plugin\urlnormalizer-basic\src\java\org\apache\nutch\net\urlnormalizer\basic\BasicURLNormalizer.java,nutchgora\src\plugin\urlnormalizer-basic\src\java\org\apache\nutch\net\urlnormalizer\basic\BasicURLNormalizer.java,False
src\java\org\apache\nutch\metadata\HttpHeaders.java,nutchgora\src\java\org\apache\nutch\metadata\HttpHeaders.java,False
src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\PrintCommandListener.java,src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\PrintCommandListener.java,True
src\test\org\apache\nutch\tools\proxy\LogDebugHandler.java,nutchgora\src\java\org\apache\nutch\tools\proxy\LogDebugHandler.java,True
src\test\org\apache\nutch\crawl\TestGenerator.java,nutchgora\src\test\org\apache\nutch\crawl\TestGenerator.java,False
src\java\org\apache\nutch\parse\OutlinkExtractor.java,src\java\org\apache\nutch\parse\OutlinkExtractor.java,True
src\plugin\protocol-httpclient\src\java\org\apache\nutch\protocol\httpclient\HttpAuthenticationException.java,nutchgora\src\plugin\protocol-httpclient\src\java\org\apache\nutch\protocol\httpclient\HttpAuthenticationException.java,True
src\test\org\apache\nutch\util\TestGZIPUtils.java,src\test\org\apache\nutch\util\TestGZIPUtils.java,False
src\plugin\microformats-reltag\src\java\org\apache\nutch\microformats\reltag\RelTagIndexingFilter.java,src\plugin\microformats-reltag\src\java\org\apache\nutch\microformats\reltag\RelTagIndexingFilter.java,False
src\plugin\lib-http\src\test\org\apache\nutch\protocol\http\api\TestRobotRulesParser.java,src\plugin\lib-http\src\test\org\apache\nutch\protocol\http\api\TestRobotRulesParser.java,False
src\java\org\apache\nutch\indexer\IndexerOutputFormat.java,nutchgora\src\java\org\apache\nutch\indexer\IndexerOutputFormat.java,False
src\java\org\apache\nutch\indexer\IndexingFilters.java,nutchgora\src\java\org\apache\nutch\indexer\IndexingFilters.java,False
src\plugin\tld\src\java\org\apache\nutch\indexer\tld\TLDIndexingFilter.java,nutchgora\src\plugin\tld\src\java\org\apache\nutch\indexer\tld\TLDIndexingFilter.java,False
src\java\org\apache\nutch\crawl\DefaultFetchSchedule.java,src\java\org\apache\nutch\crawl\DefaultFetchSchedule.java,False
src\test\org\apache\nutch\protocol\TestContent.java,nutchgora\src\test\org\apache\nutch\protocol\TestContent.java,False
src\java\org\apache\nutch\parse\ParserFactory.java,nutchgora\src\java\org\apache\nutch\parse\ParserFactory.java,False
