old,new,isSame
opennlp-tools\src\main\java\opennlp\tools\parser\treeinsert\CheckContextGenerator.java,opennlp-tools\src\main\java\opennlp\tools\parser\chunking\CheckContextGenerator.java,False
opennlp-tools\src\test\java\opennlp\tools\tokenize\TokenSampleTest.java,opennlp-tools\src\test\java\opennlp\tools\tokenize\TokenSampleTest.java,False
opennlp-tools\src\test\java\opennlp\tools\ml\PrepAttachDataUtil.java,opennlp-tools\src\test\java\opennlp\tools\ml\PrepAttachDataUtil.java,False
opennlp-tools\src\test\java\opennlp\tools\ml\maxent\quasinewton\QNTrainerTest.java,opennlp-tools\src\test\java\opennlp\tools\ml\maxent\quasinewton\QNTrainerTest.java,False
opennlp-tools\src\test\java\opennlp\tools\eval\EvalUtil.java,opennlp-tools\src\test\java\opennlp\tools\eval\EvalUtil.java,False
opennlp-tools\src\main\java\opennlp\tools\dictionary\package-info.java,opennlp-tools\src\main\java\opennlp\tools\tokenize\package-info.java,False
opennlp-tools\src\main\java\opennlp\tools\parser\HeadRules.java,opennlp-tools\src\main\java\opennlp\tools\parser\HeadRules.java,True
opennlp-tools\src\main\java\opennlp\tools\postag\POSTaggerME.java,opennlp-tools\src\main\java\opennlp\tools\postag\POSTaggerME.java,False
opennlp-tools\src\main\java\opennlp\tools\util\ext\ExtensionNotLoadedException.java,opennlp-tools\src\main\java\opennlp\tools\util\ext\ExtensionNotLoadedException.java,True
opennlp-tools\src\test\java\opennlp\tools\postag\POSSampleEventStreamTest.java,opennlp-tools\src\test\java\opennlp\tools\postag\POSSampleEventStreamTest.java,False
opennlp-tools\src\main\java\opennlp\tools\util\ext\OSGiExtensionLoader.java,opennlp-tools\src\main\java\opennlp\tools\util\ext\OSGiExtensionLoader.java,True
opennlp-tools\src\main\java\opennlp\tools\dictionary\package-info.java,opennlp-tools\src\main\java\opennlp\tools\postag\package-info.java,False
opennlp-uima\src\main\java\opennlp\uima\normalizer\StringDictionary.java,opennlp-uima\src\main\java\opennlp\uima\normalizer\StringDictionary.java,False
opennlp-tools\src\main\java\opennlp\tools\util\FilterObjectStream.java,opennlp-tools\src\main\java\opennlp\tools\util\FilterObjectStream.java,False
opennlp-uima\src\main\java\opennlp\uima\sentdetect\SentenceDetector.java,opennlp-tools\src\main\java\opennlp\tools\sentdetect\SentenceDetector.java,False
opennlp-uima\src\main\java\opennlp\uima\util\AnnotatorUtil.java,opennlp-uima\src\main\java\opennlp\uima\util\AnnotatorUtil.java,False
opennlp-tools\src\main\java\opennlp\tools\cmdline\sentdetect\SentenceDetectorEvaluatorTool.java,opennlp-tools\src\main\java\opennlp\tools\cmdline\sentdetect\SentenceDetectorEvaluatorTool.java,True
opennlp-tools\src\test\java\opennlp\tools\postag\POSDictionaryTest.java,opennlp-tools\src\test\java\opennlp\tools\postag\POSDictionaryTest.java,False
opennlp-tools\src\main\java\opennlp\tools\cmdline\namefind\TokenNameFinderDetailedFMeasureListener.java,opennlp-tools\src\main\java\opennlp\tools\cmdline\namefind\TokenNameFinderDetailedFMeasureListener.java,True
opennlp-tools\src\test\java\opennlp\tools\parser\chunking\ParserTest.java,opennlp-tools\src\test\java\opennlp\tools\parser\treeinsert\ParserTest.java,False
opennlp-uima\src\main\java\opennlp\uima\namefind\AbstractNameFinder.java,opennlp-uima\src\main\java\opennlp\uima\namefind\AbstractNameFinder.java,False
opennlp-tools\src\main\java\opennlp\tools\parser\ParserCrossValidator.java,opennlp-tools\src\main\java\opennlp\tools\parser\ParserCrossValidator.java,True
opennlp-tools\src\test\java\opennlp\tools\util\eval\CrossValidationPartitionerTest.java,opennlp-tools\src\test\java\opennlp\tools\util\eval\CrossValidationPartitionerTest.java,False
