old,new,isSame
parquet.thrift.ThriftSchemaConverter,parquet.thrift.ThriftSchemaConverter,False
parquet.schema.ConversionPatterns,parquet.schema.ConversionPatterns,False
parquet.schema.GroupType,parquet.schema.GroupType,False
parquet.schema.MessageType,parquet.schema.MessageType,True
parquet.schema.PrimitiveType,parquet.schema.PrimitiveType,False
parquet.schema.Type,parquet.schema.Type,False
parquet.thrift.struct.ThriftField,parquet.thrift.struct.ThriftField,True
parquet.thrift.struct.ThriftType,parquet.thrift.struct.ThriftType,True
parquet.thrift.struct.ThriftField.Requirement,parquet.thrift.struct.ThriftField.Requirement,True
parquet.thrift.struct.ThriftType.BoolType,parquet.thrift.struct.ThriftType.BoolType,True
parquet.thrift.struct.ThriftType.ByteType,parquet.thrift.struct.ThriftType.ByteType,True
parquet.thrift.struct.ThriftType.DoubleType,parquet.thrift.struct.ThriftType.DoubleType,True
parquet.thrift.struct.ThriftType.EnumType,parquet.thrift.struct.ThriftType.EnumType,True
parquet.thrift.struct.ThriftType.EnumValue,parquet.thrift.struct.ThriftType.EnumValue,True
parquet.thrift.struct.ThriftType.I16Type,parquet.thrift.struct.ThriftType.I16Type,True
parquet.thrift.struct.ThriftType.I32Type,parquet.thrift.struct.ThriftType.I32Type,True
parquet.thrift.struct.ThriftType.I64Type,parquet.thrift.struct.ThriftType.I64Type,True
parquet.thrift.struct.ThriftType.StringType,parquet.thrift.struct.ThriftType.StringType,True
parquet.thrift.struct.ThriftType.StructType,parquet.thrift.struct.ThriftType.StructType,True
parquet.thrift.struct.ThriftTypeID,parquet.thrift.struct.ThriftTypeID,True
parquet.schema.Type.Repetition,parquet.schema.Type.Repetition,False
parquet.schema.PrimitiveType.PrimitiveTypeName,parquet.schema.PrimitiveType.PrimitiveTypeName,False
parquet.schema.OriginalType,parquet.schema.OriginalType,True
parquet.thrift.struct.ThriftType.MapType,parquet.thrift.struct.ThriftType.MapType,True
parquet.thrift.struct.ThriftType.SetType,parquet.thrift.struct.ThriftType.SetType,True
parquet.thrift.struct.ThriftType.ListType,parquet.thrift.struct.ThriftType.ListType,True
parquet.pig.summary.Summary,parquet.pig.summary.Summary,True
parquet.pig.summary.Summary.Final,parquet.pig.summary.Summary.Final,True
parquet.pig.summary.Summary.Initial,parquet.pig.summary.Summary.Initial,True
parquet.pig.summary.Summary.Intermediate,parquet.pig.summary.Summary.Intermediate,True
parquet.pig.summary.Summary.JSONTuple,parquet.pig.summary.Summary.JSONTuple,True
parquet.pig.summary.TupleSummaryData,parquet.pig.summary.TupleSummaryData,True
parquet.pig.summary.SummaryData,parquet.pig.summary.SummaryData,True
parquet.column.values.bitpacking.ByteBasedBitPackingEncoder,parquet.column.values.bitpacking.ByteBasedBitPackingEncoder,True
parquet.Log,parquet.Log,True
parquet.bytes.BytesInput,parquet.bytes.BytesInput,True
parquet.bytes.BytesUtils,parquet.bytes.BytesUtils,True
parquet.column.values.bitpacking.BytePacker,parquet.column.values.bitpacking.BytePacker,True
parquet.column.values.bitpacking.Packer,parquet.column.values.bitpacking.Packer,True
parquet.thrift.struct.JSON,parquet.thrift.struct.JSON,True
parquet.avro.AvroRecordMaterializer,parquet.avro.AvroRecordMaterializer,True
parquet.avro.AvroRecordMaterializer.T,parquet.avro.AvroRecordMaterializer.T,True
parquet.io.api.GroupConverter,parquet.io.api.GroupConverter,True
parquet.io.api.RecordMaterializer,parquet.io.api.RecordMaterializer,True
parquet.avro.AvroIndexedRecordConverter,parquet.avro.AvroIndexedRecordConverter,True
parquet.schema.TypeConverter,parquet.schema.TypeConverter,True
parquet.schema.TypeConverter.T,parquet.schema.TypeConverter.T,True
parquet.hive.write.DataWritableWriter,parquet.hive.write.DataWritableWriter,False
parquet.hive.writable.BigDecimalWritable,parquet.hive.writable.BigDecimalWritable,True
parquet.hive.writable.BinaryWritable,parquet.hive.writable.BinaryWritable,True
parquet.io.ParquetEncodingException,parquet.io.ParquetEncodingException,True
parquet.io.api.Binary,parquet.io.api.Binary,True
parquet.io.api.RecordConsumer,parquet.io.api.RecordConsumer,True
parquet.pig.ParquetLoader,parquet.pig.ParquetLoader,False
