old,new,isSame
parquet-thrift\src\main\java\parquet\thrift\ThriftSchemaConverter.java,parquet-thrift\src\main\java\parquet\thrift\ThriftSchemaConverter.java,False
parquet-pig\src\main\java\parquet\pig\summary\Summary.java,parquet-pig\src\main\java\parquet\pig\summary\Summary.java,True
parquet-encoding\src\main\java\parquet\column\values\bitpacking\ByteBasedBitPackingEncoder.java,parquet-encoding\src\main\java\parquet\column\values\bitpacking\ByteBasedBitPackingEncoder.java,True
parquet-thrift\src\main\java\parquet\thrift\struct\ThriftField.java,parquet-thrift\src\main\java\parquet\thrift\struct\ThriftField.java,True
parquet-avro\src\main\java\parquet\avro\AvroRecordMaterializer.java,parquet-avro\src\main\java\parquet\avro\AvroRecordMaterializer.java,True
parquet-column\src\main\java\parquet\schema\TypeConverter.java,parquet-column\src\main\java\parquet\schema\TypeConverter.java,True
parquet-hive\src\main\java\parquet\hive\write\DataWritableWriter.java,parquet-hive\src\main\java\parquet\hive\write\DataWritableWriter.java,False
parquet-pig\src\main\java\parquet\pig\ParquetLoader.java,parquet-pig\src\main\java\parquet\pig\ParquetLoader.java,False
parquet-thrift\src\main\java\parquet\hadoop\thrift\ThriftToParquetFileWriter.java,parquet-thrift\src\main\java\parquet\hadoop\thrift\ThriftToParquetFileWriter.java,True
parquet-column\src\main\java\parquet\example\data\simple\convert\GroupRecordConverter.java,parquet-column\src\main\java\parquet\example\data\simple\convert\GroupRecordConverter.java,True
parquet-hadoop\src\main\java\parquet\hadoop\package-info.java,parquet-avro\src\main\java\parquet\avro\package-info.java,False
parquet-column\src\main\java\parquet\example\data\simple\Primitive.java,parquet-column\src\main\java\parquet\example\data\simple\Primitive.java,True
parquet-hive\src\test\java\parquet\hive\TestDeprecatedParquetOuputFormat.java,parquet-hive\src\test\java\parquet\hive\TestDeprecatedParquetOuputFormat.java,False
parquet-column\src\main\java\parquet\column\values\bitpacking\ByteBitPackingValuesReader.java,parquet-column\src\main\java\parquet\column\values\bitpacking\ByteBitPackingValuesReader.java,True
parquet-thrift\src\main\java\parquet\thrift\ParquetProtocol.java,parquet-thrift\src\main\java\parquet\thrift\ParquetProtocol.java,True
parquet-hive\src\main\java\parquet\hive\ManageJobConfig.java,parquet-hive\src\main\java\parquet\hive\ManageJobConfig.java,True
parquet-column\src\main\java\parquet\example\data\simple\convert\SimplePrimitiveConverter.java,parquet-column\src\main\java\parquet\example\data\simple\convert\SimplePrimitiveConverter.java,True
parquet-pig\src\main\java\parquet\pig\SchemaConversionException.java,parquet-pig\src\main\java\parquet\pig\SchemaConversionException.java,True
parquet-pig\src\main\java\parquet\pig\TupleReadSupport.java,parquet-pig\src\main\java\parquet\pig\TupleReadSupport.java,False
parquet-thrift\src\test\java\parquet\thrift\TestThriftSchemaConverter.java,parquet-thrift\src\test\java\parquet\thrift\TestThriftSchemaConverter.java,True
parquet-pig\src\main\java\parquet\pig\summary\NumberSummaryData.java,parquet-pig\src\main\java\parquet\pig\summary\NumberSummaryData.java,True
parquet-column\src\main\java\parquet\column\values\rle\RunLengthBitPackingHybridEncoder.java,parquet-column\src\main\java\parquet\column\values\rle\RunLengthBitPackingHybridEncoder.java,True
parquet-hadoop\src\test\java\parquet\format\converter\TestParquetMetadataConverter.java,parquet-hadoop\src\test\java\parquet\format\converter\TestParquetMetadataConverter.java,True
parquet-hive\src\test\java\parquet\hive\TestHiveSchemaConverter.java,parquet-hive\src\test\java\parquet\hive\TestHiveSchemaConverter.java,False
parquet-column\src\main\java\parquet\schema\OriginalType.java,parquet-column\src\main\java\parquet\schema\OriginalType.java,True
parquet-column\src\main\java\parquet\column\values\bitpacking\ByteBitPackingValuesWriter.java,parquet-column\src\main\java\parquet\column\values\bitpacking\ByteBitPackingValuesWriter.java,True
parquet-column\src\main\java\parquet\column\values\rle\RunLengthBitPackingHybridValuesReader.java,parquet-column\src\main\java\parquet\column\values\rle\RunLengthBitPackingHybridValuesReader.java,False
parquet-hadoop\src\main\java\parquet\hadoop\BadConfigurationException.java,parquet-hadoop\src\main\java\parquet\hadoop\BadConfigurationException.java,True
parquet-column\src\main\java\parquet\example\data\simple\LongValue.java,parquet-column\src\main\java\parquet\example\data\simple\LongValue.java,True
parquet-thrift\src\test\java\parquet\hadoop\thrift\TestThriftToParquetFileWriter.java,parquet-thrift\src\test\java\parquet\hadoop\thrift\TestThriftToParquetFileWriter.java,False
parquet-pig\src\main\java\parquet\pig\TupleConversionException.java,parquet-pig\src\main\java\parquet\pig\TupleConversionException.java,True
parquet-pig\src\main\java\parquet\pig\PigMetaData.java,parquet-pig\src\main\java\parquet\pig\PigMetaData.java,True
parquet-thrift\src\main\java\parquet\thrift\BufferedProtocolReadToWrite.java,parquet-thrift\src\main\java\parquet\thrift\BufferedProtocolReadToWrite.java,True
parquet-column\src\main\java\parquet\column\values\dictionary\IntList.java,parquet-column\src\main\java\parquet\column\values\dictionary\IntList.java,True
parquet-thrift\src\main\java\parquet\thrift\ThriftParquetWriter.java,parquet-thrift\src\main\java\parquet\thrift\ThriftParquetWriter.java,True
parquet-column\src\main\java\parquet\column\page\PageReader.java,parquet-column\src\main\java\parquet\column\page\PageReader.java,True
parquet-hadoop\src\test\java\parquet\hadoop\example\TestInputOutputFormat.java,parquet-thrift\src\test\java\parquet\hadoop\thrift\TestInputOutputFormat.java,False
parquet-column\src\main\java\parquet\io\api\Converter.java,parquet-column\src\main\java\parquet\io\api\Converter.java,True
parquet-column\src\main\java\parquet\column\page\PageReadStore.java,parquet-column\src\main\java\parquet\column\page\PageReadStore.java,True
parquet-encoding\src\main\java\parquet\bytes\LittleEndianDataOutputStream.java,parquet-encoding\src\main\java\parquet\bytes\LittleEndianDataOutputStream.java,True
parquet-pig\src\test\java\parquet\pig\TestTupleRecordConsumer.java,parquet-pig\src\test\java\parquet\pig\TestTupleRecordConsumer.java,True
parquet-column\src\main\java\parquet\column\values\boundedint\BoundedIntValuesReader.java,parquet-column\src\main\java\parquet\column\values\boundedint\BoundedIntValuesReader.java,True
parquet-pig\src\test\java\parquet\pig\PerfTest2.java,parquet-pig\src\test\java\parquet\pig\PerfTest2.java,True
