old,new,isSame
src\org\apache\xml\security\keys\keyresolver\KeyResolverException.java,src\main\java\org\apache\xml\security\keys\keyresolver\KeyResolverException.java,False
src\org\apache\xml\security\keys\content\keyvalues\RSAKeyValue.java,src\main\java\org\apache\xml\security\keys\content\keyvalues\RSAKeyValue.java,False
src_samples\org\apache\xml\security\samples\encryption\Encrypter.java,samples\org\apache\xml\security\samples\encryption\Encrypter.java,False
src\org\apache\xml\security\c14n\implementations\Canonicalizer20010315.java,src\main\java\org\apache\xml\security\c14n\implementations\Canonicalizer20010315.java,False
src\org\apache\xml\security\utils\ElementProxy.java,src\main\java\org\apache\xml\security\utils\ElementProxy.java,False
src_unitTests\org\apache\xml\security\test\signature\UnknownAlgoSignatureTest.java,src\test\java\org\apache\xml\security\test\stax\signature\UnknownAlgoSignatureTest.java,False
src\org\apache\xml\security\keys\keyresolver\implementations\X509CertificateResolver.java,src\main\java\org\apache\xml\security\keys\keyresolver\implementations\X509CertificateResolver.java,False
src\org\jcp\xml\dsig\internal\DigesterOutputStream.java,src\main\java\org\apache\xml\security\utils\DigesterOutputStream.java,False
src\org\jcp\xml\dsig\internal\dom\DOMXMLObject.java,src\main\java\org\apache\jcp\xml\dsig\internal\dom\DOMXMLObject.java,False
src_unitTests\javax\xml\crypto\test\dsig\IaikCoreFeaturesTest.java,src\test\java\javax\xml\crypto\test\dsig\IaikCoreFeaturesTest.java,False
src\org\apache\xml\security\keys\ContentHandlerAlreadyRegisteredException.java,src\main\java\org\apache\xml\security\keys\ContentHandlerAlreadyRegisteredException.java,False
src\org\apache\xml\security\utils\UnsyncBufferedOutputStream.java,src\main\java\org\apache\xml\security\utils\UnsyncBufferedOutputStream.java,False
src_samples\javax\xml\crypto\dsig\samples\GenEnveloping.java,samples\javax\xml\crypto\dsig\samples\GenEnveloping.java,False
src\org\apache\xml\security\transforms\implementations\TransformC14NExclusiveWithComments.java,src\main\java\org\apache\xml\security\transforms\implementations\TransformC14NExclusiveWithComments.java,False
src_unitTests\org\apache\xml\security\test\c14n\implementations\Canonicalizer20010315ExclusiveTest.java,src\test\java\org\apache\xml\security\test\stax\c14n\Canonicalizer20010315ExclusiveTest.java,False
src\org\apache\xml\security\keys\keyresolver\implementations\X509SubjectNameResolver.java,src\main\java\org\apache\xml\security\keys\keyresolver\implementations\X509SubjectNameResolver.java,False
src_samples\org\apache\xml\security\samples\transforms\SampleTransformXPath.java,samples\org\apache\xml\security\samples\transforms\SampleTransformXPath.java,False
src\javax\xml\crypto\dsig\keyinfo\KeyValue.java,src\main\java\org\apache\xml\security\keys\content\KeyValue.java,False
src\org\apache\xml\security\c14n\implementations\CanonicalizerBase.java,src\main\java\org\apache\xml\security\stax\impl\transformer\canonicalizer\CanonicalizerBase.java,False
src_unitTests\javax\xml\crypto\test\dsig\BaltimoreXPathFilter2ThreeTest.java,src\test\java\javax\xml\crypto\test\dsig\BaltimoreXPathFilter2ThreeTest.java,False
src\javax\xml\crypto\dsig\Reference.java,src\main\java\org\apache\xml\security\signature\Reference.java,False
src_unitTests\javax\xml\crypto\test\dsig\IaikTransformsTest.java,src\test\java\javax\xml\crypto\test\dsig\IaikTransformsTest.java,False
src\org\jcp\xml\dsig\internal\DigesterOutputStream.java,src\main\java\org\apache\jcp\xml\dsig\internal\DigesterOutputStream.java,False
src\org\apache\xml\security\encryption\EncryptionMethod.java,src\main\java\org\apache\xml\security\encryption\EncryptionMethod.java,False
src_unitTests\org\apache\xml\security\c14n\implementations\UtfHelperTest.java,src\test\java\org\apache\xml\security\test\dom\c14n\implementations\UtfHelperTest.java,False
src_unitTests\javax\xml\crypto\test\dsig\ComRSASecurityTest.java,src\test\java\javax\xml\crypto\test\dsig\ComRSASecurityTest.java,False
src_unitTests\org\apache\xml\security\test\signature\ECDSASignatureTest.java,src\test\java\org\apache\xml\security\test\dom\signature\ECDSASignatureTest.java,False
src\org\apache\xml\security\transforms\TransformParam.java,src\main\java\org\apache\xml\security\transforms\TransformParam.java,True
src\org\apache\xml\security\c14n\implementations\CanonicalizerBase.java,src\main\java\org\apache\xml\security\c14n\implementations\CanonicalizerBase.java,False
src_unitTests\org\apache\xml\security\test\CreateExclC14nInteropValues.java,src\test\java\org\apache\xml\security\test\dom\CreateExclC14nInteropValues.java,False
src\org\apache\xml\security\keys\keyresolver\implementations\RetrievalMethodResolver.java,src\main\java\org\apache\xml\security\keys\keyresolver\implementations\RetrievalMethodResolver.java,False
src_unitTests\javax\xml\crypto\test\dsig\DetachedTest.java,src\test\java\javax\xml\crypto\test\dsig\DetachedTest.java,False
src\org\apache\xml\security\algorithms\MessageDigestAlgorithm.java,src\main\java\org\apache\xml\security\algorithms\MessageDigestAlgorithm.java,False
src_unitTests\javax\xml\crypto\test\dsig\keyinfo\X509DataTest.java,src\test\java\org\apache\xml\security\test\dom\signature\X509DataTest.java,False
src_unitTests\javax\xml\crypto\test\dsig\CreateInteropExcC14NTest.java,src\test\java\javax\xml\crypto\test\dsig\CreateInteropExcC14NTest.java,False
src_samples\org\apache\xml\security\samples\signature\VerifyMerlinsExamplesFifteen.java,samples\org\apache\xml\security\samples\signature\VerifyMerlinsExamplesFifteen.java,False
src\org\apache\xml\security\exceptions\Base64DecodingException.java,src\main\java\org\apache\xml\security\exceptions\Base64DecodingException.java,False
src\org\jcp\xml\dsig\internal\SignerOutputStream.java,src\main\java\org\apache\xml\security\utils\SignerOutputStream.java,False
src_samples\org\apache\xml\security\samples\signature\HereSigner.java,samples\org\apache\xml\security\samples\signature\HereSigner.java,False
