old,new,isSame
org.apache.tika.TikaTest,org.apache.tika.TikaTest,False
org.apache.tika.config.TikaConfig,org.apache.tika.config.TikaConfig,False
org.apache.tika.io.IOUtils,org.apache.tika.io.IOUtils,False
org.apache.tika.metadata.Metadata,org.apache.tika.metadata.Metadata,False
org.apache.tika.metadata.TikaMetadataKeys,org.apache.tika.metadata.TikaMetadataKeys,False
org.apache.tika.parser.pkg.Bzip2ParserTest,org.apache.tika.parser.pkg.Bzip2ParserTest,False
org.apache.tika.parser.AutoDetectParser,org.apache.tika.parser.AutoDetectParser,False
org.apache.tika.parser.Parser,org.apache.tika.parser.Parser,True
org.apache.tika.sax.BodyContentHandler,org.apache.tika.sax.BodyContentHandler,True
org.apache.tika.parser.pkg.AbstractPkgTest,org.apache.tika.parser.pkg.AbstractPkgTest,False
org.apache.tika.metadata.HttpHeaders,org.apache.tika.metadata.HttpHeaders,True
org.apache.tika.parser.pkg.ZipParserTest,org.apache.tika.parser.pkg.ZipParserTest,False
org.apache.tika.parser.pkg.AbstractPkgTest.EmbeddedTrackingParser,org.apache.tika.parser.pkg.AbstractPkgTest.EmbeddedTrackingParser,False
org.apache.tika.extractor.EmbeddedResourceHandler,org.apache.tika.extractor.EmbeddedResourceHandler,True
org.apache.tika.extractor.ParserContainerExtractor,org.apache.tika.extractor.ParserContainerExtractor,True
org.apache.tika.io.TikaInputStream,org.apache.tika.io.TikaInputStream,True
org.apache.tika.mime.MediaType,org.apache.tika.mime.MediaType,False
org.apache.tika.parser.ParseContext,org.apache.tika.parser.ParseContext,True
org.apache.tika.sax.ToXMLContentHandler,org.apache.tika.sax.ToXMLContentHandler,False
org.apache.tika.parser.txt.CharsetRecognizer,org.apache.tika.parser.txt.CharsetRecognizer,True
org.apache.tika.parser.txt.CharsetDetector,org.apache.tika.parser.txt.CharsetDetector,False
org.apache.tika.metadata.Property,org.apache.tika.metadata.Property,False
org.apache.tika.metadata.DublinCore,org.apache.tika.metadata.DublinCore,False
org.apache.tika.metadata.MSOffice,org.apache.tika.metadata.MSOffice,False
org.apache.tika.metadata.Geographic,org.apache.tika.metadata.Geographic,True
org.apache.tika.metadata.ClimateForcast,org.apache.tika.metadata.ClimateForcast,True
org.apache.tika.io.EndianUtils,org.apache.tika.io.EndianUtils,False
org.apache.tika.parser.chm.accessor.ChmLzxcResetTable,org.apache.tika.parser.chm.accessor.ChmLzxcResetTable,False
org.apache.tika.exception.TikaException,org.apache.tika.exception.TikaException,True
org.apache.tika.parser.chm.assertion.ChmAssert,org.apache.tika.parser.chm.assertion.ChmAssert,True
org.apache.tika.parser.chm.core.ChmConstants,org.apache.tika.parser.chm.core.ChmConstants,False
org.apache.tika.parser.chm.exception.ChmParsingException,org.apache.tika.parser.chm.exception.ChmParsingException,True
org.apache.tika.parser.chm.accessor.ChmAccessor,org.apache.tika.parser.chm.accessor.ChmAccessor,True
org.apache.tika.mime.MediaTypeRegistry,org.apache.tika.mime.MediaTypeRegistry,False
