old,new,isSame
org.apache.ws.security.WSEncryptionPart,org.apache.ws.security.WSEncryptionPart,False
org.apache.ws.security.WSSConfig,org.apache.ws.security.WSSConfig,False
org.apache.ws.security.WSSecurityEngine,org.apache.ws.security.WSSecurityEngine,False
org.apache.ws.security.WSConstants,org.apache.ws.security.WSConstants,False
org.apache.ws.security.WSSecurityException,org.apache.ws.security.WSSecurityException,False
org.apache.ws.security.components.crypto.Crypto,org.apache.ws.security.components.crypto.Crypto,False
org.apache.ws.security.components.crypto.CryptoFactory,org.apache.ws.security.components.crypto.CryptoFactory,False
org.apache.ws.security.handler.RequestData,org.apache.ws.security.handler.RequestData,False
org.apache.ws.security.handler.WSHandlerConstants,org.apache.ws.security.handler.WSHandlerConstants,False
org.apache.ws.security.message.WSSecSignature,org.apache.ws.security.message.WSSecSignature,False
org.apache.ws.security.message.WSSecHeader,org.apache.ws.security.message.WSSecHeader,False
org.apache.ws.security.message.WSSecTimestamp,org.apache.ws.security.message.WSSecTimestamp,False
org.apache.ws.security.message.WSSecBase,org.apache.ws.security.message.WSSecBase,False
org.apache.ws.security.util.XMLUtils,org.apache.ws.security.util.XMLUtils,False
org.apache.ws.security.message.WSSecDKSign,org.apache.ws.security.message.WSSecDKSign,False
org.apache.ws.security.WSDocInfo,org.apache.ws.security.WSDocInfo,False
org.apache.ws.security.conversation.ConversationException,org.apache.ws.security.conversation.ConversationException,False
org.apache.ws.security.message.token.Reference,org.apache.ws.security.message.token.Reference,False
org.apache.ws.security.message.token.SecurityTokenReference,org.apache.ws.security.message.token.SecurityTokenReference,False
org.apache.ws.security.util.WSSecurityUtil,org.apache.ws.security.util.WSSecurityUtil,False
org.apache.ws.security.message.WSSecDerivedKeyBase,org.apache.ws.security.message.WSSecDerivedKeyBase,False
org.apache.ws.security.WSSecurityEngineResult,org.apache.ws.security.WSSecurityEngineResult,False
org.apache.ws.security.message.token.BinarySecurity,org.apache.ws.security.message.token.BinarySecurity,False
org.apache.ws.security.message.token.PKIPathSecurity,org.apache.ws.security.message.token.PKIPathSecurity,False
org.apache.ws.security.message.token.X509Security,org.apache.ws.security.message.token.X509Security,False
org.apache.ws.security.transform.STRTransform,org.apache.ws.security.transform.STRTransform,False
org.apache.ws.security.util.Base64,org.apache.ws.security.util.Base64,False
org.apache.ws.security.util.DOM2Writer,org.apache.ws.security.util.DOM2Writer,False
org.apache.ws.security.action.Action,org.apache.ws.security.action.Action,True
org.apache.ws.security.handler.WSHandler,org.apache.ws.security.handler.WSHandler,False
org.apache.ws.security.util.Mapping,org.apache.ws.security.util.Mapping,False
org.apache.ws.security.conversation.ConversationConstants,org.apache.ws.security.conversation.ConversationConstants,False
org.apache.ws.security.message.WSSecSecurityContextToken,org.apache.ws.security.message.WSSecSecurityContextToken,False
org.apache.ws.security.message.WSSecDKEncrypt,org.apache.ws.security.message.WSSecDKEncrypt,False
org.apache.ws.security.processor.UsernameTokenProcessor,org.apache.ws.security.processor.UsernameTokenProcessor,False
org.apache.ws.security.WSUsernameTokenPrincipal,org.apache.ws.security.WSUsernameTokenPrincipal,False
org.apache.ws.security.message.token.UsernameToken,org.apache.ws.security.message.token.UsernameToken,False
org.apache.ws.security.processor.Processor,org.apache.ws.security.processor.Processor,False
org.apache.ws.security.message.token.Timestamp,org.apache.ws.security.message.token.Timestamp,False
org.apache.ws.security.util.XmlSchemaDateFormat,org.apache.ws.security.util.XmlSchemaDateFormat,False
org.apache.ws.security.components.crypto.Merlin,org.apache.ws.security.components.crypto.Merlin,False
org.apache.ws.security.util.Loader,org.apache.ws.security.util.Loader,False
org.apache.ws.security.saml.WSSecSignatureSAML,org.apache.ws.security.saml.WSSecSignatureSAML,False
org.apache.ws.security.processor.X509Util,org.apache.ws.security.processor.X509Util,False
org.apache.ws.security.WSPasswordCallback,org.apache.ws.security.WSPasswordCallback,False
org.apache.ws.security.message.token.DerivedKeyToken,org.apache.ws.security.message.token.DerivedKeyToken,False
org.apache.ws.security.saml.SAMLUtil,org.apache.ws.security.saml.SAMLUtil,False
org.apache.ws.security.message.WSSecSAMLToken,org.apache.ws.security.message.WSSecSAMLToken,False
org.apache.ws.security.saml.SAMLIssuer,org.apache.ws.security.saml.SAMLIssuer,False
org.apache.ws.security.saml.SAMLIssuerFactory,org.apache.ws.security.saml.SAMLIssuerFactory,False
org.apache.ws.security.components.crypto.CredentialException,org.apache.ws.security.components.crypto.CredentialException,False
org.apache.ws.security.processor.SignatureProcessor,org.apache.ws.security.processor.SignatureProcessor,False
org.apache.ws.security.processor.ReferenceListProcessor,org.apache.ws.security.processor.ReferenceListProcessor,False
org.apache.ws.security.processor.EncryptedKeyProcessor,org.apache.ws.security.processor.EncryptedKeyProcessor,False
org.apache.ws.security.util.NSStack,org.apache.ws.security.util.NSStack,False
org.apache.ws.security.message.WSSecUsernameToken,org.apache.ws.security.message.WSSecUsernameToken,False
org.apache.ws.security.message.token.SignatureConfirmation,org.apache.ws.security.message.token.SignatureConfirmation,False
org.apache.ws.security.util.StringUtil,org.apache.ws.security.util.StringUtil,False
org.apache.ws.security.handler.WSHandlerResult,org.apache.ws.security.handler.WSHandlerResult,False
org.apache.ws.security.SOAPConstants,org.apache.ws.security.SOAPConstants,False
org.apache.ws.security.message.EnvelopeIdResolver,org.apache.ws.security.message.EnvelopeIdResolver,False
org.apache.ws.security.message.WSSecEncrypt,org.apache.ws.security.message.WSSecEncrypt,False
org.apache.ws.security.message.WSSecEncryptedKey,org.apache.ws.security.message.WSSecEncryptedKey,False
org.apache.ws.security.processor.TimestampProcessor,org.apache.ws.security.processor.TimestampProcessor,False
org.apache.ws.security.saml.SAMLIssuerImpl,org.apache.ws.security.saml.SAMLIssuerImpl,False
org.apache.ws.security.processor.SecurityContextTokenProcessor,org.apache.ws.security.processor.SecurityContextTokenProcessor,False
org.apache.ws.security.message.token.SecurityContextToken,org.apache.ws.security.message.token.SecurityContextToken,False
org.apache.ws.security.processor.SignatureConfirmationProcessor,org.apache.ws.security.processor.SignatureConfirmationProcessor,False
org.apache.ws.security.processor.DerivedKeyTokenProcessor,org.apache.ws.security.processor.DerivedKeyTokenProcessor,False
org.apache.ws.security.WSDerivedKeyTokenPrincipal,org.apache.ws.security.WSDerivedKeyTokenPrincipal,False
org.apache.ws.security.SOAP11Constants,org.apache.ws.security.SOAP11Constants,False
org.apache.ws.security.SOAP12Constants,org.apache.ws.security.SOAP12Constants,False
org.apache.ws.security.util.UUIDGenerator,org.apache.ws.security.util.UUIDGenerator,False
org.apache.ws.security.action.UsernameTokenAction,org.apache.ws.security.action.UsernameTokenAction,False
org.apache.ws.security.action.EncryptionAction,org.apache.ws.security.action.EncryptionAction,False
org.apache.ws.security.action.SignatureAction,org.apache.ws.security.action.SignatureAction,False
org.apache.ws.security.action.SAMLTokenSignedAction,org.apache.ws.security.action.SAMLTokenSignedAction,False
org.apache.ws.security.action.SAMLTokenUnsignedAction,org.apache.ws.security.action.SAMLTokenUnsignedAction,False
org.apache.ws.security.action.TimestampAction,org.apache.ws.security.action.TimestampAction,False
org.apache.ws.security.action.UsernameTokenSignedAction,org.apache.ws.security.action.UsernameTokenSignedAction,False
org.apache.ws.security.action.SignatureConfirmationAction,org.apache.ws.security.action.SignatureConfirmationAction,False
org.apache.ws.security.processor.SAMLTokenProcessor,org.apache.ws.security.processor.SAMLTokenProcessor,False
org.apache.ws.security.message.WSSecSignatureConfirmation,org.apache.ws.security.message.WSSecSignatureConfirmation,False
org.apache.ws.security.conversation.dkalgo.AlgoFactory,org.apache.ws.security.conversation.dkalgo.AlgoFactory,False
org.apache.ws.security.conversation.dkalgo.DerivationAlgorithm,org.apache.ws.security.conversation.dkalgo.DerivationAlgorithm,True
org.apache.ws.security.conversation.ConversationConstants.DerivationAlgorithm,org.apache.ws.security.conversation.ConversationConstants.DerivationAlgorithm,False
org.apache.ws.security.conversation.dkalgo.P_SHA1,org.apache.ws.security.conversation.dkalgo.P_SHA1,False
