old,new,isSame
src\org\apache\ws\security\message\WSSecDKSign.java,src\main\java\org\apache\ws\security\message\WSSecDKSign.java,False
src\org\apache\ws\security\message\WSSecSignature.java,src\main\java\org\apache\ws\security\message\WSSecSignature.java,False
src\org\apache\ws\security\message\token\Reference.java,src\main\java\org\apache\ws\security\message\token\Reference.java,False
src\org\apache\ws\security\action\Action.java,src\main\java\org\apache\ws\security\action\Action.java,True
src\org\apache\ws\security\util\Base64.java,src\main\java\org\apache\ws\security\util\Base64.java,False
src\org\apache\ws\security\util\Mapping.java,src\main\java\org\apache\ws\security\util\Mapping.java,False
src\org\apache\ws\security\processor\UsernameTokenProcessor.java,src\main\java\org\apache\ws\security\processor\UsernameTokenProcessor.java,False
src\org\apache\ws\security\WSUsernameTokenPrincipal.java,src\main\java\org\apache\ws\security\WSUsernameTokenPrincipal.java,False
src\org\apache\ws\security\message\token\Timestamp.java,src\main\java\org\apache\ws\security\message\token\Timestamp.java,False
src\org\apache\ws\security\processor\X509Util.java,src\main\java\org\apache\ws\security\processor\X509Util.java,False
src\org\apache\ws\security\components\crypto\Merlin.java,src\main\java\org\apache\ws\security\components\crypto\Merlin.java,False
src\org\apache\ws\security\processor\SignatureProcessor.java,src\main\java\org\apache\ws\security\processor\SignatureProcessor.java,False
src\org\apache\ws\security\saml\SAMLUtil.java,src\main\java\org\apache\ws\security\saml\SAMLUtil.java,False
src\org\apache\ws\security\message\WSSecTimestamp.java,src\main\java\org\apache\ws\security\message\WSSecTimestamp.java,False
src\org\apache\ws\security\util\DOM2Writer.java,src\main\java\org\apache\ws\security\util\DOM2Writer.java,False
src\org\apache\ws\security\message\WSSecUsernameToken.java,src\main\java\org\apache\ws\security\message\WSSecUsernameToken.java,False
src\org\apache\ws\security\util\NSStack.java,src\main\java\org\apache\ws\security\util\NSStack.java,False
src\org\apache\ws\security\transform\STRTransform.java,src\main\java\org\apache\ws\security\transform\STRTransform.java,False
src\org\apache\ws\security\util\Loader.java,src\main\java\org\apache\ws\security\util\Loader.java,False
src\org\apache\ws\security\handler\WSHandler.java,src\main\java\org\apache\ws\security\handler\WSHandler.java,False
src\org\apache\ws\security\message\EnvelopeIdResolver.java,src\main\java\org\apache\ws\security\message\EnvelopeIdResolver.java,False
src\org\apache\ws\security\processor\TimestampProcessor.java,src\main\java\org\apache\ws\security\processor\TimestampProcessor.java,False
src\org\apache\ws\security\saml\SAMLIssuerFactory.java,src\main\java\org\apache\ws\security\saml\SAMLIssuerFactory.java,False
src\org\apache\ws\security\components\crypto\Crypto.java,src\main\java\org\apache\ws\security\components\crypto\Crypto.java,False
src\org\apache\ws\security\handler\WSHandlerResult.java,src\main\java\org\apache\ws\security\handler\WSHandlerResult.java,False
src\org\apache\ws\security\handler\WSHandlerConstants.java,src\main\java\org\apache\ws\security\handler\WSHandlerConstants.java,False
src\org\apache\ws\security\processor\SecurityContextTokenProcessor.java,src\main\java\org\apache\ws\security\processor\SecurityContextTokenProcessor.java,False
src\org\apache\ws\security\processor\SignatureConfirmationProcessor.java,src\main\java\org\apache\ws\security\processor\SignatureConfirmationProcessor.java,False
src\org\apache\ws\security\handler\RequestData.java,src\main\java\org\apache\ws\security\handler\RequestData.java,False
src\org\apache\ws\security\processor\DerivedKeyTokenProcessor.java,src\main\java\org\apache\ws\security\processor\DerivedKeyTokenProcessor.java,False
src\org\apache\ws\security\WSDerivedKeyTokenPrincipal.java,src\main\java\org\apache\ws\security\WSDerivedKeyTokenPrincipal.java,False
