old,new,isSame
test\org\jruby\test\RubyTestTestSuite.java,test\org\jruby\test\RubyTestTestSuite.java,True
src\org\jruby\RubyObjectAdapter.java,src\org\jruby\RubyObjectAdapter.java,True
test\org\jruby\test\AlphaSingleton.java,test\org\jruby\test\AlphaSingleton.java,True
src\org\jruby\ast\SymbolNode.java,src\org\jruby\ast\SymbolNode.java,False
src\org\jruby\ast\BackRefNode.java,src\org\jruby\ast\BackRefNode.java,False
src\org\jruby\ast\ModuleNode.java,src\org\jruby\ast\ModuleNode.java,False
src\org\jruby\ast\CaseNode.java,src\org\jruby\ast\CaseNode.java,False
src\org\jruby\runtime\ObjectAllocator.java,src\org\jruby\runtime\ObjectAllocator.java,True
test\org\jruby\test\TestParser.java,test\org\jruby\test\TestParser.java,False
src\org\jruby\RubyProcess.java,src\org\jruby\RubyProcess.java,False
src\org\jruby\libraries\NKFLibrary.java,src\org\jruby\libraries\NKFLibrary.java,True
src\org\jruby\RubyLocalJumpError.java,src\org\jruby\RubyLocalJumpError.java,False
src\org\jruby\ast\FCallNode.java,src\org\jruby\ast\FCallNode.java,False
src\org\jruby\ast\UntilNode.java,src\org\jruby\ast\UntilNode.java,False
src\org\jruby\ast\FalseNode.java,src\org\jruby\ast\FalseNode.java,False
src\org\jruby\ext\posix\util\Platform.java,src\org\jruby\ext\ffi\Platform.java,False
src\org\jruby\util\BuiltinScript.java,src\org\jruby\util\BuiltinScript.java,False
src\org\jruby\runtime\Frame.java,src\org\jruby\runtime\Frame.java,False
src\org\jruby\RubyRegexp.java,src\org\jruby\RubyRegexp.java,False
src\org\jruby\runtime\builtin\InstanceVariables.java,src\org\jruby\runtime\builtin\InstanceVariables.java,False
src\org\jruby\ast\ZArrayNode.java,src\org\jruby\ast\ZArrayNode.java,False
src\org\jruby\ast\BlockArgNode.java,src\org\jruby\ast\BlockArgNode.java,False
src\org\jruby\runtime\scope\NoVarsDynamicScope.java,src\org\jruby\runtime\scope\NoVarsDynamicScope.java,False
src\org\jruby\RubyKernel.java,src\org\jruby\RubyKernel.java,False
