old,new,isSame
org.apache.lucene.search.spell.JaroWinklerDistance,org.apache.lucene.search.spell.JaroWinklerDistance,True
org.apache.lucene.search.spell.StringDistance,org.apache.lucene.search.spell.StringDistance,True
org.apache.lucene.analysis.BaseTokenStreamTestCase,org.apache.lucene.analysis.BaseTokenStreamTestCase,False
org.apache.lucene.analysis.StopAnalyzer,org.apache.lucene.analysis.StopAnalyzer,False
org.apache.lucene.analysis.TokenStream,org.apache.lucene.analysis.TokenStream,False
org.apache.lucene.util.Version,org.apache.lucene.util.Version,False
org.apache.lucene.search.spell.TestLevenshteinDistance,org.apache.lucene.search.spell.TestLevenshteinDistance,True
org.apache.lucene.search.spell.LevensteinDistance,org.apache.lucene.search.spell.LevensteinDistance,True
org.apache.lucene.search.TestParallelMultiSearcher,org.apache.lucene.search.TestParallelMultiSearcher,False
org.apache.lucene.search.TestMultiSearcher,org.apache.lucene.search.TestMultiSearcher,False
org.apache.lucene.search.MultiSearcher,org.apache.lucene.search.MultiSearcher,False
org.apache.lucene.search.Searcher,org.apache.lucene.search.Searcher,False
org.apache.lucene.search.ParallelMultiSearcher,org.apache.lucene.search.ParallelMultiSearcher,False
org.apache.lucene.benchmark.byTask.utils.Algorithm,org.apache.lucene.benchmark.byTask.utils.Algorithm,False
org.apache.lucene.benchmark.byTask.PerfRunData,org.apache.lucene.benchmark.byTask.PerfRunData,False
org.apache.lucene.benchmark.byTask.tasks.PerfTask,org.apache.lucene.benchmark.byTask.tasks.PerfTask,False
org.apache.lucene.benchmark.byTask.tasks.RepSumByPrefTask,org.apache.lucene.benchmark.byTask.tasks.RepSumByPrefTask,False
org.apache.lucene.benchmark.byTask.tasks.TaskSequence,org.apache.lucene.benchmark.byTask.tasks.TaskSequence,False
org.apache.lucene.benchmark.byTask.utils.Config,org.apache.lucene.benchmark.byTask.utils.Config,False
org.apache.lucene.search.Filter,org.apache.lucene.search.Filter,False
org.apache.lucene.index.IndexReader,org.apache.lucene.index.IndexReader,False
org.apache.lucene.util.DocIdBitSet,org.apache.lucene.util.DocIdBitSet,False
org.apache.lucene.search.DocIdSet,org.apache.lucene.search.DocIdSet,False
org.apache.lucene.index.MergePolicy,org.apache.lucene.index.MergePolicy,False
org.apache.lucene.index.MergePolicy.MergeAbortedException,org.apache.lucene.index.MergePolicy.MergeAbortedException,False
