old,new,isSame
org.apache.wicket.util.license.ApacheLicenceHeaderTest,org.apache.wicket.util.license.ApacheLicenceHeaderTest,False
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase,org.apache.wicket.util.license.ApacheLicenseHeaderTestCase,True
org.apache.wicket.Component,org.apache.wicket.Component,False
org.apache.wicket.ajax.AjaxRequestTarget,org.apache.wicket.ajax.AjaxRequestTarget,False
org.apache.wicket.model.IModel,org.apache.wicket.model.IModel,True
org.apache.wicket.model.Model,org.apache.wicket.model.Model,True
org.apache.wicket.request.target.resource.ISharedResourceRequestTarget,org.apache.wicket.request.target.resource.ISharedResourceRequestTarget,True
org.apache.wicket.IRequestTarget,org.apache.wicket.IRequestTarget,True
org.apache.wicket.request.RequestParameters,org.apache.wicket.request.RequestParameters,False
org.apache.wicket.authentication.pages.SignOutPage,org.apache.wicket.authentication.pages.SignOutPage,True
org.apache.wicket.PageParameters,org.apache.wicket.PageParameters,False
org.apache.wicket.markup.html.WebPage,org.apache.wicket.markup.html.WebPage,False
org.apache.wicket.Session,org.apache.wicket.Session,False
org.apache.wicket.ajax.markup.html.componentMap.SimpleTestPage,org.apache.wicket.ajax.markup.html.componentMap.SimpleTestPage,True
org.apache.wicket.ajax.markup.html.componentMap.SimpleTestPanel,org.apache.wicket.ajax.markup.html.componentMap.SimpleTestPanel,True
org.apache.wicket.markup.html.link.StatelessLink,org.apache.wicket.markup.html.link.StatelessLink,True
org.apache.wicket.markup.html.link.Link,org.apache.wicket.markup.html.link.Link,False
org.apache.wicket.examples.linkomatic.Popup,org.apache.wicket.examples.linkomatic.Popup,True
org.apache.wicket.examples.WicketExamplePage,org.apache.wicket.examples.WicketExamplePage,True
org.apache.wicket.markup.html.link.PopupCloseLink,org.apache.wicket.markup.html.link.PopupCloseLink,True
org.apache.wicket.quickstart.Start,org.apache.wicket.quickstart.Start,False
org.apache.wicket.settings.IRequestLoggerSettings,org.apache.wicket.settings.IRequestLoggerSettings,True
org.apache.wicket.examples.repeater.OIRPage,org.apache.wicket.examples.repeater.OIRPage,True
org.apache.wicket.examples.repeater.OIRPage.HighlitableDataItem,org.apache.wicket.examples.repeater.OIRPage.HighlitableDataItem,True
org.apache.wicket.examples.repeater.OIRPage.HighlitableDataItem.HighlitableDataItem.(Anon_1),org.apache.wicket.examples.repeater.OIRPage.HighlitableDataItem.HighlitableDataItem.(Anon_1),True
org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_2),org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_2),True
org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_2).populateItem.(Anon_3),org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_2).populateItem.(Anon_3),True
org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_2).populateItem.(Anon_4),org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_2).populateItem.(Anon_4),True
org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_5),org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_5),True
org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_6),org.apache.wicket.examples.repeater.OIRPage.OIRPage.(Anon_6),True
org.apache.wicket.AttributeModifier,org.apache.wicket.AttributeModifier,False
org.apache.wicket.extensions.markup.html.repeater.data.sort.OrderByBorder,org.apache.wicket.extensions.markup.html.repeater.data.sort.OrderByBorder,True
org.apache.wicket.markup.html.basic.Label,org.apache.wicket.markup.html.basic.Label,True
org.apache.wicket.markup.html.navigation.paging.PagingNavigator,org.apache.wicket.markup.html.navigation.paging.PagingNavigator,True
org.apache.wicket.markup.repeater.Item,org.apache.wicket.markup.repeater.Item,False
org.apache.wicket.markup.repeater.ReuseIfModelsEqualStrategy,org.apache.wicket.markup.repeater.ReuseIfModelsEqualStrategy,True
org.apache.wicket.markup.repeater.data.DataView,org.apache.wicket.markup.repeater.data.DataView,True
org.apache.wicket.model.AbstractReadOnlyModel,org.apache.wicket.model.AbstractReadOnlyModel,True
org.apache.wicket.examples.repeater.BasePage,org.apache.wicket.examples.repeater.BasePage,True
org.apache.wicket.examples.repeater.SortableContactDataProvider,org.apache.wicket.examples.repeater.SortableContactDataProvider,True
org.apache.wicket.markup.repeater.RefreshingView,org.apache.wicket.markup.repeater.RefreshingView,False
org.apache.wicket.examples.repeater.Contact,org.apache.wicket.examples.repeater.Contact,True
org.apache.wicket.examples.repeater.BasePage.ActionPanel,org.apache.wicket.examples.repeater.BasePage.ActionPanel,True
org.apache.wicket.markup.repeater.AbstractPageableView,org.apache.wicket.markup.repeater.AbstractPageableView,False
org.apache.wicket.model.IDetachable,org.apache.wicket.model.IDetachable,True
org.apache.wicket.authorization.IUnauthorizedComponentInstantiationListener,org.apache.wicket.authorization.IUnauthorizedComponentInstantiationListener,True
org.apache.wicket.examples.compref.SelectPage,org.apache.wicket.examples.compref.SelectPage,True
org.apache.wicket.examples.compref.SelectPage.Input,org.apache.wicket.examples.compref.SelectPage.Input,True
org.apache.wicket.examples.compref.SelectPage.SelectPage.(Anon_1),org.apache.wicket.examples.compref.SelectPage.SelectPage.(Anon_1),True
org.apache.wicket.examples.compref.SelectPage.SelectPage.(Anon_2),org.apache.wicket.examples.compref.SelectPage.SelectPage.(Anon_2),True
org.apache.wicket.IClusterable,org.apache.wicket.IClusterable,True
org.apache.wicket.extensions.markup.html.form.select.IOptionRenderer,org.apache.wicket.extensions.markup.html.form.select.IOptionRenderer,True
org.apache.wicket.extensions.markup.html.form.select.Select,org.apache.wicket.extensions.markup.html.form.select.Select,True
org.apache.wicket.extensions.markup.html.form.select.SelectOption,org.apache.wicket.extensions.markup.html.form.select.SelectOption,True
org.apache.wicket.extensions.markup.html.form.select.SelectOptions,org.apache.wicket.extensions.markup.html.form.select.SelectOptions,False
org.apache.wicket.markup.html.form.Form,org.apache.wicket.markup.html.form.Form,False
org.apache.wicket.markup.html.panel.FeedbackPanel,org.apache.wicket.markup.html.panel.FeedbackPanel,True
org.apache.wicket.model.CompoundPropertyModel,org.apache.wicket.model.CompoundPropertyModel,False
org.apache.wicket.examples.compref.ExplainPanel,org.apache.wicket.examples.compref.ExplainPanel,True
org.apache.wicket.markup.html.header.threelayers.AbstractBasePage,org.apache.wicket.markup.html.header.threelayers.AbstractBasePage,True
org.apache.wicket.examples.hangman.Game,org.apache.wicket.examples.hangman.Game,True
org.apache.wicket.examples.hangman.Word,org.apache.wicket.examples.hangman.Word,True
org.apache.wicket.examples.hangman.WordGenerator,org.apache.wicket.examples.hangman.WordGenerator,True
org.apache.wicket.examples.hangman.Letter,org.apache.wicket.examples.hangman.Letter,True
org.apache.wicket.markup.html.autolink.sub.BasePage,org.apache.wicket.markup.html.autolink.sub.BasePage,True
org.apache.wicket.util.time.Duration,org.apache.wicket.util.time.Duration,False
org.apache.wicket.util.string.StringValue,org.apache.wicket.util.string.StringValue,True
org.apache.wicket.util.string.StringValueConversionException,org.apache.wicket.util.string.StringValueConversionException,True
org.apache.wicket.util.thread.ICode,org.apache.wicket.util.thread.ICode,False
org.apache.wicket.util.time.AbstractTimeValue,org.apache.wicket.util.time.AbstractTimeValue,True
org.apache.wicket.util.time.Time,org.apache.wicket.util.time.Time,True
org.apache.wicket.markup.html.header.threelayers2.AbstractSecurePage,org.apache.wicket.markup.html.header.threelayers2.AbstractSecurePage,True
org.apache.wicket.markup.html.header.threelayers2.AbstractBasePage,org.apache.wicket.markup.html.header.threelayers2.AbstractBasePage,True
org.apache.wicket.markup.repeater.IItemReuseStrategy,org.apache.wicket.markup.repeater.IItemReuseStrategy,True
org.apache.wicket.markup.repeater.IItemFactory,org.apache.wicket.markup.repeater.IItemFactory,True
org.apache.wicket.stateless.StatelessComponentPage,org.apache.wicket.stateless.StatelessComponentPage,True
org.apache.wicket.stateless.StatelessComponentPage.StatelessComponentPage.(Anon_1),org.apache.wicket.stateless.StatelessComponentPage.StatelessComponentPage.(Anon_1),True
org.apache.wicket.WicketRuntimeException,org.apache.wicket.WicketRuntimeException,True
org.apache.wicket.examples.hangman.Win,org.apache.wicket.examples.hangman.Win,True
org.apache.wicket.examples.hangman.Win.Win.(Anon_1),org.apache.wicket.examples.hangman.Win.Win.(Anon_1),True
org.apache.wicket.examples.hangman.HangmanPage,org.apache.wicket.examples.hangman.HangmanPage,True
org.apache.wicket.examples.hangman.Guess,org.apache.wicket.examples.hangman.Guess,False
org.apache.wicket.protocol.http.ReloadingWicketFilter,org.apache.wicket.protocol.http.ReloadingWicketFilter,True
org.apache.wicket.protocol.http.ReloadingWicketFilter.init.(Anon_1),org.apache.wicket.protocol.http.ReloadingWicketFilter.init.(Anon_1),True
org.apache.wicket.application.ReloadingClassLoader,org.apache.wicket.application.ReloadingClassLoader,False
org.apache.wicket.util.listener.IChangeListener,org.apache.wicket.util.listener.IChangeListener,True
org.apache.wicket.protocol.http.WicketFilter,org.apache.wicket.protocol.http.WicketFilter,False
org.apache.wicket.util.lang.Classes,org.apache.wicket.util.lang.Classes,False
org.apache.wicket.Application,org.apache.wicket.Application,False
org.apache.wicket.util.string.Strings,org.apache.wicket.util.string.Strings,False
org.apache.wicket.util.lang.Packages,org.apache.wicket.util.lang.Packages,True
org.apache.wicket.settings.IApplicationSettings,org.apache.wicket.settings.IApplicationSettings,False
org.apache.wicket.application.IClassResolver,org.apache.wicket.application.IClassResolver,True
org.apache.wicket.util.parse.metapattern.parsers.Page2,org.apache.wicket.util.parse.metapattern.parsers.Page2,False
org.apache.wicket.markup.ComponentCreateTag_6,org.apache.wicket.markup.ComponentCreateTag_6,False
org.apache.wicket.resource.loader.IStringResourceLoader,org.apache.wicket.resource.loader.IStringResourceLoader,True
org.apache.wicket.validation.validator.AbstractValidator,org.apache.wicket.validation.validator.AbstractValidator,False
org.apache.wicket.markup.html.form.FormComponent,org.apache.wicket.markup.html.form.FormComponent,False
org.apache.wicket.validation.IValidatable,org.apache.wicket.validation.IValidatable,True
org.apache.wicket.validation.IValidator,org.apache.wicket.validation.IValidator,False
org.apache.wicket.validation.ValidationError,org.apache.wicket.validation.ValidationError,False
org.apache.wicket.ajax.AjaxTimerBehaviorTest,org.apache.wicket.ajax.AjaxTimerBehaviorTest,False
org.apache.wicket.ajax.AjaxTimerBehaviorTest.MyAjaxSelfUpdatingTimerBehavior,org.apache.wicket.ajax.AjaxTimerBehaviorTest.MyAjaxSelfUpdatingTimerBehavior,False
org.apache.wicket.ajax.AjaxTimerBehaviorTest.testAddToAjaxUpdate.(Anon_1),org.apache.wicket.ajax.AjaxTimerBehaviorTest.testAddToAjaxUpdate.(Anon_1),False
org.apache.wicket.ajax.AjaxTimerBehaviorTest.testAddToAjaxUpdate.(Anon_2),org.apache.wicket.ajax.AjaxTimerBehaviorTest.testAddToAjaxUpdate.(Anon_2),False
org.apache.wicket.ajax.AjaxTimerBehaviorTest.testAddToWebPage.(Anon_3),org.apache.wicket.ajax.AjaxTimerBehaviorTest.testAddToWebPage.(Anon_3),False
