old,new,isSame
org.apache.activemq.openwire.v2.DestinationInfoTest,org.apache.activemq.openwire.v2.DestinationInfoTest,True
org.apache.activemq.command.BrokerId,org.apache.activemq.command.BrokerId,True
org.apache.activemq.command.DestinationInfo,org.apache.activemq.command.DestinationInfo,True
org.apache.activemq.openwire.v2.BaseCommandTestSupport,org.apache.activemq.openwire.v2.BaseCommandTestSupport,True
org.apache.activemq.pool.PooledConnectionFactory,org.apache.activemq.pool.PooledConnectionFactory,False
org.apache.activemq.ActiveMQConnection,org.apache.activemq.ActiveMQConnection,False
org.apache.activemq.ActiveMQConnectionFactory,org.apache.activemq.ActiveMQConnectionFactory,False
org.apache.activemq.Service,org.apache.activemq.Service,True
org.apache.activemq.util.IOExceptionSupport,org.apache.activemq.util.IOExceptionSupport,True
org.apache.activemq.pool.ConnectionKey,org.apache.activemq.pool.ConnectionKey,True
org.apache.activemq.pool.ConnectionPool,org.apache.activemq.pool.ConnectionPool,False
org.apache.activemq.pool.PooledConnection,org.apache.activemq.pool.PooledConnection,False
org.apache.activemq.test.JmsResourceProvider,org.apache.activemq.test.JmsResourceProvider,True
org.apache.activemq.openwire.v1.JournalTransactionTest,org.apache.activemq.openwire.v1.JournalTransactionTest,True
org.apache.activemq.command.JournalTransaction,org.apache.activemq.command.JournalTransaction,True
org.apache.activemq.openwire.DataFileGeneratorTestSupport,org.apache.activemq.openwire.DataFileGeneratorTestSupport,True
org.apache.activemq.openwire.v3.SessionIdTest,org.apache.activemq.openwire.v3.SessionIdTest,True
org.apache.activemq.command.SessionId,org.apache.activemq.command.SessionId,True
org.apache.activemq.util.MapHelper,org.apache.activemq.util.MapHelper,True
org.apache.activemq.broker.region.DestinationStatistics,org.apache.activemq.broker.region.DestinationStatistics,False
org.apache.activemq.management.CountStatisticImpl,org.apache.activemq.management.CountStatisticImpl,True
org.apache.activemq.management.PollCountStatisticImpl,org.apache.activemq.management.PollCountStatisticImpl,True
org.apache.activemq.management.StatsImpl,org.apache.activemq.management.StatsImpl,True
org.apache.activemq.management.TimeStatisticImpl,org.apache.activemq.management.TimeStatisticImpl,True
org.apache.activemq.tool.spi.ClassLoaderSPIConnectionFactory,org.apache.activemq.tool.spi.ClassLoaderSPIConnectionFactory,True
org.apache.activemq.tool.spi.SPIConnectionFactory,org.apache.activemq.tool.spi.SPIConnectionFactory,True
org.apache.activemq.openwire.v3.ConsumerControlTest,org.apache.activemq.openwire.v3.ConsumerControlTest,True
org.apache.activemq.command.ConsumerControl,org.apache.activemq.command.ConsumerControl,True
org.apache.activemq.openwire.v3.BaseCommandTestSupport,org.apache.activemq.openwire.v3.BaseCommandTestSupport,True
org.apache.activemq.broker.store.DefaultStoreRecoveryBrokerTest,org.apache.activemq.broker.store.DefaultStoreRecoveryBrokerTest,True
org.apache.activemq.broker.BrokerFactory,org.apache.activemq.broker.BrokerFactory,False
org.apache.activemq.broker.BrokerService,org.apache.activemq.broker.BrokerService,False
org.apache.activemq.broker.RecoveryBrokerTest,org.apache.activemq.broker.RecoveryBrokerTest,False
org.apache.activemq.broker.jmx.QueueViewMBean,org.apache.activemq.broker.jmx.QueueViewMBean,True
org.apache.activemq.broker.jmx.DestinationViewMBean,org.apache.activemq.broker.jmx.DestinationViewMBean,False
org.apache.activemq.transport.TransportLogger,org.apache.activemq.transport.TransportLogger,False
org.apache.activemq.transport.TransportFilter,org.apache.activemq.transport.TransportFilter,False
org.apache.activemq.transport.FutureResponse,org.apache.activemq.transport.FutureResponse,True
org.apache.activemq.transport.ResponseCallback,org.apache.activemq.transport.ResponseCallback,True
org.apache.activemq.transport.Transport,org.apache.activemq.transport.Transport,False
org.apache.activemq.openwire.v3.KeepAliveInfoTest,org.apache.activemq.openwire.v3.KeepAliveInfoTest,True
org.apache.activemq.command.KeepAliveInfo,org.apache.activemq.command.KeepAliveInfo,True
org.apache.activemq.openwire.v2.ConnectionControlTest,org.apache.activemq.openwire.v2.ConnectionControlTest,True
org.apache.activemq.command.ConnectionControl,org.apache.activemq.command.ConnectionControl,True
org.apache.activemq.JmsTopicWildcardSendReceiveTest,org.apache.activemq.JmsTopicWildcardSendReceiveTest,True
org.apache.activemq.command.ActiveMQDestination,org.apache.activemq.command.ActiveMQDestination,True
org.apache.activemq.test.JmsTopicSendReceiveTest,org.apache.activemq.test.JmsTopicSendReceiveTest,True
org.apache.activemq.store.jdbc.JDBCTopicMessageStore,org.apache.activemq.store.jdbc.JDBCTopicMessageStore,True
org.apache.activemq.store.jdbc.JDBCTopicMessageStore.recoverNextMessages.(Anon_2),org.apache.activemq.store.jdbc.JDBCTopicMessageStore.recoverNextMessages.(Anon_2),True
org.apache.activemq.store.jdbc.JDBCTopicMessageStore.recoverSubscription.(Anon_1),org.apache.activemq.store.jdbc.JDBCTopicMessageStore.recoverSubscription.(Anon_1),True
org.apache.activemq.broker.ConnectionContext,org.apache.activemq.broker.ConnectionContext,False
org.apache.activemq.command.ActiveMQTopic,org.apache.activemq.command.ActiveMQTopic,True
org.apache.activemq.command.Message,org.apache.activemq.command.Message,False
org.apache.activemq.command.MessageId,org.apache.activemq.command.MessageId,True
org.apache.activemq.command.SubscriptionInfo,org.apache.activemq.command.SubscriptionInfo,True
org.apache.activemq.store.MessageRecoveryListener,org.apache.activemq.store.MessageRecoveryListener,True
org.apache.activemq.store.TopicMessageStore,org.apache.activemq.store.TopicMessageStore,True
org.apache.activemq.util.ByteSequence,org.apache.activemq.util.ByteSequence,True
