old,new,isSame
org.apache.derby.impl.sql.execute.NormalizeResultSet,org.apache.derby.impl.sql.execute.NormalizeResultSet,False
org.apache.derby.iapi.error.StandardException,org.apache.derby.iapi.error.StandardException,False
org.apache.derby.iapi.reference.SQLState,org.apache.derby.iapi.reference.SQLState,True
org.apache.derby.iapi.services.sanity.SanityManager,org.apache.derby.iapi.services.sanity.SanityManager,True
org.apache.derby.iapi.sql.Activation,org.apache.derby.iapi.sql.Activation,False
org.apache.derby.iapi.sql.ResultColumnDescriptor,org.apache.derby.iapi.sql.ResultColumnDescriptor,True
org.apache.derby.iapi.sql.ResultDescription,org.apache.derby.iapi.sql.ResultDescription,False
org.apache.derby.iapi.sql.execute.CursorResultSet,org.apache.derby.iapi.sql.execute.CursorResultSet,True
org.apache.derby.iapi.sql.execute.ExecRow,org.apache.derby.iapi.sql.execute.ExecRow,False
org.apache.derby.iapi.sql.execute.NoPutResultSet,org.apache.derby.iapi.sql.execute.NoPutResultSet,True
org.apache.derby.iapi.types.DataTypeDescriptor,org.apache.derby.iapi.types.DataTypeDescriptor,False
org.apache.derby.iapi.types.DataValueDescriptor,org.apache.derby.iapi.types.DataValueDescriptor,False
org.apache.derby.iapi.types.RowLocation,org.apache.derby.iapi.types.RowLocation,True
org.apache.derby.impl.sql.execute.NoPutResultSetImpl,org.apache.derby.impl.sql.execute.NoPutResultSetImpl,False
org.apache.derby.shared.common.sanity.SanityManager,org.apache.derby.shared.common.sanity.SanityManager,False
org.apache.derby.iapi.sql.execute.ExecPreparedStatement,org.apache.derby.iapi.sql.execute.ExecPreparedStatement,True
org.apache.derby.iapi.sql.execute.ExecutionFactory,org.apache.derby.iapi.sql.execute.ExecutionFactory,False
org.apache.derby.shared.common.reference.SQLState,org.apache.derby.shared.common.reference.SQLState,False
org.apache.derby.iapi.sql.Row,org.apache.derby.iapi.sql.Row,True
org.apache.derbyTesting.functionTests.tests.derbynet.dblook_test_net,org.apache.derbyTesting.functionTests.tests.derbynet.dblook_test_net,True
org.apache.derbyTesting.functionTests.tests.tools.dblook_test,org.apache.derbyTesting.functionTests.tests.tools.dblook_test,True
org.apache.derby.jdbc.XAStatementControl,org.apache.derby.jdbc.XAStatementControl,True
org.apache.derby.iapi.jdbc.BrokeredConnection,org.apache.derby.iapi.jdbc.BrokeredConnection,False
org.apache.derby.iapi.jdbc.BrokeredStatementControl,org.apache.derby.iapi.jdbc.BrokeredStatementControl,True
org.apache.derby.iapi.jdbc.BrokeredStatement,org.apache.derby.iapi.jdbc.BrokeredStatement,True
org.apache.derby.iapi.jdbc.BrokeredPreparedStatement,org.apache.derby.iapi.jdbc.BrokeredPreparedStatement,False
org.apache.derby.iapi.jdbc.BrokeredCallableStatement,org.apache.derby.iapi.jdbc.BrokeredCallableStatement,False
org.apache.derby.iapi.jdbc.EngineStatement,org.apache.derby.iapi.jdbc.EngineStatement,True
org.apache.derby.impl.jdbc.EmbedConnection,org.apache.derby.impl.jdbc.EmbedConnection,False
org.apache.derby.impl.jdbc.EmbedResultSet,org.apache.derby.impl.jdbc.EmbedResultSet,False
org.apache.derby.impl.jdbc.EmbedStatement,org.apache.derby.impl.jdbc.EmbedStatement,False
org.apache.derby.impl.jdbc.EmbedPreparedStatement,org.apache.derby.impl.jdbc.EmbedPreparedStatement,False
org.apache.derby.jdbc.EmbedXAConnection,org.apache.derby.jdbc.EmbedXAConnection,True
org.apache.derby.jdbc.EmbedPooledConnection,org.apache.derby.jdbc.EmbedPooledConnection,False
org.apache.derby.iapi.types.UserType,org.apache.derby.iapi.types.UserType,True
org.apache.derby.catalog.TypeDescriptor,org.apache.derby.catalog.TypeDescriptor,False
org.apache.derby.iapi.services.io.ArrayInputStream,org.apache.derby.iapi.services.io.ArrayInputStream,False
org.apache.derby.iapi.services.loader.ClassInspector,org.apache.derby.iapi.services.loader.ClassInspector,True
org.apache.derby.iapi.services.io.StoredFormatIds,org.apache.derby.iapi.services.io.StoredFormatIds,False
org.apache.derby.iapi.types.TypeId,org.apache.derby.iapi.types.TypeId,True
org.apache.derby.iapi.types.BooleanDataValue,org.apache.derby.iapi.types.BooleanDataValue,True
