old,new,isSame
org.apache.mahout.ep.State,org.apache.mahout.ep.State,False
org.apache.mahout.ep.Mapping,org.apache.mahout.ep.Mapping,False
org.apache.mahout.clustering.Cluster,org.apache.mahout.clustering.Cluster,False
org.apache.mahout.math.Vector,org.apache.mahout.math.Vector,False
org.apache.mahout.common.RandomUtils,org.apache.mahout.common.RandomUtils,False
org.apache.mahout.examples.MahoutTestCase,org.apache.mahout.examples.MahoutTestCase,True
org.apache.mahout.cf.taste.example.bookcrossing.BookCrossingBooleanRecommenderBuilder,org.apache.mahout.cf.taste.example.bookcrossing.BookCrossingBooleanRecommenderBuilder,True
org.apache.mahout.cf.taste.common.TasteException,org.apache.mahout.cf.taste.common.TasteException,True
org.apache.mahout.cf.taste.eval.RecommenderBuilder,org.apache.mahout.cf.taste.eval.RecommenderBuilder,True
org.apache.mahout.cf.taste.model.DataModel,org.apache.mahout.cf.taste.model.DataModel,False
org.apache.mahout.cf.taste.recommender.Recommender,org.apache.mahout.cf.taste.recommender.Recommender,False
org.apache.mahout.cf.taste.example.bookcrossing.BookCrossingBooleanRecommender,org.apache.mahout.cf.taste.example.bookcrossing.BookCrossingBooleanRecommender,False
org.apache.mahout.common.distance.DistanceMeasure,org.apache.mahout.common.distance.DistanceMeasure,True
org.apache.mahout.math.VectorWritable,org.apache.mahout.math.VectorWritable,False
org.apache.mahout.common.Parameters,org.apache.mahout.common.Parameters,False
org.apache.mahout.common.DummyRecordWriter,org.apache.mahout.common.DummyRecordWriter,False
org.apache.mahout.math.VectorView,org.apache.mahout.math.VectorView,False
org.apache.mahout.math.VectorView.AllIterator,org.apache.mahout.math.VectorView.AllIterator,False
org.apache.mahout.math.VectorView.NonZeroIterator,org.apache.mahout.math.VectorView.NonZeroIterator,False
org.apache.mahout.math.AbstractVector,org.apache.mahout.math.AbstractVector,False
org.apache.mahout.math.Vector.Element,org.apache.mahout.math.Vector.Element,False
org.apache.mahout.math.Matrix,org.apache.mahout.math.Matrix,False
org.apache.mahout.math.IndexException,org.apache.mahout.math.IndexException,True
org.apache.mahout.math.CardinalityException,org.apache.mahout.math.CardinalityException,True
org.apache.mahout.cf.taste.impl.similarity.GenericUserSimilarity,org.apache.mahout.cf.taste.impl.similarity.GenericUserSimilarity,False
org.apache.mahout.cf.taste.impl.similarity.GenericUserSimilarity.DataModelSimilaritiesIterator,org.apache.mahout.cf.taste.impl.similarity.GenericUserSimilarity.DataModelSimilaritiesIterator,False
org.apache.mahout.cf.taste.impl.similarity.GenericUserSimilarity.UserUserSimilarity,org.apache.mahout.cf.taste.impl.similarity.GenericUserSimilarity.UserUserSimilarity,False
org.apache.mahout.cf.taste.common.Refreshable,org.apache.mahout.cf.taste.common.Refreshable,True
org.apache.mahout.cf.taste.impl.common.FastByIDMap,org.apache.mahout.cf.taste.impl.common.FastByIDMap,False
org.apache.mahout.cf.taste.impl.recommender.TopItems,org.apache.mahout.cf.taste.impl.recommender.TopItems,False
org.apache.mahout.cf.taste.similarity.PreferenceInferrer,org.apache.mahout.cf.taste.similarity.PreferenceInferrer,True
org.apache.mahout.cf.taste.similarity.UserSimilarity,org.apache.mahout.cf.taste.similarity.UserSimilarity,True
org.apache.mahout.cf.taste.impl.similarity.file.FileItemItemSimilarityIterable,org.apache.mahout.cf.taste.impl.similarity.file.FileItemItemSimilarityIterable,False
org.apache.mahout.cf.taste.impl.similarity.GenericItemSimilarity,org.apache.mahout.cf.taste.impl.similarity.GenericItemSimilarity,False
org.apache.mahout.cf.taste.impl.similarity.GenericItemSimilarity.ItemItemSimilarity,org.apache.mahout.cf.taste.impl.similarity.GenericItemSimilarity.ItemItemSimilarity,False
org.apache.mahout.cf.taste.impl.similarity.file.FileItemItemSimilarityIterator,org.apache.mahout.cf.taste.impl.similarity.file.FileItemItemSimilarityIterator,False
org.apache.mahout.cf.taste.impl.model.BooleanUserPreferenceArrayTest,org.apache.mahout.cf.taste.impl.model.BooleanUserPreferenceArrayTest,False
org.apache.mahout.cf.taste.impl.TasteTestCase,org.apache.mahout.cf.taste.impl.TasteTestCase,False
org.apache.mahout.cf.taste.impl.model.BooleanUserPreferenceArray,org.apache.mahout.cf.taste.impl.model.BooleanUserPreferenceArray,False
org.apache.mahout.cf.taste.impl.model.GenericPreference,org.apache.mahout.cf.taste.impl.model.GenericPreference,False
org.apache.mahout.cf.taste.impl.model.BooleanPreference,org.apache.mahout.cf.taste.impl.model.BooleanPreference,True
org.apache.mahout.cf.taste.impl.similarity.file.FileItemSimilarityTest,org.apache.mahout.cf.taste.impl.similarity.file.FileItemSimilarityTest,False
org.apache.mahout.cf.taste.similarity.ItemSimilarity,org.apache.mahout.cf.taste.similarity.ItemSimilarity,False
org.apache.mahout.cf.taste.impl.similarity.file.FileItemSimilarity,org.apache.mahout.cf.taste.impl.similarity.file.FileItemSimilarity,False
org.apache.mahout.common.iterator.TestStableFixedSizeSampler,org.apache.mahout.common.iterator.TestStableFixedSizeSampler,False
org.apache.mahout.common.iterator.SamplerCase,org.apache.mahout.common.iterator.SamplerCase,False
org.apache.mahout.common.iterator.StableFixedSizeSamplingIterator,org.apache.mahout.common.iterator.StableFixedSizeSamplingIterator,False
org.apache.mahout.benchmark.VectorBenchmarks,org.apache.mahout.benchmark.VectorBenchmarks,False
org.apache.mahout.common.CommandLineUtil,org.apache.mahout.common.CommandLineUtil,False
org.apache.mahout.common.TimingStatistics,org.apache.mahout.common.TimingStatistics,False
org.apache.mahout.common.commandline.DefaultOptionCreator,org.apache.mahout.common.commandline.DefaultOptionCreator,False
org.apache.mahout.common.distance.CosineDistanceMeasure,org.apache.mahout.common.distance.CosineDistanceMeasure,False
org.apache.mahout.common.distance.EuclideanDistanceMeasure,org.apache.mahout.common.distance.EuclideanDistanceMeasure,True
org.apache.mahout.common.distance.ManhattanDistanceMeasure,org.apache.mahout.common.distance.ManhattanDistanceMeasure,False
org.apache.mahout.common.distance.SquaredEuclideanDistanceMeasure,org.apache.mahout.common.distance.SquaredEuclideanDistanceMeasure,True
org.apache.mahout.common.distance.TanimotoDistanceMeasure,org.apache.mahout.common.distance.TanimotoDistanceMeasure,False
org.apache.mahout.math.DenseVector,org.apache.mahout.math.DenseVector,False
org.apache.mahout.math.RandomAccessSparseVector,org.apache.mahout.math.RandomAccessSparseVector,False
org.apache.mahout.math.SequentialAccessSparseVector,org.apache.mahout.math.SequentialAccessSparseVector,False
org.apache.mahout.common.TimingStatistics.Call,org.apache.mahout.common.TimingStatistics.Call,False
org.apache.mahout.cf.taste.impl.model.MySQLJDBCIDMigrator,org.apache.mahout.cf.taste.impl.model.MySQLJDBCIDMigrator,True
org.apache.mahout.cf.taste.impl.model.AbstractJDBCIDMigrator,org.apache.mahout.cf.taste.impl.model.AbstractJDBCIDMigrator,True
org.apache.mahout.common.MahoutTestCase,org.apache.mahout.common.MahoutTestCase,False
org.apache.mahout.classifier.sgd.CsvRecordFactory,org.apache.mahout.classifier.sgd.CsvRecordFactory,False
org.apache.mahout.classifier.sgd.CsvRecordFactory.firstLine.(Anon_1),org.apache.mahout.classifier.sgd.CsvRecordFactory.firstLine.(Anon_1),False
org.apache.mahout.classifier.sgd.CsvRecordFactory.getPredictors.(Anon_2),org.apache.mahout.classifier.sgd.CsvRecordFactory.getPredictors.(Anon_2),False
org.apache.mahout.vectorizer.encoders.ConstantValueEncoder,org.apache.mahout.vectorizer.encoders.ConstantValueEncoder,False
org.apache.mahout.vectorizer.encoders.ContinuousValueEncoder,org.apache.mahout.vectorizer.encoders.ContinuousValueEncoder,False
org.apache.mahout.vectorizer.encoders.Dictionary,org.apache.mahout.vectorizer.encoders.Dictionary,False
org.apache.mahout.vectorizer.encoders.FeatureVectorEncoder,org.apache.mahout.vectorizer.encoders.FeatureVectorEncoder,False
org.apache.mahout.vectorizer.encoders.StaticWordValueEncoder,org.apache.mahout.vectorizer.encoders.StaticWordValueEncoder,False
org.apache.mahout.vectorizer.encoders.TextValueEncoder,org.apache.mahout.vectorizer.encoders.TextValueEncoder,False
org.apache.mahout.classifier.sgd.RecordFactory,org.apache.mahout.classifier.sgd.RecordFactory,True
org.apache.mahout.cf.taste.impl.common.FullRunningAverageAndStdDev,org.apache.mahout.cf.taste.impl.common.FullRunningAverageAndStdDev,False
org.apache.mahout.cf.taste.impl.common.FullRunningAverage,org.apache.mahout.cf.taste.impl.common.FullRunningAverage,False
org.apache.mahout.cf.taste.impl.common.RunningAverageAndStdDev,org.apache.mahout.cf.taste.impl.common.RunningAverageAndStdDev,False
org.apache.mahout.vectorizer.collocations.llr.CollocMapper,org.apache.mahout.vectorizer.collocations.llr.CollocMapper,False
org.apache.mahout.vectorizer.collocations.llr.CollocMapper.Count,org.apache.mahout.vectorizer.collocations.llr.CollocMapper.Count,False
org.apache.mahout.vectorizer.collocations.llr.CollocMapper.map.(Anon_1),org.apache.mahout.vectorizer.collocations.llr.CollocMapper.map.(Anon_1),False
org.apache.mahout.vectorizer.collocations.llr.CollocMapper.map.(Anon_2),org.apache.mahout.vectorizer.collocations.llr.CollocMapper.map.(Anon_2),False
