old,new,isSame
core\src\main\java\org\apache\mahout\vectorizer\encoders\LuceneTextValueEncoder.java,core\src\main\java\org\apache\mahout\vectorizer\encoders\LuceneTextValueEncoder.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\neighborhood\AbstractUserNeighborhood.java,core\src\main\java\org\apache\mahout\cf\taste\impl\neighborhood\AbstractUserNeighborhood.java,True
core\src\test\java\org\apache\mahout\classifier\sequencelearning\hmm\HMMUtilsTest.java,core\src\test\java\org\apache\mahout\classifier\sequencelearning\hmm\HMMUtilsTest.java,True
math\src\test\java\org\apache\mahout\math\VectorTest.java,math\src\test\java\org\apache\mahout\math\VectorTest.java,True
core\src\main\java\org\apache\mahout\common\iterator\sequencefile\SequenceFileDirValueIterable.java,core\src\main\java\org\apache\mahout\common\iterator\sequencefile\SequenceFileDirValueIterable.java,True
core\src\main\java\org\apache\mahout\common\iterator\sequencefile\SequenceFileIterable.java,core\src\main\java\org\apache\mahout\common\iterator\sequencefile\SequenceFileIterable.java,True
integration\src\main\java\org\apache\mahout\utils\regex\IdentityTransformer.java,integration\src\main\java\org\apache\mahout\utils\regex\IdentityTransformer.java,True
math\src\test\java\org\apache\mahout\math\MahoutTestCase.java,examples\src\test\java\org\apache\mahout\examples\MahoutTestCase.java,False
core\src\main\java\org\apache\mahout\clustering\lda\cvb\CVB0Driver.java,core\src\main\java\org\apache\mahout\clustering\lda\cvb\CVB0Driver.java,True
core\src\main\java\org\apache\mahout\classifier\naivebayes\training\IndexInstancesMapper.java,core\src\main\java\org\apache\mahout\classifier\naivebayes\training\IndexInstancesMapper.java,True
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\string\TopKStringPatterns.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\string\TopKStringPatterns.java,False
math\src\main\java\org\apache\mahout\math\jet\math\Constants.java,math\src\main\java\org\apache\mahout\collections\Constants.java,False
math\src\main\java\org\apache\mahout\math\function\Mult.java,math\src\main\java\org\apache\mahout\math\function\Mult.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\similarity\SpearmanCorrelationSimilarity.java,core\src\main\java\org\apache\mahout\cf\taste\impl\similarity\SpearmanCorrelationSimilarity.java,True
math\src\test\java\org\apache\mahout\math\OldQRDecompositionTest.java,math\src\test\java\org\apache\mahout\math\OldQRDecompositionTest.java,True
core\src\test\java\org\apache\mahout\vectorizer\encoders\WordLikeValueEncoderTest.java,core\src\test\java\org\apache\mahout\vectorizer\encoders\WordLikeValueEncoderTest.java,True
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\AggregatorMapper.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\AggregatorMapper.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\GenericUserBasedRecommender.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\GenericUserBasedRecommender.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\svd\FilePersistenceStrategy.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\svd\FilePersistenceStrategy.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\common\jdbc\EachRowIterator.java,core\src\main\java\org\apache\mahout\cf\taste\impl\common\jdbc\EachRowIterator.java,True
core\src\main\java\org\apache\mahout\cf\taste\hadoop\item\VectorOrPrefWritable.java,core\src\main\java\org\apache\mahout\cf\taste\hadoop\item\VectorOrPrefWritable.java,True
integration\src\main\java\org\apache\mahout\text\MultipleTextFileInputFormat.java,integration\src\main\java\org\apache\mahout\text\MultipleTextFileInputFormat.java,True
core\src\main\java\org\apache\mahout\classifier\df\mapreduce\Builder.java,core\src\main\java\org\apache\mahout\classifier\df\mapreduce\Builder.java,True
core\src\main\java\org\apache\mahout\clustering\iterator\CIMapper.java,core\src\main\java\org\apache\mahout\clustering\iterator\CIMapper.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\svd\ALSWRFactorizer.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\svd\ALSWRFactorizer.java,True
core\src\main\java\org\apache\mahout\math\hadoop\stochasticsvd\SSVDCli.java,core\src\main\java\org\apache\mahout\math\hadoop\stochasticsvd\SSVDCli.java,True
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\svd\DataModelFactorizablePreferences.java,examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\svd\DataModelFactorizablePreferences.java,True
core\src\main\java\org\apache\mahout\common\distance\MahalanobisDistanceMeasure.java,core\src\main\java\org\apache\mahout\common\distance\MahalanobisDistanceMeasure.java,True
core\src\main\java\org\apache\mahout\math\hadoop\stats\StandardDeviationCalculatorReducer.java,core\src\main\java\org\apache\mahout\math\hadoop\stats\StandardDeviationCalculatorReducer.java,True
core\src\main\java\org\apache\mahout\clustering\kmeans\RandomSeedGenerator.java,core\src\main\java\org\apache\mahout\clustering\kmeans\RandomSeedGenerator.java,False
core\src\main\java\org\apache\mahout\cf\taste\hadoop\item\ToUserVectorsReducer.java,core\src\main\java\org\apache\mahout\cf\taste\hadoop\item\ToUserVectorsReducer.java,True
core\src\main\java\org\apache\mahout\math\hadoop\stochasticsvd\DenseBlockWritable.java,core\src\main\java\org\apache\mahout\math\hadoop\stochasticsvd\DenseBlockWritable.java,True
