old,new,isSame
org.apache.maven.plugin.AbstractMojo,org.apache.maven.plugin.AbstractMojo,False
org.apache.maven.plugin.logging.Log,org.apache.maven.plugin.logging.Log,True
org.apache.maven.plugin.logging.SystemStreamLog,org.apache.maven.plugin.logging.SystemStreamLog,True
org.apache.maven.plugin.Mojo,org.apache.maven.plugin.Mojo,True
org.apache.maven.plugin.ContextEnabled,org.apache.maven.plugin.ContextEnabled,True
org.apache.maven.project.TestProjectBuilder,org.apache.maven.project.TestProjectBuilder,False
org.apache.maven.artifact.Artifact,org.apache.maven.artifact.Artifact,False
org.apache.maven.artifact.repository.ArtifactRepository,org.apache.maven.artifact.repository.ArtifactRepository,False
org.apache.maven.project.MavenProject,org.apache.maven.project.MavenProject,False
org.apache.maven.project.ProjectBuildingException,org.apache.maven.project.ProjectBuildingException,False
org.apache.maven.project.ProjectClasspathTest,org.apache.maven.project.ProjectClasspathTest,False
org.apache.maven.project.AbstractMavenProjectTestCase,org.apache.maven.project.AbstractMavenProjectTestCase,False
org.apache.maven.project.ModelUtilsTest,org.apache.maven.project.ModelUtilsTest,False
org.apache.maven.project.ModelUtils,org.apache.maven.project.ModelUtils,False
org.apache.maven.lifecycle.LifecycleExecutionException,org.apache.maven.lifecycle.LifecycleExecutionException,False
org.apache.maven.plugin.AbstractMojoExecutionException,org.apache.maven.plugin.AbstractMojoExecutionException,True
org.apache.maven.plugin.MojoExecutionException,org.apache.maven.plugin.MojoExecutionException,True
org.apache.maven.plugin.MojoFailureException,org.apache.maven.plugin.MojoFailureException,True
org.apache.maven.project.ProjectSorter,org.apache.maven.project.ProjectSorter,False
org.apache.maven.artifact.ArtifactUtils,org.apache.maven.artifact.ArtifactUtils,False
org.apache.maven.project.DuplicateProjectException,org.apache.maven.project.DuplicateProjectException,False
org.apache.maven.artifact.resolver.DefaultArtifactResolver,org.apache.maven.artifact.resolver.DefaultArtifactResolver,False
org.apache.maven.artifact.factory.ArtifactFactory,org.apache.maven.artifact.factory.ArtifactFactory,False
org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException,org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException,False
org.apache.maven.artifact.metadata.ArtifactMetadataSource,org.apache.maven.artifact.metadata.ArtifactMetadataSource,False
org.apache.maven.artifact.metadata.ResolutionGroup,org.apache.maven.artifact.metadata.ResolutionGroup,False
org.apache.maven.artifact.repository.metadata.SnapshotArtifactRepositoryMetadata,org.apache.maven.artifact.repository.metadata.SnapshotArtifactRepositoryMetadata,False
org.apache.maven.artifact.resolver.filter.ArtifactFilter,org.apache.maven.artifact.resolver.filter.ArtifactFilter,True
org.apache.maven.execution.MavenSession,org.apache.maven.execution.MavenSession,False
org.apache.maven.artifact.resolver.ArtifactResolver,org.apache.maven.artifact.resolver.ArtifactResolver,False
org.apache.maven.artifact.resolver.ArtifactCollector,org.apache.maven.artifact.resolver.ArtifactCollector,False
org.apache.maven.artifact.resolver.ArtifactResolutionResult,org.apache.maven.artifact.resolver.ArtifactResolutionResult,False
org.apache.maven.artifact.resolver.ArtifactNotFoundException,org.apache.maven.artifact.resolver.ArtifactNotFoundException,False
org.apache.maven.artifact.resolver.ResolutionNode,org.apache.maven.artifact.resolver.ResolutionNode,False
org.apache.maven.execution.MavenExecutionRequest,org.apache.maven.execution.MavenExecutionRequest,False
org.apache.maven.artifact.resolver.ResolutionListener,org.apache.maven.artifact.resolver.ResolutionListener,False
org.apache.maven.artifact.resolver.DebugResolutionListener,org.apache.maven.artifact.resolver.DebugResolutionListener,False
org.apache.maven.artifact.resolver.WarningResolutionListener,org.apache.maven.artifact.resolver.WarningResolutionListener,False
org.apache.maven.artifact.resolver.ArtifactResolutionException,org.apache.maven.artifact.resolver.ArtifactResolutionException,False
org.apache.maven.lifecycle.Lifecycle,org.apache.maven.lifecycle.Lifecycle,False
org.apache.maven.artifact.resolver.filter.IncludesArtifactFilter,org.apache.maven.artifact.resolver.filter.IncludesArtifactFilter,False
