old,new,isSame
maven-plugin-api\src\main\java\org\apache\maven\plugin\AbstractMojo.java,maven-plugin-api\src\main\java\org\apache\maven\plugin\AbstractMojo.java,False
maven-project\src\test\java\org\apache\maven\project\TestProjectBuilder.java,maven-compat\src\test\java\org\apache\maven\project\TestProjectBuilder.java,False
maven-project\src\test\java\org\apache\maven\project\ModelUtilsTest.java,maven-compat\src\test\java\org\apache\maven\project\ModelUtilsTest.java,False
maven-project\src\main\java\org\apache\maven\project\ProjectSorter.java,maven-core\src\main\java\org\apache\maven\project\ProjectSorter.java,False
maven-artifact-manager\src\main\java\org\apache\maven\artifact\resolver\DefaultArtifactResolver.java,maven-compat\src\main\java\org\apache\maven\artifact\resolver\DefaultArtifactResolver.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\resolver\filter\IncludesArtifactFilter.java,maven-core\src\main\java\org\apache\maven\artifact\resolver\filter\IncludesArtifactFilter.java,False
maven-project\src\main\java\org\apache\maven\project\interpolation\RegexBasedModelInterpolator.java,maven-compat\src\main\java\org\apache\maven\project\interpolation\RegexBasedModelInterpolator.java,False
maven-model\src\test\java\org\apache\maven\model\PluginManagementTest.java,maven-model\src\test\java\org\apache\maven\model\PluginManagementTest.java,True
maven-profile\src\main\java\org\apache\maven\profiles\DefaultMavenProfilesBuilder.java,maven-compat\src\main\java\org\apache\maven\profiles\DefaultMavenProfilesBuilder.java,False
maven-project\src\test\java\org\apache\maven\project\inheritance\t12\ProjectInheritanceTest.java,maven-compat\src\test\java\org\apache\maven\project\inheritance\t07\ProjectInheritanceTest.java,False
maven-core\src\main\java\org\apache\maven\plugin\DebugConfigurationListener.java,maven-core\src\main\java\org\apache\maven\plugin\DebugConfigurationListener.java,False
maven-core\src\main\java\org\apache\maven\cli\CLIManager.java,maven-embedder\src\main\java\org\apache\maven\cli\CLIManager.java,False
maven-project\src\main\java\org\apache\maven\project\interpolation\BuildTimestampValueSource.java,maven-model-builder\src\main\java\org\apache\maven\model\interpolation\BuildTimestampValueSource.java,False
maven-project\src\main\java\org\apache\maven\project\DuplicateProjectException.java,maven-core\src\main\java\org\apache\maven\DuplicateProjectException.java,False
maven-artifact-manager\src\main\java\org\apache\maven\artifact\manager\ChecksumFailedException.java,maven-compat\src\main\java\org\apache\maven\repository\legacy\ChecksumFailedException.java,False
maven-artifact-manager\src\main\java\org\apache\maven\artifact\transform\ReleaseArtifactTransformation.java,maven-compat\src\main\java\org\apache\maven\repository\legacy\resolver\transform\ReleaseArtifactTransformation.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\resolver\AbstractArtifactResolutionException.java,maven-artifact\src\main\java\org\apache\maven\artifact\resolver\AbstractArtifactResolutionException.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\resolver\ResolutionListenerForDepMgmt.java,maven-compat\src\main\java\org\apache\maven\artifact\resolver\ResolutionListenerForDepMgmt.java,False
maven-core\src\main\java\org\apache\maven\DefaultMaven.java,maven-core\src\main\java\org\apache\maven\DefaultMaven.java,False
maven-model\src\test\java\org\apache\maven\model\MailingListTest.java,maven-model\src\test\java\org\apache\maven\model\MailingListTest.java,True
maven-artifact-manager\src\main\java\org\apache\maven\artifact\manager\WagonConfigurationException.java,maven-compat\src\main\java\org\apache\maven\artifact\manager\WagonConfigurationException.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepositoryPolicy.java,maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepositoryPolicy.java,False
maven-artifact-manager\src\test\java\org\apache\maven\artifact\manager\WagonB.java,maven-compat\src\test\java\org\apache\maven\repository\legacy\WagonB.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepositoryFactory.java,maven-compat\src\main\java\org\apache\maven\artifact\repository\ArtifactRepositoryFactory.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\handler\manager\DefaultArtifactHandlerManager.java,maven-core\src\main\java\org\apache\maven\artifact\handler\manager\DefaultArtifactHandlerManager.java,False
maven-core\src\main\java\org\apache\maven\plugin\PluginConfigurationException.java,maven-core\src\main\java\org\apache\maven\plugin\PluginConfigurationException.java,False
maven-toolchain\src\main\java\org\apache\maven\toolchain\java\DefaultJavaToolchainFactory.java,maven-core\src\main\java\org\apache\maven\toolchain\java\DefaultJavaToolchainFactory.java,False
maven-toolchain\src\test\java\org\apache\maven\toolchain\RequirementMatcherFactoryTest.java,maven-core\src\test\java\org\apache\maven\toolchain\RequirementMatcherFactoryTest.java,True
maven-artifact\src\main\java\org\apache\maven\artifact\installer\ArtifactInstallationException.java,maven-compat\src\main\java\org\apache\maven\artifact\installer\ArtifactInstallationException.java,True
maven-artifact-manager\src\main\java\org\apache\maven\artifact\repository\DefaultArtifactRepository.java,maven-compat\src\main\java\org\apache\maven\artifact\repository\DefaultArtifactRepository.java,False
maven-project\src\test\java\org\apache\maven\project\AbstractMavenProjectTestCase.java,maven-compat\src\test\java\org\apache\maven\project\AbstractMavenProjectTestCase.java,False
maven-toolchain\src\main\java\org\apache\maven\toolchain\ToolchainPrivate.java,maven-core\src\main\java\org\apache\maven\toolchain\ToolchainPrivate.java,True
maven-core\src\main\java\org\apache\maven\cli\MavenCli.java,maven-embedder\src\main\java\org\apache\maven\cli\MavenCli.java,False
maven-artifact-manager\src\main\java\org\apache\maven\artifact\manager\WagonConfigurationException.java,maven-compat\src\main\java\org\apache\maven\repository\legacy\WagonConfigurationException.java,False
maven-project\src\main\java\org\apache\maven\project\injection\DefaultProfileInjector.java,maven-model-builder\src\main\java\org\apache\maven\model\profile\DefaultProfileInjector.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\resolver\conflict\ConflictResolver.java,maven-compat\src\main\java\org\apache\maven\repository\legacy\resolver\conflict\ConflictResolver.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\versioning\DefaultArtifactVersion.java,maven-artifact\src\main\java\org\apache\maven\artifact\versioning\DefaultArtifactVersion.java,False
maven-plugin-api\src\main\java\org\apache\maven\plugin\Mojo.java,maven-plugin-api\src\main\java\org\apache\maven\plugin\Mojo.java,True
maven-artifact\src\main\java\org\apache\maven\artifact\metadata\ArtifactMetadata.java,maven-artifact\src\main\java\org\apache\maven\artifact\metadata\ArtifactMetadata.java,False
maven-plugin-descriptor\src\main\java\org\apache\maven\plugin\descriptor\DuplicateMojoDescriptorException.java,maven-plugin-api\src\main\java\org\apache\maven\plugin\descriptor\DuplicateMojoDescriptorException.java,True
maven-settings\src\test\java\org\apache\maven\settings\SettingsUtilsTest.java,maven-core\src\test\java\org\apache\maven\settings\SettingsUtilsTest.java,False
maven-artifact-manager\src\test\java\org\apache\maven\artifact\manager\WagonC.java,maven-compat\src\test\java\org\apache\maven\repository\legacy\WagonC.java,False
maven-core\src\main\java\org\apache\maven\monitor\logging\DefaultLog.java,maven-plugin-api\src\main\java\org\apache\maven\monitor\logging\DefaultLog.java,True
maven-project\src\main\java\org\apache\maven\profiles\activation\OperatingSystemProfileActivator.java,maven-model-builder\src\main\java\org\apache\maven\model\profile\activation\OperatingSystemProfileActivator.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepository.java,maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepository.java,False
maven-artifact\src\main\java\org\apache\maven\artifact\metadata\ArtifactMetadata.java,maven-artifact\src\main\java\org\apache\maven\repository\legacy\metadata\ArtifactMetadata.java,False
maven-project\src\main\java\org\apache\maven\project\interpolation\AbstractStringBasedModelInterpolator.java,maven-compat\src\main\java\org\apache\maven\project\interpolation\AbstractStringBasedModelInterpolator.java,False
maven-core\src\main\java\org\apache\maven\plugin\MojoExecution.java,maven-core\src\main\java\org\apache\maven\plugin\MojoExecution.java,False
maven-model\src\test\java\org\apache\maven\model\ReportSetTest.java,maven-model\src\test\java\org\apache\maven\model\ReportSetTest.java,True
maven-model\src\test\java\org\apache\maven\model\PluginExecutionTest.java,maven-model\src\test\java\org\apache\maven\model\PluginExecutionTest.java,True
maven-plugin-api\src\main\java\org\apache\maven\plugin\AbstractMojoExecutionException.java,maven-plugin-api\src\main\java\org\apache\maven\plugin\AbstractMojoExecutionException.java,True
maven-artifact\src\main\java\org\apache\maven\artifact\resolver\ArtifactResolutionException.java,maven-artifact\src\main\java\org\apache\maven\artifact\resolver\ArtifactResolutionException.java,False
maven-project\src\main\java\org\apache\maven\project\DefaultMavenProjectBuilder.java,maven-compat\src\main\java\org\apache\maven\project\DefaultMavenProjectBuilder.java,False
maven-core\src\main\java\org\apache\maven\plugin\PluginParameterException.java,maven-core\src\main\java\org\apache\maven\plugin\PluginParameterException.java,False
maven-toolchain\src\main\java\org\apache\maven\toolchain\Toolchain.java,maven-core\src\main\java\org\apache\maven\toolchain\Toolchain.java,True
maven-project\src\main\java\org\apache\maven\profiles\activation\SystemPropertyProfileActivator.java,maven-compat\src\main\java\org\apache\maven\profiles\activation\SystemPropertyProfileActivator.java,False
maven-toolchain\src\main\java\org\apache\maven\toolchain\DefaultToolchainManager.java,maven-core\src\main\java\org\apache\maven\toolchain\DefaultToolchainManager.java,False
