old,new,isSame
support\spring\src\test\java\org\apache\shiro\spring\security\interceptor\DefaultTestService.java,support\spring\src\test\java\org\apache\shiro\spring\security\interceptor\DefaultTestService.java,True
core\src\main\java\org\apache\shiro\subject\support\DisabledSessionException.java,core\src\main\java\org\apache\shiro\subject\support\DisabledSessionException.java,True
core\src\test\java\org\apache\shiro\authz\AuthorizationExceptionTest.java,core\src\test\java\org\apache\shiro\authz\AuthorizationExceptionTest.java,True
core\src\main\java\org\apache\shiro\util\ThreadState.java,core\src\main\java\org\apache\shiro\util\ThreadState.java,True
core\src\main\java\org\apache\shiro\aop\MethodInvocation.java,core\src\main\java\org\apache\shiro\aop\MethodInvocation.java,True
core\src\main\java\org\apache\shiro\realm\ldap\DefaultLdapContextFactory.java,core\src\main\java\org\apache\shiro\realm\ldap\DefaultLdapContextFactory.java,True
support\ehcache\src\main\java\org\apache\shiro\cache\ehcache\package-info.java,core\src\main\java\org\apache\shiro\ldap\package-info.java,False
support\guice\src\main\java\org\apache\shiro\guice\ShiroModule.java,support\guice\src\main\java\org\apache\shiro\guice\ShiroModule.java,False
core\src\test\java\org\apache\shiro\authz\permission\AllPermissionTest.java,core\src\test\java\org\apache\shiro\authz\permission\AllPermissionTest.java,True
support\ehcache\src\main\java\org\apache\shiro\cache\ehcache\package-info.java,core\src\main\java\org\apache\shiro\util\package-info.java,False
core\src\main\java\org\apache\shiro\session\mgt\SessionValidationScheduler.java,core\src\main\java\org\apache\shiro\session\mgt\SessionValidationScheduler.java,True
core\src\main\java\org\apache\shiro\mgt\AuthorizingSecurityManager.java,core\src\main\java\org\apache\shiro\mgt\AuthorizingSecurityManager.java,True
core\src\main\java\org\apache\shiro\session\mgt\SimpleSessionFactory.java,core\src\main\java\org\apache\shiro\session\mgt\SimpleSessionFactory.java,True
web\src\main\java\org\apache\shiro\web\servlet\ServletContextSupport.java,web\src\main\java\org\apache\shiro\web\servlet\ServletContextSupport.java,True
core\src\test\java\org\apache\shiro\io\SerializationExceptionTest.java,core\src\test\java\org\apache\shiro\io\SerializationExceptionTest.java,True
web\src\main\java\org\apache\shiro\web\env\IniWebEnvironment.java,web\src\main\java\org\apache\shiro\web\env\IniWebEnvironment.java,True
core\src\main\java\org\apache\shiro\jndi\JndiTemplate.java,core\src\main\java\org\apache\shiro\jndi\JndiTemplate.java,True
web\src\test\java\org\apache\shiro\web\filter\authz\HttpMethodPermissionFilterTest.java,web\src\test\java\org\apache\shiro\web\filter\authz\HttpMethodPermissionFilterTest.java,True
