old,new,isSame
lens\src\main\java\org\apache\zeppelin\lens\LensJLineShellComponent.java,lens\src\main\java\org\apache\zeppelin\lens\LensJLineShellComponent.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterUtils.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterUtils.java,True
spark\src\main\java\org\apache\zeppelin\spark\dep\Booter.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\Booter.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\socket\NotebookSocketListener.java,zeppelin-server\src\main\java\org\apache\zeppelin\socket\NotebookSocketListener.java,False
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\NotebookRepoSyncInitializationTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\NotebookRepoSyncInitializationTest.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\GitNotebookRepo.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\GitNotebookRepo.java,False
cassandra\src\main\java\org\apache\zeppelin\cassandra\ParsingException.java,cassandra\src\main\java\org\apache\zeppelin\cassandra\ParsingException.java,True
postgresql\src\main\java\org\apache\zeppelin\postgresql\PostgreSqlInterpreter.java,postgresql\src\main\java\org\apache\zeppelin\postgresql\PostgreSqlInterpreter.java,False
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\NotebookTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\NotebookTest.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterContextTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterContextTest.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\ClassloaderInterpreter.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\ClassloaderInterpreter.java,False
spark\src\main\java\org\apache\zeppelin\spark\dep\DependencyContext.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\DependencyContext.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterTest.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterTest.java,True
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterProcessTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterProcessTest.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\S3NotebookRepo.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\S3NotebookRepo.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\ClientFactory.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\ClientFactory.java,True
spark\src\main\java\org\apache\zeppelin\spark\dep\DependencyResolver.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\DependencyResolver.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\JobListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\JobListener.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\search\LuceneSearch.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\search\LuceneSearch.java,False
angular\src\main\java\org\apache\zeppelin\angular\AngularInterpreter.java,angular\src\main\java\org\apache\zeppelin\angular\AngularInterpreter.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\mock\MockInterpreterAngular.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\mock\MockInterpreterAngular.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\SchedulerFactory.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\SchedulerFactory.java,False
spark\src\test\java\org\apache\zeppelin\spark\SparkVersionTest.java,spark\src\test\java\org\apache\zeppelin\spark\SparkVersionTest.java,True
zeppelin-interpreter\src\test\java\org\apache\zeppelin\display\AngularObjectTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\display\AngularObjectTest.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\NotebookRepoSync.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\NotebookRepoSync.java,False
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\ParagraphTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\ParagraphTest.java,False
spark\src\main\java\org\apache\zeppelin\spark\SparkSqlInterpreter.java,spark\src\main\java\org\apache\zeppelin\spark\SparkSqlInterpreter.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObjectRegistryListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObjectRegistryListener.java,False
flink\src\main\java\org\apache\zeppelin\flink\FlinkInterpreter.java,flink\src\main\java\org\apache\zeppelin\flink\FlinkInterpreter.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterPropertyBuilder.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterPropertyBuilder.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NoteInterpreterLoader.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NoteInterpreterLoader.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterEventType.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterEventType.java,False
spark\src\test\java\org\apache\zeppelin\spark\dep\DependencyResolverTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\dep\DependencyResolverTest.java,False
spark\src\main\java\org\apache\zeppelin\spark\DepInterpreter.java,spark\src\main\java\org\apache\zeppelin\spark\DepInterpreter.java,False
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\GitNotebookRepoTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\GitNotebookRepoTest.java,False
geode\src\main\java\org\apache\zeppelin\geode\GeodeOqlInterpreter.java,geode\src\main\java\org\apache\zeppelin\geode\GeodeOqlInterpreter.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\rest\InterpreterRestApi.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\InterpreterRestApi.java,False
cassandra\src\main\java\org\apache\zeppelin\cassandra\CassandraInterpreter.java,cassandra\src\main\java\org\apache\zeppelin\cassandra\CassandraInterpreter.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\scheduler\ParallelSchedulerTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\scheduler\ParallelSchedulerTest.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterResult.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterResult.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\Input.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\Input.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterException.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterException.java,True
zeppelin-interpreter\src\test\java\org\apache\zeppelin\scheduler\RemoteSchedulerTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\scheduler\RemoteSchedulerTest.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\UpdateInterpreterSettingRequest.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\UpdateInterpreterSettingRequest.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\RemoteAngularObjectTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\RemoteAngularObjectTest.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\CronRequest.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\CronRequest.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\security\SecurityUtilsTest.java,zeppelin-server\src\test\java\org\apache\zeppelin\security\SecurityUtilsTest.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\utility\IdHashes.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\utility\IdHashes.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\JobListenerFactory.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\JobListenerFactory.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\display\InputTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\display\InputTest.java,False
zeppelin-server\src\test\java\org\apache\zeppelin\rest\ZeppelinSparkClusterTest.java,zeppelin-server\src\test\java\org\apache\zeppelin\rest\ZeppelinSparkClusterTest.java,False
geode\src\test\java\org\apache\zeppelin\geode\GeodeOqlInterpreterTest.java,geode\src\test\java\org\apache\zeppelin\geode\GeodeOqlInterpreterTest.java,True
shell\src\main\java\org\apache\zeppelin\shell\ShellInterpreter.java,shell\src\main\java\org\apache\zeppelin\shell\ShellInterpreter.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterContext.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterContext.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\SchedulerListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\SchedulerListener.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObject.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObject.java,False
spark\src\test\java\org\apache\zeppelin\spark\SparkInterpreterTest.java,spark\src\test\java\org\apache\zeppelin\spark\SparkInterpreterTest.java,False
postgresql\src\test\java\org\apache\zeppelin\postgresql\PostgreSqlInterpreterTest.java,postgresql\src\test\java\org\apache\zeppelin\postgresql\PostgreSqlInterpreterTest.java,True
scalding\src\main\java\org\apache\zeppelin\scalding\ScaldingInterpreter.java,scalding\src\main\java\org\apache\zeppelin\scalding\ScaldingInterpreter.java,False
spark\src\main\java\org\apache\zeppelin\spark\dep\Dependency.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\Dependency.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\InterpreterSettingListForNoteBind.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\InterpreterSettingListForNoteBind.java,False
elasticsearch\src\main\java\org\apache\zeppelin\elasticsearch\ElasticsearchInterpreter.java,elasticsearch\src\main\java\org\apache\zeppelin\elasticsearch\ElasticsearchInterpreter.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterContext.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterContext.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\RunParagraphWithParametersRequest.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\RunParagraphWithParametersRequest.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\conf\ZeppelinConfigurationTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\conf\ZeppelinConfigurationTest.java,False
ignite\src\test\java\org\apache\zeppelin\ignite\Person.java,ignite\src\test\java\org\apache\zeppelin\ignite\Person.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NoteInfo.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NoteInfo.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\FIFOScheduler.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\FIFOScheduler.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterProcess.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterProcess.java,False
ignite\src\test\java\org\apache\zeppelin\ignite\IgniteSqlInterpreterTest.java,ignite\src\test\java\org\apache\zeppelin\ignite\IgniteSqlInterpreterTest.java,False
lens\src\main\java\org\apache\zeppelin\lens\LensBootstrap.java,lens\src\main\java\org\apache\zeppelin\lens\LensBootstrap.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterFactory.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterFactory.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\mock\MockInterpreterA.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\remote\mock\MockInterpreterA.java,False
spark\src\main\java\org\apache\zeppelin\spark\dep\Repository.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\Repository.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterInfoSaving.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterInfoSaving.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\Note.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\Note.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterProperty.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterProperty.java,False
zeppelin-server\src\test\java\com\webautomation\ScreenCaptureHtmlUnitDriver.java,zeppelin-server\src\test\java\com\webautomation\ScreenCaptureHtmlUnitDriver.java,False
zeppelin-server\src\test\java\org\apache\zeppelin\ZeppelinITUtils.java,zeppelin-server\src\test\java\org\apache\zeppelin\ZeppelinITUtils.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\socket\Message.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\socket\Message.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\conf\ZeppelinConfiguration.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\conf\ZeppelinConfiguration.java,False
