old,new,isSame
src\java\org\apache\velocity\app\Velocity.java,src\java\org\apache\velocity\app\Velocity.java,False
src\java\org\apache\velocity\runtime\parser\node\ASTOrNode.java,src\java\org\apache\velocity\runtime\parser\node\ASTOrNode.java,False
src\java\org\apache\velocity\runtime\resource\ResourceManagerImpl.java,src\java\org\apache\velocity\runtime\resource\ResourceManagerImpl.java,False
src\java\org\apache\velocity\runtime\resource\loader\FileResourceLoader.java,src\java\org\apache\velocity\runtime\resource\loader\FileResourceLoader.java,False
src\java\org\apache\velocity\util\introspection\VelPropertyGet.java,src\java\org\apache\velocity\util\introspection\VelPropertyGet.java,True
src\java\org\apache\velocity\test\TemplateTestSuite.java,src\test\org\apache\velocity\test\TemplateTestSuite.java,False
test\classloader\Foo.java,test\classloader\Foo.java,True
src\java\org\apache\velocity\runtime\parser\node\AbstractExecutor.java,src\java\org\apache\velocity\runtime\parser\node\AbstractExecutor.java,False
src\java\org\apache\velocity\anakia\XPathTool.java,src\java\org\apache\velocity\anakia\XPathTool.java,True
src\java\org\apache\velocity\runtime\parser\node\ASTEscape.java,src\java\org\apache\velocity\runtime\parser\node\ASTEscape.java,False
src\java\org\apache\velocity\runtime\directive\Include.java,src\java\org\apache\velocity\runtime\directive\Include.java,False
src\java\org\apache\velocity\runtime\parser\node\ASTSubtractNode.java,src\java\org\apache\velocity\runtime\parser\node\ASTSubtractNode.java,False
src\java\org\apache\velocity\exception\VelocityException.java,src\java\org\apache\velocity\exception\VelocityException.java,False
src\java\org\apache\velocity\runtime\parser\ParserTokenManager.java,src\java\org\apache\velocity\runtime\parser\ParserTokenManager.java,False
src\java\org\apache\velocity\runtime\parser\node\ASTLTNode.java,src\java\org\apache\velocity\runtime\parser\node\ASTLTNode.java,False
src\java\org\apache\velocity\util\introspection\IntrospectionCacheData.java,src\java\org\apache\velocity\util\introspection\IntrospectionCacheData.java,True
src\java\org\apache\velocity\runtime\directive\DirectiveConstants.java,src\java\org\apache\velocity\runtime\directive\DirectiveConstants.java,True
src\java\org\apache\velocity\anakia\Escape.java,src\java\org\apache\velocity\anakia\Escape.java,False
test\texen-classpath\compare\TurbineWeatherService.java,test\texen-classpath\compare\TurbineWeatherService.java,True
test\texen-classpath\results\WeatherService.java,test\texen-classpath\compare\WeatherService.java,True
src\java\org\apache\velocity\test\provider\BoolObj.java,src\test\org\apache\velocity\test\provider\BoolObj.java,True
src\java\org\apache\velocity\app\tools\VelocityFormatter.java,src\java\org\apache\velocity\runtime\log\VelocityFormatter.java,False
src\java\org\apache\velocity\runtime\parser\node\ASTMulNode.java,src\java\org\apache\velocity\runtime\parser\node\ASTMulNode.java,False
test\texen-classpath\compare\TurbineWeather.java,test\texen\compare\TurbineWeather.java,True
src\java\org\apache\velocity\runtime\parser\node\ASTDivNode.java,src\java\org\apache\velocity\runtime\parser\node\ASTDivNode.java,False
src\java\org\apache\velocity\test\ContextSafetyTestCase.java,src\test\org\apache\velocity\test\ContextSafetyTestCase.java,False
src\java\org\apache\velocity\runtime\directive\Directive.java,src\java\org\apache\velocity\runtime\directive\Directive.java,False
src\java\org\apache\velocity\test\TexenClasspathTestCase.java,src\test\org\apache\velocity\test\TexenClasspathTestCase.java,False
src\java\org\apache\velocity\runtime\visitor\NodeViewMode.java,src\java\org\apache\velocity\runtime\visitor\NodeViewMode.java,False
src\java\org\apache\velocity\runtime\directive\Literal.java,src\java\org\apache\velocity\runtime\directive\Literal.java,False
src\java\org\apache\velocity\test\MultiLoaderTestCase.java,src\test\org\apache\velocity\test\MultiLoaderTestCase.java,False
src\java\org\apache\velocity\util\introspection\VelMethod.java,src\java\org\apache\velocity\util\introspection\VelMethod.java,True
src\java\org\apache\velocity\test\BaseTestCase.java,src\test\org\apache\velocity\test\BaseTestCase.java,False
src\java\org\apache\velocity\Template.java,src\java\org\apache\velocity\Template.java,False
src\java\org\apache\velocity\runtime\log\Log4JLogSystem.java,src\java\org\apache\velocity\runtime\log\Log4JLogSystem.java,False
