old,new,isSame
src\org\apache\xml\serializer\EmptySerializer.java,src\org\apache\xml\serializer\EmptySerializer.java,False
src\org\apache\xml\utils\QName.java,src\org\apache\xml\utils\QName.java,False
src\org\apache\xpath\compiler\FunctionTable.java,src\org\apache\xpath\compiler\FunctionTable.java,False
samples\servlet\ApplyXSLTProperties.java,samples\servlet\ApplyXSLTProperties.java,True
src\org\apache\xml\utils\SecuritySupport.java,src\org\apache\xalan\xsltc\compiler\util\SecuritySupport.java,False
src\org\apache\xalan\extensions\ExtensionsTable.java,src\org\apache\xalan\extensions\ExtensionsTable.java,True
src\org\apache\xpath\ExtensionsProvider.java,src\org\apache\xpath\ExtensionsProvider.java,True
src\org\apache\xalan\xsltc\runtime\ErrorMessages_pt_BR.java,src\org\apache\xalan\xsltc\compiler\util\ErrorMessages_pt_BR.java,False
src\org\apache\xalan\xsltc\compiler\util\MatchGenerator.java,src\org\apache\xalan\xsltc\compiler\util\MatchGenerator.java,True
src\org\apache\xalan\transformer\TrAXFilter.java,src\org\apache\xalan\transformer\TrAXFilter.java,False
src\org\apache\xml\serializer\SerializerTraceWriter.java,src\org\apache\xml\serializer\SerializerTraceWriter.java,False
src\org\apache\xpath\axes\WalkerFactory.java,src\org\apache\xpath\axes\WalkerFactory.java,False
src\org\apache\xml\res\XMLErrorResources_hu.java,src\org\apache\xml\res\XMLErrorResources_hu.java,False
samples\servlet\ApplyXSLT.java,samples\servlet\ApplyXSLT.java,True
src\org\apache\xalan\xsltc\compiler\RoundCall.java,src\org\apache\xalan\xsltc\compiler\RoundCall.java,True
src\org\apache\xpath\operations\Bool.java,src\org\apache\xpath\operations\Bool.java,False
src\org\apache\xml\dtm\ref\CoroutineParser.java,src\org\apache\xml\dtm\ref\CoroutineParser.java,True
src\org\apache\xalan\extensions\ObjectFactory.java,src\org\apache\xalan\xsltc\compiler\ObjectFactory.java,False
src\org\apache\xpath\domapi\XPathEvaluatorImpl.java,src\org\apache\xpath\domapi\XPathEvaluatorImpl.java,False
src\org\apache\xpath\functions\FuncSubstringAfter.java,src\org\apache\xpath\functions\FuncSubstringAfter.java,False
src\org\apache\xpath\axes\NodeSequence.java,src\org\apache\xpath\axes\NodeSequence.java,False
src\org\apache\xalan\xsltc\runtime\ErrorMessages.java,src\org\apache\xalan\xsltc\compiler\util\ErrorMessages.java,False
src\org\apache\xalan\templates\ElemCopy.java,src\org\apache\xalan\templates\ElemCopy.java,False
src\org\apache\xml\dtm\DTMException.java,src\org\apache\xml\dtm\DTMException.java,False
src\org\apache\xalan\xsltc\compiler\util\FilterGenerator.java,src\org\apache\xalan\xsltc\compiler\util\FilterGenerator.java,True
src\org\apache\xml\utils\StringBufferPool.java,src\org\apache\xml\utils\StringBufferPool.java,True
src\org\apache\xpath\res\XPATHErrorResources_fr.java,src\org\apache\xpath\res\XPATHErrorResources_fr.java,False
src\org\apache\xalan\xsltc\dom\NodeIteratorBase.java,src\org\apache\xalan\xsltc\dom\NodeIteratorBase.java,True
src\org\apache\xalan\templates\VarNameCollector.java,src\org\apache\xalan\templates\VarNameCollector.java,True
src\org\apache\xpath\res\XPATHErrorResources_hu.java,src\org\apache\xpath\res\XPATHErrorResources_hu.java,False
src\org\apache\xalan\xsltc\compiler\EqualityExpr.java,src\org\apache\xalan\xsltc\compiler\EqualityExpr.java,False
src\org\apache\xpath\operations\String.java,src\org\apache\xpath\operations\String.java,False
src\org\apache\xalan\extensions\ExpressionVisitor.java,src\org\apache\xalan\extensions\ExpressionVisitor.java,True
samples\Validate\ValidateXMLInput.java,samples\Validate\ValidateXMLInput.java,True
src\org\apache\xml\dtm\ref\dom2dtm\DOM2DTMdefaultNamespaceDeclarationNode.java,src\org\apache\xml\dtm\ref\dom2dtm\DOM2DTMdefaultNamespaceDeclarationNode.java,False
src\org\apache\xalan\templates\KeyDeclaration.java,src\org\apache\xalan\templates\KeyDeclaration.java,False
src\org\apache\xalan\xsltc\compiler\Fallback.java,src\org\apache\xalan\xsltc\compiler\Fallback.java,True
src\org\apache\xalan\templates\FuncDocument.java,src\org\apache\xalan\templates\FuncDocument.java,False
src\org\apache\xpath\res\XPATHMessages.java,src\org\apache\xpath\res\XPATHMessages.java,True
src\org\apache\xalan\res\XSLTErrorResources_pt_BR.java,src\org\apache\xalan\res\XSLTErrorResources_pt_BR.java,False
src\org\apache\xpath\axes\DescendantIterator.java,src\org\apache\xpath\axes\DescendantIterator.java,False
src\org\apache\xalan\templates\AVTPartXPath.java,src\org\apache\xalan\templates\AVTPartXPath.java,False
src\org\apache\xml\utils\SecuritySupport.java,src\org\apache\xalan\xsltc\cmdline\SecuritySupport.java,False
src\org\apache\xalan\xsltc\compiler\util\ResultTreeType.java,src\org\apache\xalan\xsltc\compiler\util\ResultTreeType.java,True
src\org\apache\xalan\xsltc\compiler\Whitespace.java,src\org\apache\xalan\xsltc\compiler\Whitespace.java,True
src\org\apache\xml\utils\DOMHelper.java,src\org\apache\xml\utils\DOMHelper.java,False
