old,new,isSame
org.apache.xerces.readers.XMLEntityReaderFactory,org.apache.xerces.readers.XMLEntityReaderFactory,True
org.apache.xerces.framework.XMLErrorReporter,org.apache.xerces.framework.XMLErrorReporter,True
org.apache.xerces.utils.StringPool,org.apache.xerces.utils.StringPool,True
org.xml.sax.InputSource,org.xml.sax.InputSource,True
org.apache.xerces.readers.XMLDeclRecognizer,org.apache.xerces.readers.XMLDeclRecognizer,True
org.apache.xerces.readers.XMLEntityHandler.EntityReader,org.apache.xerces.readers.XMLEntityHandler.EntityReader,True
org.apache.xerces.readers.XMLEntityHandler,org.apache.xerces.readers.XMLEntityHandler,True
org.xml.sax.SAXException,org.xml.sax.SAXException,True
org.apache.xerces.msg.ImplementationMessages,org.apache.xerces.msg.ImplementationMessages,True
javax.xml.parsers.ParserConfigurationException,javax.xml.parsers.ParserConfigurationException,True
org.apache.html.dom.HTMLAreaElementImpl,org.apache.html.dom.HTMLAreaElementImpl,False
org.apache.html.dom.HTMLElementImpl,org.apache.html.dom.HTMLElementImpl,True
org.w3c.dom.html.HTMLAreaElement,org.w3c.dom.html.HTMLAreaElement,True
org.apache.html.dom.HTMLDocumentImpl,org.apache.html.dom.HTMLDocumentImpl,False
org.apache.xerces.validators.datatype.DatatypeValidatorFactory,org.apache.xerces.validators.datatype.DatatypeValidatorFactory,True
org.apache.xerces.validators.schema.SchemaSymbols,org.apache.xerces.validators.schema.SchemaSymbols,False
org.apache.xerces.validators.datatype.DatatypeValidator,org.apache.xerces.validators.datatype.DatatypeValidator,True
org.apache.xerces.validators.datatype.InvalidDatatypeFacetException,org.apache.xerces.validators.datatype.InvalidDatatypeFacetException,True
org.w3c.dom.html.HTMLInputElement,org.w3c.dom.html.HTMLInputElement,True
org.w3c.dom.html.HTMLElement,org.w3c.dom.html.HTMLElement,True
org.w3c.dom.html.HTMLFormElement,org.w3c.dom.html.HTMLFormElement,True
org.w3c.dom.CDATASection,org.w3c.dom.CDATASection,True
org.w3c.dom.Text,org.w3c.dom.Text,True
org.apache.wml.WMLDOMImplementation,org.apache.wml.WMLDOMImplementation,True
org.w3c.dom.DOMImplementation,org.w3c.dom.DOMImplementation,True
org.apache.xerces.dom.DocumentImpl,org.apache.xerces.dom.DocumentImpl,False
org.w3c.dom.Element,org.w3c.dom.Element,True
org.apache.xerces.dom.NodeImpl,org.apache.xerces.dom.NodeImpl,False
org.w3c.dom.Node,org.w3c.dom.Node,False
org.apache.wml.dom.WMLAccessElementImpl,org.apache.wml.dom.WMLAccessElementImpl,True
