old,new,isSame
samples\dom\traversal\NameNodeFilter.java,samples\dom\traversal\NameNodeFilter.java,True
src\org\w3c\dom\html\HTMLTitleElement.java,src\org\w3c\dom\html\HTMLTitleElement.java,True
src\org\xml\sax\helpers\NamespaceSupport.java,src\org\xml\sax\helpers\NamespaceSupport.java,True
src\org\apache\xerces\validators\common\CMLeaf.java,src\org\apache\xerces\validators\common\CMLeaf.java,True
src\org\apache\xerces\framework\XMLContentSpec.java,src\org\apache\xerces\framework\XMLContentSpec.java,False
src\whiteboard\org\apache\xerces\tree\ParentNode.java,src\org\apache\xerces\dom\ParentNode.java,False
src\whiteboard\org\apache\xerces\tree\NodeBase.java,src\whiteboard\org\apache\xerces\tree\NodeBase.java,True
src\org\apache\xerces\dom\NodeIteratorImpl.java,src\org\apache\xerces\dom\NodeIteratorImpl.java,False
src\org\apache\xerces\validators\schema\identity\KeyRef.java,src\org\apache\xerces\validators\schema\identity\KeyRef.java,False
src\org\apache\wml\dom\WMLPrevElementImpl.java,src\org\apache\wml\dom\WMLPrevElementImpl.java,True
src\org\apache\xerces\dom\ElementNSImpl.java,src\org\apache\xerces\dom\ElementNSImpl.java,False
src\org\apache\xerces\utils\regex\ParserForXMLSchema.java,src\org\apache\xerces\utils\regex\ParserForXMLSchema.java,False
src\org\apache\wml\WMLDoElement.java,src\org\apache\wml\WMLDoElement.java,True
src\org\apache\wml\WMLPrevElement.java,src\org\apache\wml\WMLPrevElement.java,True
src\org\apache\xerces\jaxp\DocumentBuilderFactoryImpl.java,src\org\apache\xerces\jaxp\DocumentBuilderFactoryImpl.java,False
src\whiteboard\org\apache\xerces\tree\SimpleElementFactory.java,src\whiteboard\org\apache\xerces\tree\SimpleElementFactory.java,True
src\org\apache\html\dom\HTMLLinkElementImpl.java,src\org\apache\html\dom\HTMLLinkElementImpl.java,True
src\org\apache\html\dom\HTMLCollectionImpl.java,src\org\apache\html\dom\HTMLCollectionImpl.java,True
src\org\apache\html\dom\HTMLMetaElementImpl.java,src\org\apache\html\dom\HTMLMetaElementImpl.java,True
src\org\w3c\dom\events\DocumentEvent.java,src\org\w3c\dom\events\DocumentEvent.java,True
src\org\w3c\dom\html\HTMLElement.java,src\org\w3c\dom\html\HTMLElement.java,True
src\org\apache\wml\dom\WMLSetvarElementImpl.java,src\org\apache\wml\dom\WMLSetvarElementImpl.java,True
src\org\w3c\dom\html\HTMLBRElement.java,src\org\w3c\dom\html\HTMLBRElement.java,True
src\org\apache\xerces\framework\XMLErrorReporter.java,src\org\apache\xerces\framework\XMLErrorReporter.java,True
src\org\apache\wml\WMLTrElement.java,src\org\apache\wml\WMLTrElement.java,True
src\org\apache\xerces\validators\dtd\DTDGrammar.java,src\org\apache\xerces\validators\dtd\DTDGrammar.java,False
src\org\apache\xerces\validators\schema\identity\FieldActivator.java,src\org\apache\xerces\validators\schema\identity\FieldActivator.java,True
src\org\apache\xerces\dom\DocumentFragmentImpl.java,src\org\apache\xerces\dom\DocumentFragmentImpl.java,False
src\org\apache\html\dom\HTMLTextAreaElementImpl.java,src\org\apache\html\dom\HTMLTextAreaElementImpl.java,True
samples\dom\DOMParserWrapper.java,samples\dom\DOMParserWrapper.java,True
src\org\xml\sax\InputSource.java,src\org\xml\sax\InputSource.java,True
src\whiteboard\org\apache\xerces\tree\XmlChars.java,src\whiteboard\org\apache\xerces\tree\XmlChars.java,True
src\org\apache\html\dom\HTMLHtmlElementImpl.java,src\org\apache\html\dom\HTMLHtmlElementImpl.java,True
src\whiteboard\org\apache\xerces\tree\PINode.java,src\whiteboard\org\apache\xerces\tree\PINode.java,True
src\org\apache\html\dom\HTMLTableElementImpl.java,src\org\apache\html\dom\HTMLTableElementImpl.java,True
src\javax\xml\parsers\FactoryConfigurationError.java,src\javax\xml\parsers\FactoryConfigurationError.java,False
src\org\w3c\dom\html\HTMLModElement.java,src\org\w3c\dom\html\HTMLModElement.java,True
src\whiteboard\org\apache\xerces\tree\AttributeSet.java,src\whiteboard\org\apache\xerces\tree\AttributeSet.java,True
src\whiteboard\org\apache\xerces\tree\Resolver.java,src\whiteboard\org\apache\xerces\tree\Resolver.java,True
src\org\apache\html\dom\HTMLHeadingElementImpl.java,src\org\apache\html\dom\HTMLHeadingElementImpl.java,True
src\org\apache\html\dom\HTMLHRElementImpl.java,src\org\apache\html\dom\HTMLHRElementImpl.java,True
src\org\apache\xerces\validators\common\Grammar.java,src\org\apache\xerces\validators\common\Grammar.java,False
src\org\apache\html\dom\HTMLScriptElementImpl.java,src\org\apache\html\dom\HTMLScriptElementImpl.java,True
src\org\apache\xerces\utils\regex\BMPattern.java,src\org\apache\xerces\utils\regex\BMPattern.java,True
src\org\apache\html\dom\HTMLParamElementImpl.java,src\org\apache\html\dom\HTMLParamElementImpl.java,True
samples\sax\helpers\AttributeListImpl.java,src\org\xml\sax\helpers\AttributeListImpl.java,False
samples\sax\helpers\AttributesImpl.java,samples\sax\helpers\AttributesImpl.java,True
src\org\apache\html\dom\HTMLHeadElementImpl.java,src\org\apache\html\dom\HTMLHeadElementImpl.java,True
src\org\apache\wml\dom\WMLRefreshElementImpl.java,src\org\apache\wml\dom\WMLRefreshElementImpl.java,True
src\org\apache\html\dom\HTMLTableColElementImpl.java,src\org\apache\html\dom\HTMLTableColElementImpl.java,True
src\org\apache\xerces\dom\DeferredElementDefinitionImpl.java,src\org\apache\xerces\dom\DeferredElementDefinitionImpl.java,False
src\org\apache\xerces\readers\XMLCatalogHandler.java,src\org\apache\xerces\readers\XMLCatalogHandler.java,True
src\org\apache\wml\dom\WMLOptionElementImpl.java,src\org\apache\wml\dom\WMLOptionElementImpl.java,True
src\org\w3c\dom\traversal\TreeWalker.java,src\org\w3c\dom\traversal\TreeWalker.java,True
tests\dom\html\Test.java,tests\dom\events\Test.java,False
src\org\apache\wml\dom\WMLHeadElementImpl.java,src\org\apache\wml\dom\WMLHeadElementImpl.java,True
samples\ui\DefaultImages.java,samples\ui\DefaultImages.java,True
src\whiteboard\org\apache\xerces\tree\XmlReader.java,src\whiteboard\org\apache\xerces\tree\XmlReader.java,True
src\org\apache\xerces\dom\DeferredNotationImpl.java,src\org\apache\xerces\dom\DeferredNotationImpl.java,False
src\whiteboard\org\apache\xerces\tree\AttributeListEx.java,src\whiteboard\org\apache\xerces\tree\AttributeListEx.java,True
src\org\apache\wml\WMLMetaElement.java,src\org\apache\wml\WMLMetaElement.java,True
src\org\w3c\dom\html\HTMLBodyElement.java,src\org\w3c\dom\html\HTMLBodyElement.java,True
tests\dom\html\Test.java,tests\dom\html\Test.java,True
src\org\xml\sax\helpers\LocatorImpl.java,src\org\xml\sax\helpers\LocatorImpl.java,True
src\org\apache\xerces\validators\common\XMLContentModel.java,src\org\apache\xerces\validators\common\XMLContentModel.java,False
samples\sax\DocumentTracer.java,samples\sax\DocumentTracer.java,True
src\org\apache\html\dom\HTMLFrameSetElementImpl.java,src\org\apache\html\dom\HTMLFrameSetElementImpl.java,True
samples\ui\DOMTree.java,samples\ui\DOMTree.java,True
src\org\apache\xml\serialize\Encodings.java,src\org\apache\xml\serialize\Encodings.java,False
src\org\w3c\dom\Document.java,src\org\w3c\dom\Document.java,False
src\org\apache\wml\dom\WMLIElementImpl.java,src\org\apache\wml\dom\WMLIElementImpl.java,True
src\org\apache\xerces\validators\common\CMException.java,src\org\apache\xerces\validators\common\CMException.java,True
src\org\w3c\dom\events\MutationEvent.java,src\org\w3c\dom\events\MutationEvent.java,True
samples\dom\DOMAddLines.java,samples\dom\DOMAddLines.java,True
src\org\apache\wml\WMLNoopElement.java,src\org\apache\wml\WMLNoopElement.java,True
src\org\apache\html\dom\HTMLBaseFontElementImpl.java,src\org\apache\html\dom\HTMLBaseFontElementImpl.java,True
src\org\apache\html\dom\HTMLDocumentImpl.java,src\org\apache\html\dom\HTMLDocumentImpl.java,True
src\org\apache\xerces\dom\RangeExceptionImpl.java,src\org\apache\xerces\dom\RangeExceptionImpl.java,False
src\org\apache\wml\WMLSmallElement.java,src\org\apache\wml\WMLSmallElement.java,True
src\org\apache\xerces\dom\DocumentTypeImpl.java,src\org\apache\xerces\dom\DocumentTypeImpl.java,False
src\whiteboard\org\apache\xerces\tree\AttributeNode.java,src\whiteboard\org\apache\xerces\tree\AttributeNode.java,True
src\org\apache\wml\WMLAnchorElement.java,src\org\apache\wml\WMLAnchorElement.java,True
samples\sax\helpers\AttributesImpl.java,src\org\xml\sax\helpers\AttributesImpl.java,False
src\whiteboard\org\apache\xerces\tree\ElementFactory.java,src\whiteboard\org\apache\xerces\tree\ElementFactory.java,True
samples\sax\SAX2Count.java,samples\sax\SAX2Count.java,False
src\org\w3c\dom\html\HTMLHeadingElement.java,src\org\w3c\dom\html\HTMLHeadingElement.java,True
src\org\apache\xerces\dom\CommentImpl.java,src\org\apache\xerces\dom\CommentImpl.java,False
src\org\apache\wml\WMLGoElement.java,src\org\apache\wml\WMLGoElement.java,True
src\org\apache\html\dom\HTMLQuoteElementImpl.java,src\org\apache\html\dom\HTMLQuoteElementImpl.java,True
src\org\apache\wml\dom\WMLOptgroupElementImpl.java,src\org\apache\wml\dom\WMLOptgroupElementImpl.java,True
src\org\w3c\dom\ranges\DocumentRange.java,src\org\w3c\dom\ranges\DocumentRange.java,True
src\org\apache\xerces\validators\common\CMUniOp.java,src\org\apache\xerces\validators\common\CMUniOp.java,True
src\org\xml\sax\SAXNotSupportedException.java,src\org\xml\sax\SAXNotSupportedException.java,True
src\org\w3c\dom\html\HTMLScriptElement.java,src\org\w3c\dom\html\HTMLScriptElement.java,True
src\org\apache\xerces\validators\common\CMAny.java,src\org\apache\xerces\validators\common\CMAny.java,False
src\org\apache\xerces\utils\regex\RegexParser.java,src\org\apache\xerces\utils\regex\RegexParser.java,False
src\org\w3c\dom\traversal\DocumentTraversal.java,src\org\w3c\dom\traversal\DocumentTraversal.java,True
src\org\apache\xerces\validators\common\CMStateSet.java,src\org\apache\xerces\validators\common\CMStateSet.java,True
src\org\apache\html\dom\HTMLBuilder.java,src\org\apache\html\dom\HTMLBuilder.java,True
src\org\apache\xerces\validators\common\XMLElementDecl.java,src\org\apache\xerces\validators\common\XMLElementDecl.java,False
src\org\apache\xerces\framework\XMLParser.java,src\org\apache\xerces\framework\XMLParser.java,False
src\org\apache\xerces\dom\DeferredEntityImpl.java,src\org\apache\xerces\dom\DeferredEntityImpl.java,False
src\org\xml\sax\helpers\XMLReaderAdapter.java,src\org\xml\sax\helpers\XMLReaderAdapter.java,True
src\org\apache\xerces\dom\ElementDefinitionImpl.java,src\org\apache\xerces\dom\ElementDefinitionImpl.java,False
src\org\w3c\dom\html\HTMLTableRowElement.java,src\org\w3c\dom\html\HTMLTableRowElement.java,True
src\org\xml\sax\DTDHandler.java,src\org\xml\sax\DTDHandler.java,True
src\org\w3c\dom\events\EventException.java,src\org\w3c\dom\events\EventException.java,True
src\whiteboard\org\apache\xerces\tree\ElementEx.java,src\whiteboard\org\apache\xerces\tree\ElementEx.java,True
src\org\apache\xerces\dom\ProcessingInstructionImpl.java,src\org\apache\xerces\dom\ProcessingInstructionImpl.java,False
src\org\apache\xerces\utils\IntStack.java,src\org\apache\xerces\utils\IntStack.java,True
src\org\apache\xerces\dom\DeepNodeListImpl.java,src\org\apache\xerces\dom\DeepNodeListImpl.java,False
src\org\apache\wml\dom\WMLInputElementImpl.java,src\org\apache\wml\dom\WMLInputElementImpl.java,True
src\org\w3c\dom\html\HTMLTableCellElement.java,src\org\w3c\dom\html\HTMLTableCellElement.java,True
src\javax\xml\parsers\ParserConfigurationException.java,src\javax\xml\parsers\ParserConfigurationException.java,True
src\org\apache\html\dom\HTMLLabelElementImpl.java,src\org\apache\html\dom\HTMLLabelElementImpl.java,True
src\org\apache\xerces\validators\schema\identity\Field.java,src\org\apache\xerces\validators\schema\identity\Field.java,False
src\org\apache\xerces\msg\ExceptionMessagesLocalizer.java,src\org\apache\xerces\msg\ExceptionMessagesLocalizer.java,True
src\whiteboard\org\apache\xerces\tree\DataNode.java,src\whiteboard\org\apache\xerces\tree\DataNode.java,True
