dataset,model,threshold,recall,f1,g1,acc,tp,fp,tn,fn,precision,auc_roc
ECLIPSE-2007,autogluon,-1,4.161202699,2.819357434,3.061451176,-3.849623959,-0.491194016,-0.954897815,-26.23301016,-5.557885466,0.247065893,-4.388977947
ECLIPSE-2007,autogluon_best,-1,37.13784305,23.9699556,31.70543962,-4.863022085,31.2,85.9528712,-27.39792911,-8.250859609,-13.96131877,-3.962056431
ECLIPSE-2007,autogluon_best_f1,-1,4.490842035,2.720912561,2.861269096,-4.148956278,-0.174825175,-0.633321551,-26.77196228,-6.125527048,0.271520907,-4.381279244
ECLIPSE-2007,autogluon_best_recall,-1,3.875810232,4.825923738,0.246770031,-5.508853783,-0.759685566,-7.52343166,-29.04916975,-8.052835873,5.270830346,-3.706844204
ECLIPSE-2007,KNN,-1,3.966626545,3.273596071,2.95427388,-3.980792674,-0.67264574,-3.346717309,-26.32961706,-5.390985072,1.784722546,-3.023178601
ECLIPSE-2007,LR,-1,4.426582609,3.842728737,3.456704916,-3.563513296,-0.235849057,-3.215607827,-25.95493382,-5.462119991,1.886764206,-4.470111829
ECLIPSE-2007,NB,-1,4.187426904,4.259261731,2.032153026,-4.294592822,-0.462962963,-6.252589979,-27.30213587,-6.714761376,4.126280608,-4.292680503
ECLIPSE-2007,RF,-1,4.53885685,3.670697246,3.403653221,-3.983046257,-0.122991515,-4.937480215,-26.34778986,-5.503015783,2.900533362,-4.567872915
ECLIPSE-2007,SVM,-1,4.674936609,3.702189659,3.995760969,-3.602089892,0,-0.366300366,-25.74250425,-5.124782273,0.23364486,-1.946179521
IND-JLMIV+R-2020,autogluon,-1,0,0,0,-2.246748128,0,0,-46.60194175,0,0,-2.595833408
IND-JLMIV+R-2020,autogluon_best,-1,1.818181818,0,0,-1.790792146,0,0,-47.36842105,-42.85714286,-0.526315789,-1.534128607
IND-JLMIV+R-2020,autogluon_best_f1,-1,0,0,0,-2.632750964,-8.333333333,0,-47.61904762,-4.166666667,0,-2.316213494
IND-JLMIV+R-2020,autogluon_best_recall,-1,0,25.53191489,0,3.491620112,-15.38461538,-40.28103044,-47.56097561,0,28.91566265,-0.776707868
IND-JLMIV+R-2020,KNN,-1,0,0,0,-2.371541502,0,0,-46.37681159,-18.18181818,0,-2.687995753
IND-JLMIV+R-2020,LR,-1,0,0,0,-2.091503268,0,0,-47.36842105,-11.11111111,0,-1.177766626
IND-JLMIV+R-2020,NB,-1,0,4.347826087,0,-4.141414141,-9.090909091,-22.10526316,-52.51959686,0,4.923076923,-1.153225806
IND-JLMIV+R-2020,RF,-1,0,-6.25,-3.225806452,-2.484110169,-25,0,-46.3592233,0,-2.777777778,-2.46183083
IND-JLMIV+R-2020,SVM,-1,0,0,0,-2.105841421,0,0,-46.37681159,-15.38461538,0,-0.866932072
JIRA-HA-2019,autogluon,-1,2.981514609,1.808528289,0.904775535,-3.458191293,0,0,-51.32743363,-18.32061069,0,-1.940664139
