dataset,diffToPreviousRelease,threshold,mode,indicator,NB,LR,autogluon_best_f1,RF,KNN,SVM
ECLIPSE-2007,original,-1,default,recall,5,2,4,3,3,1
ECLIPSE-2007,original,-1,default,f1,4,2,3,2,2,1
ECLIPSE-2007,original,-1,default,g1,5,2,4,3,3,1
ECLIPSE-2007,original,-1,default,ifap2,1,5,5,3,2,4
ECLIPSE-2007,original,-1,default,roi_tp,1,1,3,2,1,1
ECLIPSE-2007,original,-1,default,acc,1,3,2,2,2,3
ECLIPSE-2007,original,-1,default,tp,5,2,4,3,3,1
ECLIPSE-2007,original,-1,default,fp,5,2,4,3,3,1
ECLIPSE-2007,original,-1,default,tn,1,4,2,3,3,5
ECLIPSE-2007,original,-1,default,fn,1,4,2,3,3,5
ECLIPSE-2007,original,-1,default,precision,1,4,3,2,1,5
ECLIPSE-2007,original,-1,default,auc_roc,3,2,3,4,1,1
ECLIPSE-2007,#NAME?,-1,default,recall,5,2,4,3,3,1
ECLIPSE-2007,#NAME?,-1,default,f1,5,3,4,3,2,1
ECLIPSE-2007,#NAME?,-1,default,g1,5,2,4,3,3,1
ECLIPSE-2007,#NAME?,-1,default,ifap2,1,5,5,3,2,4
ECLIPSE-2007,#NAME?,-1,default,roi_tp,2,1,3,2,2,2
ECLIPSE-2007,#NAME?,-1,default,acc,1,4,2,3,3,4
ECLIPSE-2007,#NAME?,-1,default,tp,5,2,4,3,3,1
ECLIPSE-2007,#NAME?,-1,default,fp,5,2,4,3,3,1
ECLIPSE-2007,#NAME?,-1,default,tn,1,4,2,3,3,5
ECLIPSE-2007,#NAME?,-1,default,fn,1,4,2,3,3,5
ECLIPSE-2007,#NAME?,-1,default,precision,1,4,3,2,2,5
ECLIPSE-2007,#NAME?,-1,default,auc_roc,2,2,3,4,1,1
IND-JLMIV+R-2020,original,-1,default,recall,4,2,3,4,1,1
IND-JLMIV+R-2020,original,-1,default,f1,2,3,4,5,1,2
IND-JLMIV+R-2020,original,-1,default,g1,3,2,3,4,1,1
IND-JLMIV+R-2020,original,-1,default,ifap2,1,3,3,3,2,3
IND-JLMIV+R-2020,original,-1,default,roi_tp,1,1,2,3,1,2
IND-JLMIV+R-2020,original,-1,default,acc,1,2,2,3,2,2
