train_path,dataset,project,test_path,diff_path,test_path_noDup,class_ratio,class_ratio_noDup,num_neg,num_pos,num_neg_noDup,num_pos_noDup
dataset/original//ECLIPSE-2007/eclipse/eclipse-2.0.csv,ECLIPSE-2007,eclipse,dataset/original//ECLIPSE-2007/eclipse/eclipse-2.1.csv,dataset/diff/ECLIPSE-2007/eclipse-2.0_eclipse-2.1_file.csv,./dataset/data_new/ECLIPSE-2007/eclipse/diffToPreviousRelease_eclipse-2.1.csv,8.236533958,6.213316893,7034,854,5039,811
dataset/original//ECLIPSE-2007/eclipse/eclipse-2.1.csv,ECLIPSE-2007,eclipse,dataset/original//ECLIPSE-2007/eclipse/eclipse-3.0.csv,dataset/diff/ECLIPSE-2007/eclipse-2.1_eclipse-3.0_file.csv,./dataset/data_new/ECLIPSE-2007/eclipse/diffToPreviousRelease_eclipse-3.0.csv,5.755739796,4.676177837,9025,1568,7047,1507
dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-1.4.1.csv,IND-JLMIV+R-2020,ant-ivy,dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.0.0.csv,dataset/diff/IND-JLMIV+R-2020/ant-ivy-1.4.1_ant-ivy-2.0.0_file.csv,./dataset/data_new/IND-JLMIV+R-2020/ant-ivy/diffToPreviousRelease_ant-ivy-2.0.0.csv,6.04,6.04,302,50,302,50
dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.0.0.csv,IND-JLMIV+R-2020,ant-ivy,dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.1.0.csv,dataset/diff/IND-JLMIV+R-2020/ant-ivy-2.0.0_ant-ivy-2.1.0_file.csv,./dataset/data_new/IND-JLMIV+R-2020/ant-ivy/diffToPreviousRelease_ant-ivy-2.1.0.csv,6.285714286,1.206896552,308,49,35,29
dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.1.0.csv,IND-JLMIV+R-2020,ant-ivy,dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.2.0.csv,dataset/diff/IND-JLMIV+R-2020/ant-ivy-2.1.0_ant-ivy-2.2.0_file.csv,./dataset/data_new/IND-JLMIV+R-2020/ant-ivy/diffToPreviousRelease_ant-ivy-2.2.0.csv,8.810810811,1.964285714,326,37,55,28
dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.2.0.csv,IND-JLMIV+R-2020,ant-ivy,dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.3.0.csv,dataset/diff/IND-JLMIV+R-2020/ant-ivy-2.2.0_ant-ivy-2.3.0_file.csv,./dataset/data_new/IND-JLMIV+R-2020/ant-ivy/diffToPreviousRelease_ant-ivy-2.3.0.csv,33.69230769,14.09090909,438,13,155,11
dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.3.0.csv,IND-JLMIV+R-2020,ant-ivy,dataset/original//IND-JLMIV+R-2020/ant-ivy/ant-ivy-2.4.0.csv,dataset/diff/IND-JLMIV+R-2020/ant-ivy-2.3.0_ant-ivy-2.4.0_file.csv,./dataset/data_new/IND-JLMIV+R-2020/ant-ivy/diffToPreviousRelease_ant-ivy-2.4.0.csv,26.88235294,11.5,457,17,161,14
dataset/original//IND-JLMIV+R-2020/archiva/archiva-1.0.csv,IND-JLMIV+R-2020,archiva,dataset/original//IND-JLMIV+R-2020/archiva/archiva-1.1.csv,dataset/diff/IND-JLMIV+R-2020/archiva-1.0_archiva-1.1_file.csv,./dataset/data_new/IND-JLMIV+R-2020/archiva/diffToPreviousRelease_archiva-1.1.csv,15.03571429,15.03571429,421,28,421,28
dataset/original//IND-JLMIV+R-2020/archiva/archiva-1.1.csv,IND-JLMIV+R-2020,archiva,dataset/original//IND-JLMIV+R-2020/archiva/archiva-1.2.csv,dataset/diff/IND-JLMIV+R-2020/archiva-1.1_archiva-1.2_file.csv,./dataset/data_new/IND-JLMIV+R-2020/archiva/diffToPreviousRelease_archiva-1.2.csv,21.78947368,14.53333333,414,19,218,15
dataset/original//IND-JLMIV+R-2020/archiva/archiva-1.2.csv,IND-JLMIV+R-2020,archiva,dataset/original//IND-JLMIV+R-2020/archiva/archiva-1.3.csv,dataset/diff/IND-JLMIV+R-2020/archiva-1.2_archiva-1.3_file.csv,./dataset/data_new/IND-JLMIV+R-2020/archiva/diffToPreviousRelease_archiva-1.3.csv,27.93333333,8.428571429,419,15,59,7
